name,grade,type,tier,childId,gradeTrackId,raw
b4베이비 5 팔보수군 - 희귀함,희귀함,일반,1500,R01K,R02V,"R01K,R02V"
00겟코 모리아 쉐도우 아스가르드 - 전설적인,전설적인,일반,1500,R01K,R000,"R01K,R000"
00골.D.에이스 해적왕의 아들 - 전설적인,전설적인,일반,1500,R01K,R000,"R01K,R000"
00나미 도둑 고양이 - 전설적인,전설적인,공성,1500,R01O,R01J,"R01O,R01J"
00라분 레드라인을 넘으려는 향유고래 - 전설적인,전설적인,공성,1500,R01O,R000,"R01O,R000"
00로브 루치 생명귀환 지회무신 - 전설적인,전설적인,관통,1500,R01S,R01Z,"R01S,R01Z"
00롤로노아 조로 죽음의경지'사자의노래' - 전설적인,전설적인,관통,1500,R01S,R000,"R01S,R000"
00마르코 환수종'불사조' - 전설적인,전설적인,관통,1500,R01S,R000,"R01S,R000"
"00마샬.D.티치 검은수염 해적단 선장 ""검은수염"" - 전설적인",전설적인,공성,1500,R01O,R000,"R01O,R000"
00스모커 집념의 해군 중장 - 전설적인,전설적인,일반,1500,R01K,R000,"R01K,R000"
00몽키.D.드래곤 세계최악의 범죄자 - 전설적인,전설적인,공성,1500,R01O,R000,"R01O,R000"
00몽키.D.루피 '기어 2' Jet 개틀링 - 전설적인,전설적인,관통,1500,R01S,R02B,"R01S,R02B"
00몽키.D.루피 나이트메어 - 전설적인,전설적인,일반,1500,R01K,R000,"R01K,R000"
00바르토로메오 신예 초신성- 식인 - 전설적인,전설적인,공성,1500,R01O,R000,"R01O,R000"
00바솔로뮤 쿠마 폭군 - 전설적인,전설적인,공성,1500,R01O,R01X,"R01O,R01X"
00후지토라 잇쇼우 '신'해군대장 - 전설적인,전설적인,패기,2000,R01W,R000,"R01W,R000"
00보아 핸콕 쿠사 해적단 선장 - 전설적인,전설적인,관통,1500,R01S,R000,"R01S,R000"
00빈스모크 레이쥬 포이즌 핑크 - 전설적인,전설적인,공성,1500,R01O,R000,"R01O,R000"
00상디 검은다리 '슈트 코스' - 전설적인,전설적인,패기,2000,R01W,R000,"R01W,R000"
00샹크스 사황 '붉은머리' - 전설적인,전설적인,공성,1500,R01O,R000,"R01O,R000"
00센고쿠 전 해군 원수 - 전설적인,전설적인,일반,1500,R01K,R000,"R01K,R000"
00슈가 장난감의 지배자 - 전설적인,전설적인,일반,1500,R01K,R000,"R01K,R000"
00시저 크라운 미치광이 과학자 M - 전설적인,전설적인,일반,1500,R01K,R000,"R01K,R000"
00시키 금사자 - 전설적인,전설적인,관통,1500,R01S,R000,"R01S,R000"
00실버즈 레일리 로저해적단 부선장 - 전설적인,전설적인,패기,2000,R01W,R000,"R01W,R000"
00에드워드 뉴게이트 '사황' 흰수염 해적단의 아버지 - 전설적인,전설적인,관통,1500,R01S,R000,"R01S,R000"
00트라팔가 로우 하트 해적단 선장 - 전설적인,전설적인,일반,3000,R01M,R02R,"R01M,R02R"
c0토니토니 쵸파 럼블볼 폭주 - 초월함,초월,일반,1500,R01K,R000,"R01K,R000"
00코비 세계의 운명을 바꾼 해군루키 - 전설적인,전설적인,관통,1500,R01S,R000,"R01S,R000"
00카르가라 샨디아의 대전사 - 전설적인,전설적인,공성,1500,R01O,R000,"R01O,R000"
00징베 전 칠무해 어인족 수장 - 전설적인,전설적인,공성,1500,R01O,R000,"R01O,R000"
00샬롯 크래커 빅맘 3장성 - 전설적인,전설적인,공성,1500,R01O,R000,"R01O,R000"
00제파 전 해군 대장 '흑완' - 전설적인,전설적인,관통,1500,R01S,R001,"R01S,R001"
93[히든조합]시류비의 시류,히든,일반,1500,R01K,R000,"R01K,R000"
00Dr.히루루크 나라를 치료한 의사 - 전설적인,전설적인,일반,1500,R01K,R001,"R01K,R001"
93[히든조합]사우전드 써니호밀짚모자해적단,히든,패기,2000,R01W,R001,"R01W,R001"
93[히든조합]사보 - 용조권,히든,일반,1500,R01K,R001,"R01K,R001"
93[히든조합]료쿠규'신'해군대장,히든,공성,1500,R01O,R001,"R01O,R001"
93[히든조합]벤담2년 후 임펠다운 5.5층 뉴카마랜드 왕,히든,일반,1500,R01K,R001,"R01K,R001"
93[히든조합]발라티에해상 레스토랑,히든,패기,2000,R01W,R001,"R01W,R001"
93[히든조합]모비딕 호사황 흰수염의 흰고래,히든,일반,1500,R01K,R001,"R01K,R001"
93[히든조합]반 더 데켄어인섬 절반면적의 노아를 던진자,히든,공성,1500,R01O,R02S,"R01O,R02S"
00울티 토비롯포 - 전설적인,전설적인,공성,1500,R01O,R001,"R01O,R001"
93[히든조합]레베카콜로세움의 검투사,히든,패기,2000,R01W,R001,"R01W,R001"
93[히든조합]레드포스 호사황 샹크스의 붉은용,히든,공성,1500,R01O,R001,"R01O,R001"
93[히든조합]코알라혁명군-어인공수도대리사범,히든,공성,1500,R01O,R001,"R01O,R001"
93[히든조합]귀죽의 베르고해군 중장,히든,일반,1500,R01K,R001,"R01K,R001"
93[히든조합]갓 에넬방주 맥심,히든,일반,1500,R01K,R001,"R01K,R001"
93[히든조합]엠포리오 이완코브임펠다운 5.5층 뉴카마왕국의 왕(?),히든,공성,1500,R01O,R001,"R01O,R001"
93[히든조합]아카이누흰수염을죽인 붉은개,히든,관통,2000,R01R,R004,"R01R,R004"
90아인 네오 해군 장교 - 제한됨,제한,일반,1500,R01K,R001,"R01K,R001"
93[히든조합]쿠잔푸른 꿩,히든,일반,1500,R01K,R000,"R01K,R000"
00시노부 쿠노이치 - 전설적인,전설적인,관통,1500,R01S,R01Y,"R01S,R01Y"
93[히든조합]쥬라클 미호크매의 눈,히든,관통,1500,R01S,R001,"R01S,R001"
93[히든조합]검호 류마흑도 슈스이의 주인,히든,관통,1500,R01S,R001,"R01S,R001"
93[히든조합]킬러초신성 - 살육무사,히든,일반,1500,R01K,R001,"R01K,R001"
93[히든조합]킨에몬여우불의 사무라이,히든,공성,1500,R01O,R001,"R01O,R001"
93[히든조합]피셔 타이거마리조아 노예시장 파괴자,히든,일반,1500,R01K,R001,"R01K,R001"
93[히든조합]페로나고스트 프린세스,히든,관통,3000,R01Q,R002,"R01Q,R002"
82실버즈 레일리 명왕 - 불멸의,불멸,패기,4000,R01T,R002,"R01T,R002"
82에드워드 뉴게이트 한시대를 주름잡던 대해적 - 불멸의,불멸,일반,3000,R01M,R002,"R01M,R002"
82금사자 시키 천신 - 불멸의,불멸,공성,3000,R01N,R002,"R01N,R002"
82몽키.D.거프 해군영웅 주먹의 거프 - 불멸의,불멸,일반,3000,R01M,R002,"R01M,R002"
82몽키.D.드래곤 혁명군의 수장 - 불멸의,불멸,패기,4000,R01T,R002,"R01T,R002"
"82센고쿠 해군원수 ""부처님"" - 불멸의",불멸,관통,3000,R01Q,R002,"R01Q,R002"
82스코퍼 가반 로져 해적단의 검호 - 불멸의,불멸,공성,3000,R01N,R002,"R01N,R002"
"82제트 해군 스승 ""Z"" - 불멸의",불멸,관통,3000,R01Q,R003,"R01Q,R003"
"c0도플라밍고 ""어둠의 조커""드레스로자의 악몽 - 초월함",초월,패기,4000,R01T,R002,"R01T,R002"
82골.D.로져 해적왕 - 불멸의,불멸,공성,3000,R01N,R02J,"R01N,R02J"
c0징베 어인협객 - 초월함,초월,관통,3000,R01Q,R003,"R01Q,R003"
c0보르살리노 해군대장 키자루  - 초월함,초월,관통,3000,R01Q,R003,"R01Q,R003"
c0마샬.D.티치 지진과 어둠의 검은수염 - 초월함,초월,공성,3000,R01N,R00D,"R01N,R00D"
c0사보 혁명군 참모총장 - 초월함,초월,관통,3000,R01Q,R003,"R01Q,R003"
78음표 병사 우타우타열매 - |CFFC15AF4영원한,영원,관통,3000,R01Q,R003,"R01Q,R003"
"c0각성 도플라밍고 ""어둠의 조커""드레스로자의 악몽 - 초월함",초월,공성,3000,R01N,R020,"R01N,R020"
82빅 맘 강철 풍선 - 불멸의,불멸,공성,3000,R01N,R003,"R01N,R003"
c0바솔로뮤 쿠마 마지막 의식을 가진 혁명군 - 초월함,초월,일반,3000,R01M,R003,"R01M,R003"
