더미유닛ID,유닛ID,유닛이름,등급,능력,더미_피해값,부모트리거,소환블록_게이트,확신도,출처표기,진입게이트,진입확신도
e05B,h00T,마르코 흰수염 해적단 - 특별함,특별함,A09X,"1,500",Trig_Speical3_Actions,"GetRandomInt(1,10)==3",확정,Trig_Speical3 → e05B(S특별함 마르코 더미) → A09X,"GetRandomInt(1,10)==3",확정
e05D,h013,상디 검은다리 - 특별함,특별함,A09Z,500,Trig_Speical6_Actions,"GetRandomInt(1,5)==3",확정,Trig_Speical6 → e05D(S특별함 상디 더미) → A09Z,"GetRandomInt(1,5)==3",확정
e0E6,h01J,포트거스.D.에이스 흰수염 해적단 2번대대장 - 특별함,특별함,A0BI,850,Trig_Speical9_Actions,"GetRandomInt(1,7)==3",확정,Trig_Speical9 → e0E6(안흔함 더미2 에이스) → A0BI,"GetRandomInt(1,7)==3",확정
e059,h01L,돈키호테 도플라밍고 칠무해 - 희귀함,희귀함,A09W,"6,000",Trig_Unique12_Actions,"GetRandomInt(1,11)==3",확정,Trig_Unique12 → e059(U희귀함 도플 더미) → A09W,"GetRandomInt(1,11)==3",확정
e0BU,h01P,사카즈키 해군대장 아카이누 - 희귀함,희귀함,A0AX,"6,000",Trig_Unique10_Actions,"GetRandomInt(1,12)==3",확정,Trig_Unique10 → e0BU(U희귀함 아카이누 더미) → A0AX,"GetRandomInt(1,12)==3",확정
e03M,h01R,보르살리노 해군대장 - 희귀함,희귀함,A09A,"6,000",Trig_Unique9_Actions,"GetRandomInt(1,7)==3",확정,Trig_Unique9 → e03M(U희귀함 키자루 더미) → A09A,"GetRandomInt(1,7)==3",확정
e0BZ,h01V,바제스 검은수염해적단 선원 - 희귀함,희귀함,A0K2,"12,000",Trig_Unique27_Actions,"GetRandomInt(1,10)==3",확정,Trig_Unique27 → e0BZ(U희귀함 바제스 더미) → A0K2,"GetRandomInt(1,10)==3",확정
e05C,h022,마르코 흰수염 1번대대장 - 희귀함,희귀함,A09Y,"12,000",Trig_Unique4_Actions,"GetRandomInt(1,10)==3",확정,Trig_Unique4 → e05C(U희귀함 마르코 더미) → A09Y,"GetRandomInt(1,10)==3",확정
e038,h023,카쿠 CP9 소소열매 람각 주단 - 희귀함,희귀함,A097,"8,000",Trig_Unique14_Actions,"GetRandomInt(1,7)==4",확정,Trig_Unique14 → e038(H히든 카쿠 더미) → A097,"GetRandomInt(1,7)==4",확정
e092,h029,샹크스 붉은머리 해적단 선장 - 희귀함,희귀함,A0BE,"6,000",Trig_Unique3_Actions,"GetRandomInt(1,10)==3",확정,Trig_Unique3 → e092(U희귀함 샹크스 더미) → A0BE,"GetRandomInt(1,10)==3",확정
e03O,h02A,엠포리오 이완코브 혁명군 - 희귀함,희귀함,A0R8,"13,000",Trig_Unique18_Actions,"GetRandomInt(1,16)==3",확정,Trig_Unique18 → e03O(U희귀함 이완코브 더미) → A0R8,"GetRandomInt(1,16)==3",확정
e057,h02B,쿠잔 해군대장 아오키지 - 희귀함,희귀함,A0PX,"9,000",Trig_Unique11_Actions,"GetRandomInt(1,12)==3",확정,Trig_Unique11 → e057(U희귀함 아오키지 더미) → A0PX,"GetRandomInt(1,12)==3",확정
e0AT,h02C,우솝 보잉열도 생존자 - 희귀함,희귀함,A0EL,"7,000",Trig_Unique23_Actions,"GetRandomInt(1,10)==3",확정,Trig_Unique23 → e0AT(U희귀함 우솝 더미) → A0EL,"GetRandomInt(1,10)==3",확정
e090,h02E,죠즈 흰수염 3번대 대장 다이아몬드 - 희귀함,희귀함,A07C,"10,000",Trig_Unique34_Actions,"Stage[GlobalTV]==8 ‖‖ [진입] 평타 트리거 Trig_Unique34(h02E 죠즈). stage0에서 integerA=GetRandomInt(1,10), integerA==1이면 진입. stage 0→1→2→(>2,<8)→8 사슬은 무조건 진행하므로 stage8 도달 = 1/10",확정,Trig_Unique34 → e090(U희귀함 죠즈 더미1) → A07C,1/10,확정
e0BT,h02F,조로 '현상금 사냥꾼' 초신성 - 희귀함,희귀함,A0QH,"50,000",Trig_Unique33_Actions,"(Stage[GlobalTV]==10) ‖‖ [진입] 평타 트리거 Trig_Unique33(h02F 조로). stage0에서 integerA=GetRandomInt(1,15). integerA==3 분기가 stage10으로 보낸다 → 1/15",확정,Trig_Unique33 → e0BT(U희귀함 조로 더미 2) → A0QH,1/15,확정
