더미유닛ID,더미이름,능력,능력이름,피해필드,필드의미,값,범위(aare),부모트리거,기존표기재여부,소환조건(로컬),진입게이트,게이트확신도,진짜주인_유닛ID,진짜주인_이름,진짜주인_등급,주인확신도,이름표기_등급,표기_불일치
e00C,@초월 로우룸2,A09H,!4범위 로우 룸,Nbr1,화염숨결 피해,30000.0,1.0,Trig_Law_Attack_Actions,없음,"[Trig_Law_Attack_Actions] GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())==135.00",Trig_Law_Attack_Actions[이벤트직결]: (조건없음),"추정(진입 무조건 — 이벤트 직결, 로컬 조건만)",H096,트라팔가 로우- 초월함,초월함,확정,초월함,
e01I,!전설 마르코 깃털폭풍,A0VA,0장풍 계열 마르코전설,Ucs1,시체폭발/죽음의사슬 피해,280000.0,250.0,Trig_Legend17_MacroLifeSkill_Actions,없음,[Trig_Legend17_MacroLifeSkill_Actions] s__TrigVariables_Stage[GlobalTV]==0,"Trig_Legend17_Marco_Actions[이벤트직결]: s__TrigVariables_Stage[GlobalTV]==2 AND GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVariables__get_unitA(GlobalTV))==25.00",확정,h02T,마르코 환수종'불사조' - 전설적인,전설적인,확정,전설적인,
e01M,H히든 아카이누,A088,3범위 아카히든 대분화,Htc1,천둥소리 피해,300000.0,475.0,Trig_Akainu_03_Actions / Trig_Hidden5_Actions,없음,"[Trig_Akainu_03_Actions] (조건없음) | [Trig_Hidden5_Actions] GetRandomInt(1,7)==4","Trig_Akainu_Attack_Actions[이벤트직결]: NOT((GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())==135.00)) AND NOT(GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())==135.00) AND NOT(UnitHasBuffBJ(GetTriggerUnit(),'B06B')==true) AND NOT(GetRandomInt(1,1000)<76) AND GetRandomInt(1,10)==5 | Trig_Akainu_Attack_Actions[이벤트직결]: NOT((GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())==135.00)) AND NOT(GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())==135.00) AND UnitHasBuffBJ(GetTriggerUnit(),'B06B')==true AND GetRandomInt(1,10)==5 | Trig_Hidden5_Actions[이벤트직결]: (조건없음)",확정,H095 / h03Z,아카이누  - 초월함 / [히든조합]아카이누흰수염을죽인 붉은개,초월함 / 히든,확정,히든,
e030,%제한변화 에이스 불주먹1,A0C4,0장풍 에이스 불주먹-4변화1,Ucs1,시체폭발/죽음의사슬 피해,350000.0,240.0,Trig_Transpom_Ace_bulRemake_Actions,없음,[Trig_Transpom_Ace_bulRemake_Actions] s__TrigVariables_Stage[GlobalTV]==0,"Trig_Transpom3_Actions[이벤트직결]: GetRandomInt(1,10)==6",확정,h05V,포트거스.D.에이스 스페이드 해적단 선장 - 변화된,변화된,확정,제한됨,🔴 이름표기≠실제
e03K,U희귀함 에넬 뇌신 더미,ACfl,,Ocl1,연쇄번개 피해,7000.0,,Trig_Unique7_Actions,없음,"[Trig_Unique7_Actions] GetRandomInt(1,8)==3",Trig_Unique7_Actions[이벤트직결]: (조건없음),"추정(진입 무조건 — 이벤트 직결, 로컬 조건만)",h024,와이퍼 하늘섬의 전귀 - 희귀함,희귀함,확정,희귀함,
e03T,@초월 로우 카운터 더미1,A140,3범위 로우초월 카운터,Htc1,천둥소리 피해,437500.0,485.0,Trig_Law_Skill_2_reinforce_Actions,없음,[Trig_Law_Skill_2_reinforce_Actions] (조건없음),"Trig_Law_Attack_Actions[이벤트직결]: GetRandomInt(1,8)==6 AND udg_Law_Bool[GetConvertedPlayerId(GetOwningPlayer(GetAttacker()))]==true",확정,H096,트라팔가 로우- 초월함,초월함,확정,초월함,
e044,@초월 상디 킥2 더미2,A0MJ,3범위 무통샷-상디초월,Htc1,천둥소리 피해,850000.0,500.0,Trig_SandiAttack_Actions / Trig_SandiAttack_Upgrade_Actions,없음,"[Trig_SandiAttack_Actions] GetRandomInt(1,20)==5 | [Trig_SandiAttack_Upgrade_Actions] GetRandomInt(1,18)==5",Trig_SandiAttack_Actions[이벤트직결]: (조건없음) | Trig_SandiAttack_Upgrade_Actions[이벤트직결]: (조건없음),"추정(진입 무조건 — 이벤트 직결, 로컬 조건만)",H09G / H09H,상디 - 초월함 / 상디 - 초월함,초월함,확정,초월함,
e04Q,@초월 루피 개틀링 더미,A09Q,0장풍 기간트개틀링1,Ncs1,클러스터로켓 피해,47500.0,405.0,Trig_Ruffy_Attack_Actions,없음,"[Trig_Ruffy_Attack_Actions] GetRandomInt(1,80)==70 AND UnitHasBuffBJ(GetAttacker(),'B06Y')==false",Trig_Ruffy_Attack_Actions[이벤트직결]: (조건없음),"추정(진입 무조건 — 이벤트 직결, 로컬 조건만)",H099,몽키.D.루피 - 초월함,초월함,확정,초월함,
e04Q,@초월 루피 개틀링 더미,A09N,!4범위 루피초월 호크 개틀링,Nbr1,화염숨결 피해,40000.0,2.0,Trig_Ruffy_Attack_Actions,없음,"[Trig_Ruffy_Attack_Actions] GetRandomInt(1,80)==70 AND UnitHasBuffBJ(GetAttacker(),'B06Y')==false",Trig_Ruffy_Attack_Actions[이벤트직결]: (조건없음),"추정(진입 무조건 — 이벤트 직결, 로컬 조건만)",H099,몽키.D.루피 - 초월함,초월함,확정,초월함,
e054,@초월 루피 펀치더미,A09T,3범위 루피초월 둔화,Htc1,천둥소리 피해,50000.0,425.0,Trig_Ruffy_AttackDamage_Actions,없음,[Trig_Ruffy_AttackDamage_Actions] s__TrigVariables_Stage[GlobalTV]==4 AND s__TrigVariables__get_integerC(GlobalTV)<176,Trig_Ruffy_Attack_Actions[이벤트직결]: (조건없음),"추정(진입 무조건 — 이벤트 직결, 로컬 조건만)",H099,몽키.D.루피 - 초월함,초월함,확정,초월함,
e056,#불멸 Z 대구경 탄환1,A09F,0장풍 불멸 Z 대구경 탄환,Ucs1,시체폭발/죽음의사슬 피해,1000000.0,225.0,Trig_Z_skill_3_Actions,없음,[Trig_Z_skill_3_Actions] (s__TrigVariables_Stage[GlobalTV]==1) AND (GetUnitPointValue(s__TrigVariables__get_unitB(GlobalTV))==200),"Trig_Z_Attack_Actions[이벤트직결]: GetRandomInt(1,16)==7",확정,h04G,"제트 해군 스승 ""Z"" - 불멸의",불멸의,확정,불멸의,
e065,@초월 검은수염 장풍 더미1,A0A4,0장풍 계열 검수초월,Ucs1,시체폭발/죽음의사슬 피해,300000.0,160.0,Trig_Tichi_skill_2_tr_Actions,없음,[Trig_Tichi_skill_2_tr_Actions] (s__TrigVariables_Stage[GlobalTV]>0 AND s__TrigVariables_Stage[GlobalTV]<4),"Trig_Tichi_Attack_Actions[이벤트직결]: GetRandomInt(1,25)==12",확정,H090,마샬.D.티치 - 초월함,초월함,확정,초월함,
e066,@초월 검은수염지진,A13V,3범위 검수초 지진,Htc1,천둥소리 피해,400000.0,650.0,Trig_Tichi_skill_4_Actions / Trig_Tichi_skill_4_tr_Actions,없음,[Trig_Tichi_skill_4_Actions] (조건없음) | [Trig_Tichi_skill_4_tr_Actions] (s__TrigVariables_Stage[GlobalTV]==0),"Trig_Tichi_Attack_Actions[이벤트직결]: GetRandomInt(1,10)==5 AND GetRandomInt(1,udg_Tichi_TR_AddInt[GetConvertedPlayerId(GetOwningPlayer(GetAttacker()))])==3 | Trig_Tichi_Attack_Actions[이벤트직결]: GetRandomInt(1,10)==5 AND NOT(GetRandomInt(1,udg_Tichi_TR_AddInt[GetConvertedPlayerId(GetOwningPlayer(GetAttacker()))])==3)",확정,H090,마샬.D.티치 - 초월함,초월함,확정,초월함,
e06H,@초월 도플 할퀴기,A0PI,3범위 도플초월 오색실1,Htc1,천둥소리 피해,205000.0,525.0,Trig_DP_Attack_gaksung_Actions,없음,"[Trig_DP_Attack_gaksung_Actions] GetRandomInt(1,5)==2",Trig_DP_Attack_gaksung_Actions[이벤트직결]: (조건없음),"추정(진입 무조건 — 이벤트 직결, 로컬 조건만)",H09D,각성 도플라밍고 - 초월함,초월함,확정,초월함,
