등급,유닛,스킬파일,발동률,raw,이미확인,비고,판정
불멸의,불멸_정준영,SkillData_원작024_h04D.asset,4.167,"1,250,002",아니오,"06번① 순위배정 — 원작 #024 h04D 몽키.D.드래곤 혁명군의 수장, upro: 해당없음(영웅 유닛 아님 — 등급이 unam 끝 「-불멸의/영원한」 표기에 있음), 능력 A0FS(!용오름-드불). 스킬승급형: 레벨1→2로 '!용오름-드불'의 효과가 하나 늘어난다",🔴 확인 필요 — 게이트 출처 불명
전설적인,전설적인_정준영,SkillData_더미채널_전설적인_정준영_2.asset,2.632,"150,000",아니오,"더미 채널 게이트 확정(2026-09-06, DUMMY_CHANNEL_GATES.csv, a1c34bc) — 전설적인_정준영. ⚠️ 축 밖이라 뺀 조건: 버프 미보유 조건 — 실제보다 자주 발동할 수 있다.  · Trig_Legend2 → e006(!전설 징베 더미) ",🔴 확인 필요 — 더미 채널. DUMMY_CHANNEL_GATES.csv에 진입게이트가 있다
전설적인,전설적인_임채민,SkillData_게이트_전설적인_임채민_355f5d39.asset,2.5,"12,501",아니오,"게이트별 배정(ORIGINAL_UNLISTED_SKILL_EFFECTS.csv, 2026-09-06): 원작 마르코 환수종'불사조' - 전설적인(h02T)의 게이트 ""(게이트 없음)"" 능력 1개를 이 SkillData 하나로 묶었다.   · Legend17_Marcod",⭕ 정당 — 원작 게이트가 「(게이트 없음)」이다(해시 355f5d39). 고치지 말 것
영원한,영원_윤현모,SkillData_더미채널_영원_윤현모_1.asset,1.724,"1,270,000",아니오,"더미 채널 게이트 확정(2026-09-06, DUMMY_CHANNEL_GATES.csv, a1c34bc) — 영원_윤현모. ⚠️ 축 밖이라 뺀 조건: 버프 미보유 조건 — 실제보다 자주 발동할 수 있다.  · Trig_Ace_Attack → e0AB(E영원 에이스 특대",🔴 확인 필요 — 더미 채널. DUMMY_CHANNEL_GATES.csv에 진입게이트가 있다
불멸의,불멸_정윤식,SkillData_회수_불멸_정윤식_355f5d39.asset,1.724,1,아니오,"게이트별 배정(ORIGINAL_UNLISTED_SKILL_EFFECTS.csv, 2026-09-06): 원작 실버즈 레일리 명왕 - 불멸의(h049)의 게이트 ""(게이트 없음)"" 능력 1개를 이 SkillData 하나로 묶었다.   · LaillySkill1#1: 계산",⭕ 정당 — 원작 게이트가 「(게이트 없음)」이다(해시 355f5d39). 고치지 말 것
불멸의,불멸_정윤식,SkillData_원작능력_불멸_정윤식.asset,1.724,"92,500",아니오,"1채널 추가 배정(원작 불멸의 실버즈 레일리 명왕 - 불멸의(h049)의 능력 2개): 다른 채널이 이미 이 유닛을 차지하고 있어 순위 배정 대신 그 유닛에 그대로 얹었다(우선순위 06번①/게이트·회수/2채널이 1채널보다 먼저, 2026-09-06 PM 지시). | ⑤",🔴 확인 필요 — 게이트 출처 불명
불멸의,불멸_신지우,SkillData_카이도_불멸_신지우_buster.asset,1.667,"2,250,004",아니오,"원작 h07M 카이도(용형 평타), 게이트=""Kaido_Skill_int>=10 (용형 평타)""(리서치담당 확정, 2026-09-06 985150d — udg_Kaido_Damage=ReceivedDamage). Kaido_Skill_int는 카이도 평타에서만 오르는 ",🔴 확인 필요 — 게이트 출처 불명
불멸의,불멸_신지우,SkillData_카이도_불멸_신지우_skill18.asset,1.667,"4,500,012",아니오,"원작 카이도(h07M/h0AD), 표에 없던 행(2026-09-06 리서치담당 신규 추가). 게이트가 경로A(Kaido_Skill_int>=11) 또는 경로B(LIFE100아님 AND Kaido_Skill_int<10 AND B05Q없음 AND 1/7) 중 하나 — """,🔴 확인 필요 — 게이트 출처 불명
불멸의,불멸_신지우,SkillData_더미채널_불멸_신지우_1.asset,1.667,"70,000",아니오,"더미 채널 게이트 확정(2026-09-06, DUMMY_CHANNEL_GATES.csv, a1c34bc) — 불멸_신지우. ⚠️ 축 밖이라 뺀 조건: stage0→4 분기 조건 미확인 — 매 타로 근사 — 실제보다 자주 발동할 수 있다. [추정] HashAttack 등",🔴 확인 필요 — 더미 채널. DUMMY_CHANNEL_GATES.csv에 진입게이트가 있다
제한됨,제한_이충민,SkillData_원작능력_제한_이충민.asset,1.639,"1,062,504",아니오,원작 제한됨 샬롯 카타쿠리 장성 밀가루 대신 - 제한됨(더미 경로 Trig_katakuriAttack → e0FA(%제한됨변화 카타쿠리 버프) → A0R7). ⚠️ 스톡 필드 값 그대로 — 필드 뜻이 미확인이라 피해가 아니라 다른 효과(슬로우·스턴·버프 등)였을 수 있,🔴 확인 필요 — 게이트 출처 불명
