등급,우리유닛,스킬파일,내가_잰_발동률,원작능력,유닛ID,w3a필드,뜻,권장값,실제발동률,판정,비고
불멸의,불멸_이승우,SkillData_원작능력_불멸_이승우.asset,0.870,A044 !패기의 주먹,h04C,Hbh1 = 20.0,확률 20%,triggerChance = 0.20,0.174,🔴 고칠 것,ACbh(Bash) 발동확률 필드. 우리 1.0은 5배 과다
제한됨,제한_김민규,SkillData_원작능력_제한_김민규.asset,1.492,A0QQ !견문색의 패기-카타쿠리,h07I,Hbh1 = 100.0,확률 100%,1.0 유지,1.492,⭕ 정당,원작도 매 타다
제한됨,제한_강보명,SkillData_원작능력_제한_강보명.asset,1.266,A0GK !단신 최강,h05G,Hbh1 = 100.0,확률 100%,1.0 유지,1.266,⭕ 정당,
영원한,영원_김영원,SkillData_원작능력_영원_김영원.asset,1.220,A0G3 !최강의 참격,—,Hbh1 = 100.0,확률 100%,1.0 유지,1.220,⭕ 정당,
불멸의,불멸_박은석,SkillData_원작능력_불멸_박은석.asset,0.444,A05P !대구경 탄환2,h04G,Hbh1 = 100.0,확률 100%,1.0 유지,0.444,⭕ 정당,
불멸의,불멸_정준영,SkillData_원작024_h04D.asset,4.167→0.118,A0FS !용오름-드불,h04D,Hbh1 = 0.0 · Hbh3 = 0.0,효과 자체가 비어 있다,—,—,⚪ 해당없음,원작 능력에 수치가 없다(우리 effects도 비어 있음). cooldown 8.5는 별개
불멸의,불멸_정윤식,SkillData_원작능력_불멸_정윤식.asset,1.724,A0EM !명왕의 검술,h049,Hbh1 미명시(base 상속),[미확인],[미확인],—,⚪ 미확인,ACbh 스톡 기본 확률은 맵 밖 자료
불멸의,불멸_고도현,SkillData_원작능력_불멸_고도현.asset,1.370,A0EM !명왕의 검술,h04B,Hbh1 미명시(base 상속),[미확인],[미확인],—,⚪ 미확인,정윤식과 같은 능력
제한됨,제한_이충민,SkillData_원작능력_제한_이충민.asset,1.639,A15N !봉황인,h040,Hbh1 미명시(base 상속),[미확인],[미확인],—,⚪ 미확인,
영원한,영원_조세민,SkillData_원작능력_영원_조세민.asset,1.075,A0J7 !쿠사의 패기,h05C,Hbh1 미명시(base 상속),[미확인],[미확인],—,⚪ 미확인,
