더미유닛ID,능력,능력이름,값,부모트리거,원작캐릭터,등급,배선로스터
e030,A0C4,0장풍 에이스 불주먹-4변화1,350000.0,Trig_Transpom_Ace_bulRemake_Actions,에이스,변화됨,변화됨_박은석
e0A1,A0C4,0장풍 에이스 불주먹-4변화1,350000.0,Trig_Transpom_Ace_bulRemake_Actions,에이스,변화됨,변화됨_박은석
e0D6,A0C4,0장풍 에이스 불주먹-4변화1,350000.0,Trig_Transpom_Ace_bulRemake_Actions,에이스,변화됨,변화됨_박은석
e0EK,A078,3범위 도변 둔화,100000.0,Trig_DP_Skill_2_Actions / Trig_Transpom_dp_Actions,도플,변화됨,변화됨_최상호
e0IN,A078,3범위 도변 둔화,100000.0,Trig_DP_Skill_2_Actions / Trig_Transpom_dp_Actions,도플,변화됨,변화됨_최상호
e0E8,A0OZ,0장풍 흰불 해일,350000.0,Trig_Ed_Skill_2sc_Actions,흰수염,불멸,불멸_고도현
h0BH,A13R,!부유물-돌2,30000.0,Trig_Shiki_Attack_Actions,시키,불멸,불멸_고도현
h0BH,A13P,!부유물-돌31,30000.0,Trig_Shiki_Attack_Actions,시키,불멸,불멸_고도현
e056,A09F,0장풍 불멸 Z 대구경 탄환,1000000.0,Trig_Z_skill_3_Actions,제트,불멸,불멸_박은석
e0GH,A0S6,0장풍 제트 차지블래스터,1000000.0,Trig_Z_skill_3_Actions,제트,불멸,불멸_박은석
e0GK,A0S6,0장풍 제트 차지블래스터,1000000.0,Trig_Z_skill_3_Actions,제트,불멸,불멸_박은석
h05J,A149,!명왕의 검술,102500.0,Trig_LaillySkill_Actions,레일리,불멸,불멸_정윤식
e0CZ,A0OK,0장풍 슬레이브 애로우,400000.0,Trig_arrow_h2_Actions,핸콕,영원함,영원_조세민
e0FR,A0OK,0장풍 슬레이브 애로우,400000.0,Trig_arrow_h2_Actions,핸콕,영원함,영원_조세민
e0FS,A0OK,0장풍 슬레이브 애로우,400000.0,Trig_arrow_h2_Actions,핸콕,영원함,영원_조세민
e0FT,A0OK,0장풍 슬레이브 애로우,400000.0,Trig_arrow_h2_Actions,핸콕,영원함,영원_조세민
e0FU,A0OK,0장풍 슬레이브 애로우,400000.0,Trig_arrow_h2_Actions,핸콕,영원함,영원_조세민
e0FV,A0OK,0장풍 슬레이브 애로우,400000.0,Trig_arrow_h2_Actions,핸콕,영원함,영원_조세민
e08E,A0B6,0장풍 미호크 영원1,750000.0,Trig_Mihawk_2_Actions,미호크,영원함,영원_최상호
e08Q,A13X,0장풍 미호크 영원-강화,750000.0,Trig_Hidden23_rokugu_Actions / Trig_Mihawk_2_Actions,미호크,영원함,영원_최상호
e0PP,A0B6,0장풍 미호크 영원1,750000.0,Trig_Mihawk_4_Actions,미호크,영원함,영원_최상호
e0PQ,A0B6,0장풍 미호크 영원1,750000.0,Trig_Mihawk_4_Actions,미호크,영원함,영원_최상호
e0PR,A0B6,0장풍 미호크 영원1,750000.0,Trig_Mihawk_4_Actions,미호크,영원함,영원_최상호
e01I,A0VA,0장풍 계열 마르코전설,280000.0,Trig_Legend17_MacroLifeSkill_Actions,마르코,전설적인,전설적인_임채민
e0EQ,A0QY,3범위 레베카제한 기본둔화,50000.0,Trig_Rebeca_Skill_1_Actions,레베카,제한됨,제한_최영민
e0EZ,A0QX,3범위 레베카 궤적 둔화,100000.0,Trig_Rebeca_Skill_3_Actions,레베카,제한됨,제한_최영민
e0F0,A0QY,3범위 레베카제한 기본둔화,50000.0,Trig_Rebeca_Skill_1_Actions,레베카,제한됨,제한_최영민
e0F1,A0QY,3범위 레베카제한 기본둔화,50000.0,Trig_Rebeca_Skill_1_Actions,레베카,제한됨,제한_최영민
e087,A0AV,0장풍 360번뇌봉,280000.0,Trig_Zoro_enfor_flying_draong_Actions,조로,초월함,초월_강주혁_AP
e09G,A0AY,2범위 나미초월 블리자드2,500000.0,Trig_Nami_Skill_2_Actions,나미,초월함,초월_강주혁_AP
e09H,A0B0,2범위 나미초월 블리자드3,500000.0,Trig_Nami_Skill_4_Actions,나미,초월함,초월_강주혁_AP
e09I,A0AZ,2범위 나미초월 블리자드4,500000.0,Trig_Nami_Skill_4_Actions,나미,초월함,초월_강주혁_AP
e0IZ,A0AZ,2범위 나미초월 블리자드4,500000.0,Trig_Nami_Skill_4_Actions,나미,초월함,초월_강주혁_AP
e0QL,A0PI,3범위 도플초월 오색실1,205000.0,Trig_RokuguTree_Attack_Actions / Trig_Rokugu_Attack_Actions,로쿠규,초월함,초월_구주호_AD
e0QN,A160,3범위 료쿠규 초월 둔화,200000.0,Trig_Rokugu_skill_1_Actions,로쿠규,초월함,초월_구주호_AD
e0QQ,A16S,!초록소 공증,4000.0,Trig_Rokugu_Attack_Actions,로쿠규,초월함,초월_구주호_AD
e04Q,A09Q,0장풍 기간트개틀링1,47500.0,Trig_Ruffy_Attack_Actions,루피,초월함,초월_신문철_AP
e04Q,A09N,!4범위 루피초월 호크 개틀링,40000.0,Trig_Ruffy_Attack_Actions,루피,초월함,초월_신문철_AP
e054,A09T,3범위 루피초월 둔화,50000.0,Trig_Ruffy_AttackDamage_Actions,루피,초월함,초월_신문철_AP
e065,A0A4,0장풍 계열 검수초월,300000.0,Trig_Tichi_skill_2_tr_Actions,검은수염,초월함,초월_임채민_AP
e066,A13V,3범위 검수초 지진,400000.0,Trig_Tichi_skill_4_Actions / Trig_Tichi_skill_4_tr_Actions,검은수염,초월함,초월_임채민_AP
e0PH,A0Q6,3범위 검수초 지진-강진,400000.0,Trig_Tichi_skill_4_Actions / Trig_Tichi_skill_4_tr_Actions,검은수염,초월함,초월_임채민_AP
e0PL,A0A4,0장풍 계열 검수초월,300000.0,Trig_Tichi_skill_2_tr_Actions,검은수염,초월함,초월_임채민_AP
e06H,A0PI,3범위 도플초월 오색실1,205000.0,Trig_DP_Attack_gaksung_Actions,도플,초월함,초월_최상호_AP
e06K,A0PI,3범위 도플초월 오색실1,205000.0,Trig_DP_Attack_Actions,도플,초월함,초월_최상호_AP
e06R,A0AM,3범위 도플각성흉탄,150000.0,Trig_DP_Attack_gaksung_Actions,도플,초월함,초월_최상호_AP
e0IW,A0AM,3범위 도플각성흉탄,150000.0,Trig_DP_Attack_gaksung_Actions,도플,초월함,초월_최상호_AP
e06U,A0AN,0장풍 브룩 초월 오바드,400000.0,Trig_Brook_Skill_1_Actions,브룩,초월함,초월_황준석_ADAP
e06X,A0AN,0장풍 브룩 초월 오바드,400000.0,Trig_Brook_Skill_1_Actions,브룩,초월함,초월_황준석_ADAP
e09R,A0BV,0장풍 키자루초월 레이저,500000.0,Trig_Kizaru_Attack_Actions,키자루,초월함,초월_황준석_ADAP
e0EB,A0P3,6장풍 팔척경,270000.0,Trig_Bustercall_Etc2_Actions / Trig_Kizaru_Skill_mana_Actions,키자루,초월함,초월_황준석_ADAP
e0KH,A0WZ,3범위 징베 해류,500000.0,Trig_Jimbe_Actions,징베,초월함,초월_황준석_ADAP
e0MW,A10Z,0장풍 키드초월 리펠1,300000.0,Trig_Kid_Skill_3_Actions / Trig_Kid_Skill_3_item_Actions,키드,초월함,초월_황준석_ADAP
e0MY,A17P,0장풍 키드초월 댐드펑크,600000.0,Trig_Kid_Skill_3_Actions / Trig_Kid_Skill_3_item_Actions,키드,초월함,초월_황준석_ADAP
e0NM,A10Z,0장풍 키드초월 리펠1,300000.0,Trig_Kid_Skill_3_Actions / Trig_Kid_Skill_3_item_Actions,키드,초월함,초월_황준석_ADAP
e01M,A088,3범위 아카히든 대분화,300000.0,Trig_Akainu_03_Actions / Trig_Hidden5_Actions,아카이누,히든,히든_호치킨
