등급,유닛,스킬파일,원작게이트,불일치,방향,축밖조건
불멸의,불멸_고도현,SkillData_원작능력_불멸_고도현.asset,(2채널 CSV에 게이트 컬럼 없음),"원작 발동조건 미상 — 우리는 triggerChance=1.0(매 타)으로 근사, 효과 8개 보유",헐거움(원작 게이트 정보 자체가 없어 100%로 근사 — 2채널 구조적 한계),-
불멸의,불멸_이이삭,SkillData_원작능력_불멸_이이삭.asset,(2채널 CSV에 게이트 컬럼 없음),"원작 발동조건 미상 — 우리는 triggerChance=1.0(매 타)으로 근사, 효과 3개 보유",헐거움(원작 게이트 정보 자체가 없어 100%로 근사 — 2채널 구조적 한계),-
영원한,영원_김영원,SkillData_원작능력_영원_김영원.asset,(2채널 CSV에 게이트 컬럼 없음),"원작 발동조건 미상 — 우리는 triggerChance=1.0(매 타)으로 근사, 효과 4개 보유",헐거움(원작 게이트 정보 자체가 없어 100%로 근사 — 2채널 구조적 한계),-
영원한,영원_최상호,SkillData_원작능력_영원_최상호.asset,(2채널 CSV에 게이트 컬럼 없음),"원작 발동조건 미상 — 우리는 triggerChance=1.0(매 타)으로 근사, 효과 16개 보유",헐거움(원작 게이트 정보 자체가 없어 100%로 근사 — 2채널 구조적 한계),-
전설적인,전설적인_박성호,SkillData_원작능력_전설적인_박성호.asset,(2채널 CSV에 게이트 컬럼 없음),"원작 발동조건 미상 — 우리는 triggerChance=1.0(매 타)으로 근사, 효과 2개 보유",헐거움(원작 게이트 정보 자체가 없어 100%로 근사 — 2채널 구조적 한계),-
전설적인,전설적인_박은석,SkillData_원작능력_전설적인_박은석.asset,(2채널 CSV에 게이트 컬럼 없음),"원작 발동조건 미상 — 우리는 triggerChance=1.0(매 타)으로 근사, 효과 3개 보유",헐거움(원작 게이트 정보 자체가 없어 100%로 근사 — 2채널 구조적 한계),-
전설적인,전설적인_백기현,SkillData_원작능력_전설적인_백기현.asset,(2채널 CSV에 게이트 컬럼 없음),"원작 발동조건 미상 — 우리는 triggerChance=1.0(매 타)으로 근사, 효과 2개 보유",헐거움(원작 게이트 정보 자체가 없어 100%로 근사 — 2채널 구조적 한계),-
전설적인,전설적인_이유선,SkillData_원작능력_전설적인_이유선.asset,(2채널 CSV에 게이트 컬럼 없음),"원작 발동조건 미상 — 우리는 triggerChance=1.0(매 타)으로 근사, 효과 3개 보유",헐거움(원작 게이트 정보 자체가 없어 100%로 근사 — 2채널 구조적 한계),-
전설적인,전설적인_임채현,SkillData_원작능력_전설적인_임채현.asset,(2채널 CSV에 게이트 컬럼 없음),"원작 발동조건 미상 — 우리는 triggerChance=1.0(매 타)으로 근사, 효과 7개 보유",헐거움(원작 게이트 정보 자체가 없어 100%로 근사 — 2채널 구조적 한계),-
전설적인,전설적인_정윤식,SkillData_원작능력_전설적인_정윤식.asset,(2채널 CSV에 게이트 컬럼 없음),"원작 발동조건 미상 — 우리는 triggerChance=1.0(매 타)으로 근사, 효과 11개 보유",헐거움(원작 게이트 정보 자체가 없어 100%로 근사 — 2채널 구조적 한계),-
전설적인,전설적인_진연서,SkillData_원작능력_전설적인_진연서.asset,(2채널 CSV에 게이트 컬럼 없음),"원작 발동조건 미상 — 우리는 triggerChance=1.0(매 타)으로 근사, 효과 7개 보유",헐거움(원작 게이트 정보 자체가 없어 100%로 근사 — 2채널 구조적 한계),-
전설적인,전설적인_홍인창,SkillData_원작능력_전설적인_홍인창.asset,(2채널 CSV에 게이트 컬럼 없음),"원작 발동조건 미상 — 우리는 triggerChance=1.0(매 타)으로 근사, 효과 12개 보유",헐거움(원작 게이트 정보 자체가 없어 100%로 근사 — 2채널 구조적 한계),-
제한됨,제한_임준성,SkillData_원작능력_제한_임준성.asset,(2채널 CSV에 게이트 컬럼 없음),"원작 발동조건 미상 — 우리는 triggerChance=1.0(매 타)으로 근사, 효과 11개 보유",헐거움(원작 게이트 정보 자체가 없어 100%로 근사 — 2채널 구조적 한계),-
제한됨,제한_최영민,SkillData_원작능력_제한_최영민.asset,(2채널 CSV에 게이트 컬럼 없음),"원작 발동조건 미상 — 우리는 triggerChance=1.0(매 타)으로 근사, 효과 13개 보유",헐거움(원작 게이트 정보 자체가 없어 100%로 근사 — 2채널 구조적 한계),-
