우리등급,enum,우리_중앙DPS,원작라벨,원작_중앙DPS,원작_n,우리/원작,비고
Common,0,23,흔함,38,32,0.61배,
Uncommon,1,106,안흔함,117,14,0.91배,
Special,2,368,특별함,579,36,0.64배,
Rare,3,"3,300",희귀함,"5,503",42,0.60배,
Hidden,4,"16,501",히든(카테고리),"27,408",28,0.60배,원작에서 히든은 조합 결과물 묶음이지 뽑기 등급이 아니다
Legendary,5,"21,617",전설적인,"41,178",41,0.52배,
Limited,6,"27,841",제한됨,"66,409",22,0.42배,"원작에선 초월함과 사실상 동급(66,409 vs 67,191)"
Transcendent,7,"29,044",초월함,"67,191",29,0.43배,
Immortal,8,"89,624",불멸의,"127,552",22,0.70배,원작 사다리의 최상단
Eternal,9,"27,151",영원한,"56,339",11,0.48배,
RandomUnit,10,"696,437",랜덤전용(카테고리),"72,151",17,9.65배,🔴 9.7배 과다. 등급이 아니라 원피스 밖 콜라보 카테고리다
OtherWorld,11,"53,025",(원작에 없음),(없음),0,—,🔴 등급이 아니다 — 「다른세계 도박」(A0OC)은 랜덤전용 유닛을 뽑는 도박의 이름이다
Superior,12,"7,486",특수함(카테고리),"14,518",6,0.52배,UniqueSpecial rect 6기 전용 묶음
Transformed,14,"17,067",변화된,"46,668",9,0.37배,원작에서 사다리 끝이 아니다 — 전설적인과 영원한 사이
