출처표,유닛ID,유닛이름,스킬트리거,RRD순번,옛계산식,옛basis,옛multiplier,옛bonus,rand_min,rand_max,rand_mean,판정,비고
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,H08X,해군 대장 '성난 보라호랑이',Huji01,2,GetEventDamage(),ReceivedDamage,1,0,0.8,0.8,0.8,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,H08X,해군 대장 '성난 보라호랑이',Huji_03,1,6250000.00,Flat,,6250000,1,1.5,1.25,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,H08Y,무적의 아이언 파이러츠,Franky_misiile_re,1,180000.00,Flat,,180000,1,1.5,1.25,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,H092,혁명군 참모총장,Sabo_Mana,1,3750000.00,Flat,,3750000,1,2,1.5,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,H094,운명을 점치는 마술사,Hokins_mana,1,(1350000.00+(190000.00*s__TrigVariables__get_realB(GlobalTV))),[축밖],,,1,1.5,1.25,축밖,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,H095,신 해군원수 ,Akainu_02,1,(7250000.00+(s__TrigVariables__get_realD(GlobalTV)*10.00)),[축밖],,,1,2.5,1.75,축밖,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,H09F,수라의 검사,Zoro_Samchun2,1,(1500000.00+s__TrigVariables__get_realD(GlobalTV)),[축밖],,,1,1.5,1.25,축밖,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,H09F,수라의 검사,Zoro_Samchun2,2,2500000.00,Flat,,2500000,1,2.5,1.75,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,H09F,수라의 검사,Zoro_samchun1,1,2500000.00,Flat,,2500000,1,2.5,1.75,확정,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
ORIGINAL_UNLISTED_SKILL_EFFECTS.csv,H09F,수라의 검사,Zoro_saza1,1,(602500.00+s__TrigVariables__get_realD(GlobalTV)),[축밖],,,1,1.5,1.25,축밖,"최종피해 = 계산식 x GetRandomReal(min,max). multiplier/bonus는 계산식 안쪽 값이라 그대로 두고, 바깥에 난수배율을 곱해야 한다"
