유닛ID,트리거,회수경로,RRD호출수,공격피해타입,더미수치
h00B,,훅없음,0,,
h00O,,훅없음,0,,
h00P,Speical1,트리거식+더미,1,ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,e099:A0RF:Oae1=-0.05
h00Q,Speical8,수치없음,0,,
h00S,,훅없음,0,,
h00T,Speical3,더미능력,0,,"e05B:A09X:Efk1=1500,Efk2=8e+08,Efk3=7"
h00U,Speical5,더미능력,0,,e05F:A0A0:Blo1=3.6
h00W,Speical12,트리거식,1,ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,
h00X,,훅없음,0,,
h00Y,,훅없음,0,,
h012,Speical10,트리거식,2,ATTACK_TYPE_CHAOS/DAMAGE_TYPE_UNIVERSAL | ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,
h013,Speical6,더미능력,0,,e05D:A09Z:Htb1=500
h014,Speical2,수치없음,0,,
h015,,훅없음,0,,
h016,,훅없음,0,,
h017,,훅없음,0,,
h019,Speical4,트리거식,1,ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,
h01A,,훅없음,0,,
h01C,,훅없음,0,,
h01D,,훅없음,0,,
h01E,,훅없음,0,,
h01F,,훅없음,0,,
h01G,,훅없음,0,,
h01H,,훅없음,0,,
h01J,Speical9,더미능력,0,,"e0E6:A0BI:Ucs3=925,Ucs1=850,Ucs2=7e+07"
h01L,Unique12,트리거식+더미,1,ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,e059:A09W:Htc1=6000
h01M,Unique20,트리거식,2,ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,
h01N,,훅없음,0,,
h01O,,훅없음,0,,
h01P,Unique10,더미능력,0,,"e0BU:A0AX:Hbz1=2,Hbz2=6000"
h01Q,Unique30,트리거식,2,ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL | ATTACK_TYPE_SIEGE/DAMAGE_TYPE_NORMAL,
h01R,Unique9,더미능력,0,,"e03M:A09A:Ocl2=8,Ocl3=-0.1,Ocl1=6000"
h01S,Unique21,트리거식,2,ATTACK_TYPE_CHAOS/DAMAGE_TYPE_UNIVERSAL | ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,
h01T,,훅없음,0,,
h01U,,훅없음,0,,
h01V,Unique27,더미능력,0,,e0BZ:A0K2:Wrs1=12000
h01W,Unique26,트리거식,1,ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,
h01Y,Unique35,트리거식,2,ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,
h01Z,Unique16,수치없음,0,,
h021,Unique281,수치없음,0,,
h022,Unique4,더미능력,0,,"e05C:A09Y:Efk1=12000,Efk2=8e+08,Efk3=7"
h023,Unique14,더미능력,0,,"e038:A097:Ucs3=1050,Ucs1=8000,Ucs2=7e+07"
h024,Unique7,수치없음,0,,
h025,Unique22,트리거식,3,ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,
h027,Unique13,수치없음,0,,
h028,,훅없음,0,,
h029,Unique3,더미능력,0,,"e092:A0BE:Ucs3=1050,Ucs1=6000,Ucs2=7e+07"
h02A,Unique18,더미능력,0,,e03O:A0R8:Wrs1=13000
h02B,Unique11,더미능력,0,,e057:A0PX:Wrs1=9000
h02C,Unique23,더미능력,0,,e0AT:A0EL:Wrs1=7000
h02D,,훅없음,0,,
h02E,Unique34,트리거식+더미,2,ATTACK_TYPE_SIEGE/DAMAGE_TYPE_UNKNOWN,e090:A07C:Wrs1=10000
h02F,Unique33,트리거식+더미,2,ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,"e0BT:A0QH:Htb1=50000,arlv=6"
h02G,Unique2,더미능력,0,,e031:A095:Blo1=4
h02H,Unique17,트리거식,1,ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,
h02K,Unique31,트리거식,2,ATTACK_TYPE_SIEGE/DAMAGE_TYPE_NORMAL,
h02L,Unique6,트리거식,1,ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,
h02M,Unique29,트리거식+더미,2,ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,e0EN:A0TO:Htb1=1
h02N,Legend34Moria,수치없음,0,,
h02O,Legend18,트리거식+더미,2,ATTACK_TYPE_MAGIC/DAMAGE_TYPE_UNIVERSAL,"e0DB:A0BK:Ucs3=900,Ucs1=200000,Ucs2=7e+07 ; e0IP:A0BK:Ucs3=900,Ucs1=200000,Ucs2=7e+07"
h02P,Legend25,트리거식+더미,1,ATTACK_TYPE_MAGIC/DAMAGE_TYPE_UNIVERSAL,e0NR:A0W6:Oae1=-0.42
h02Q,Legend12,트리거식,5,ATTACK_TYPE_CHAOS/DAMAGE_TYPE_NORMAL | ATTACK_TYPE_MAGIC/DAMAGE_TYPE_UNIVERSAL | ATTACK_TYPE_SIEGE/DAMAGE_TYPE_UNIVERSAL,
h02R,Legend21sc,트리거식,3,ATTACK_TYPE_CHAOS/DAMAGE_TYPE_UNIVERSAL | ATTACK_TYPE_MAGIC/DAMAGE_TYPE_UNIVERSAL | ATTACK_TYPE_SIEGE/DAMAGE_TYPE_UNIVERSAL,
h02S,Legend13,수치없음,0,,
h02T,Legend17_Marco,수치없음,0,,
h02U,Legend26,트리거식,1,ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,
h02V,Legend9,트리거식+더미,3,ATTACK_TYPE_NORMAL/DAMAGE_TYPE_UNIVERSAL,"e0H8:A16K:Prg4=0.5,Prg1=6,Prg5=0.5"
h02W,Legend3,수치없음,0,,
h02X,Legend0,트리거식,1,ATTACK_TYPE_SIEGE/DAMAGE_TYPE_NORMAL,
