버프,초,절대쿨능력,능력이름,트리거계열,유닛,유닛이름,호출스킬,거는더미,게이트위치,대상
B06B,,❌ 절대쿨 가족에 없음,,Absolb1,,,,,Trig_Absolb1_Func001Func001Func001002,GetSpellTargetUnit()
B00V,,❌ 절대쿨 가족에 없음,,Speical5,h00U,|cff6495ed몽키.D.루피|,,,Trig_Speical5_Actions,GetAttacker()
B011,8.0,A091,5절대쿨 페로나,Hidden14,h048,|cffdb7093[히든조합]페로,,"e094,e095,e0PW,e0PY",Trig_Hidden14_Actions,GetAttacker()
B00B,7.0,A07B,5절대쿨 징베,Legend2,h03G,|cffffd700징베|r |cf,,e006,Trig_Legend2_Func002C,GetAttacker()
B06Y,1.75,A146,5절대쿨 루피,Ruffy_Attack,H099,|c00F3B001명왕 레일리의 ,,e04Q,Trig_Ruffy_Attack_Actions,GetAttacker()
B00N,12.5,A08X,5절대쿨 사보,Sabo_Attack,H092,|c00F3B001혁명군 참모총장,"Sabo_Skill_1,Sabo_Skill_3",e047,Trig_Sabo_Attack_Actions,GetAttacker()
B043,5.0,A0BZ,5절대쿨 시라호시,Sirahoshi_skill_3,,,,"e04S,e0K9,e0PF",Trig_Sirahoshi_skill_3_Conditions,udg_Hero_Shirahosi[0]
B012,3.5,A0BO,5절대쿨 나미,Nami_Attack,H08V,|c00F3B001웨더리아의 항해,Nami_Skill_4,e09H,Trig_Nami_Attack_Actions,GetAttacker()
B00K,14.0,A08Y,5절대쿨 뱌쿠야,byakuya_Attack,h08I,|cffdc143c쿠치키 뱌쿠야|,,e0LR,Trig_byakuya_Attack_Actions,GetAttacker()
B074,6.25,A14O,5절대쿨 빅맘,Bigmam_Attack,h04Q,|c003e5582빅 맘|r |c,,e0O9,Trig_Bigmam_Attack_Func005Func001C,s__TrigVariables__get_unit
B06B,,❌ 절대쿨 가족에 없음,,LaillySkill3,,,,,Trig_LaillySkill3_Actions,udg_Hero_leily[3]
B06B,,❌ 절대쿨 가족에 없음,,LaillySkill3,,,,,Trig_LaillySkill3_Actions,udg_Hero_leily[3]
B070,4.75,A14A,5절대쿨 레일리,LaillySkill,h049,|c003e5582실버즈 레일리|,Kick_1,"e01F,e0Q0,e0Q1",Trig_LaillySkill_Actions,GetAttacker()
B00J,8.5,A08S,5절대쿨 드래곤,Dragon_Attack,h04D,|c003e5582몽키.D.드래곤,Dragon_Skill_1_T,"e02T,e02W",Trig_Dragon_Attack_Actions,GetAttacker()
B05Q,11.0,A13E,5절대쿨 카이도,Kaido_Attack,h07M,|c003e5582카이도|r |c,,e0MG,Trig_Kaido_Attack_Func005Func002Func003C,s__TrigVariables__get_unit
B05Q,11.0,A13E,5절대쿨 카이도,Kaido_Dragon_Attack,h0AD,|c003e5582카이도|r |c,,e0MG,Trig_Kaido_Dragon_Attack_Actions,GetAttacker()
B017,4.25,A0CB,5절대쿨 에이스영원,Ace_Attack,h059,|CFFFFFA78'화권의'|r ,,"e0AB,e0D8",Trig_Ace_Attack_Actions,GetAttacker()
B034,6.0,A0LY,5절대쿨 비비,ViVi_Attack,h057,|CFFFFFA78알라바스타의 왕,,e0D3,Trig_ViVi_Attack_Actions,GetAttacker()
