계열,트리거,채팅문구,골드비용,목재비용,결과유닛(ID=이름),세이브조건,라운드조건,화이트리스트수,1회제한플래그
Eternal,Eternal_Akainu,akainu tr / 해군원수붉은개,,,H095=신 해군원수,,,317,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
Eternal,Eternal_Aokiji,aokiji tr / 전해군대장푸른꿩,,,H097=전 해군대장 아오키지,,,167,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
Eternal,Eternal_Brook,brook tr / 소울킹,,,H09I=소울 킹 | e073=공격시 4.15% 확률로 발동,,,266,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
Eternal,Eternal_DP,joker tr / 어둠의조커,,,"H09E=""어둠의 조커""드레스로자의 악몽",,,226,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
Eternal,Eternal_Franky,franky tr / 무적의아이언파이러츠,,,H08Y=무적의 아이언 파이러츠,,,131,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
Eternal,Eternal_Hokins,hawkins tr / 운명의마술사,,,H094=운명을 점치는 마술사,,,116,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
Eternal,Eternal_Kid,kid tr / 신세대의이단아,,,H0B4=유스타스'캡틴',,,132,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
Eternal,Eternal_Kizaru,kizaru tr / 해군대장노란원숭이,,,H0B5=해군대장-보르살리노,,,164,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
Eternal,Eternal_Law,law tr / 백개의심장을바친자,,,H096=로키포트 사건의 주모자,,,280,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
Eternal,Eternal_Lucci,lucci tr / 검은정의를좇는하얀새,,,H08W=CP.Zero,,,396,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
Eternal,Eternal_Luffy,luffy tr / 해적왕이될사나이,,,H099=명왕 레일리의 제자,,,433,"udg_Nika_Johab_Bool,udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
Eternal,Eternal_Nami,nami tr / 날씨는맑음,,,H08V=웨더리아의 항해사,,,337,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
Eternal,Eternal_Nika,nika et / 태양의신,,5,H0BK=|CFFFFFA78태양의신-니카,,,0,"udg_Nika_Item_Bool,udg_Nika_Johab_Bool"
Eternal,Eternal_Robin,robin tr / 악마의자식,,,H098=오하라의 마지막 생존자,,,190,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
Eternal,Eternal_Sabo,sabo tr / 혁명군참모총장,,,H092=혁명군 참모총장,,,32,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
Eternal,Eternal_Sandi,sanji tr / 지옥에서돌아온자,,,H09H=뉴카마섬의 생존자,,,327,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
Eternal,Eternal_Shanks,shanks tr / 정상해전종결자,,,H08Z=마린포드 정상해전 종결자,,,227,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
Eternal,Eternal_Shyrahosi,shirahoshi tr / 해왕류를다스리는인어공주,,,H08U='포세이돈' 인어공주,,,400,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
Eternal,Eternal_Snake_Luffy,snakeman tr / 다섯번째황제,,,H0B2=다섯번째 황제,,,432,"udg_Nika_Johab_Bool,udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
Eternal,Eternal_Tashigi,tashigi tr / 해군의홍일점,,,H05N=해군의 홍일점,,,238,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
Eternal,Eternal_Tichi,tichi tr / 치밀하고비열한어둠,,,H090=지진과 어둠의 검은수염,,,184,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
Eternal,Eternal_Usop,usopp tr / 바다의전사,,,H09B=G.O.D,,,122,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
Eternal,Eternal_Yamato,yamato tr / 오니히메,,,H0BD=오니히메,,,186,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
Eternal,Eternal_Zoro,zoro tr / 최강의검사,,,H09F=수라의 검사,,,292,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
Eternal,Eternal_chopa,chopper tr / 순록의사!,,,H091=밀짚모자 해적단 의사,,,150,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
Eternal,Eternal_huji,fujitora tr / 분노하는맹호,,,H08X=해군 대장 '성난 보라호랑이',,,117,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
Eternal,Eternal_jinbe,jinbe tr / 바다의협객,,,H09A=어인협객,,,109,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
Eternal,Eternal_ryokugyu,ryokugyu tr / 신해군대장초록소,,,H0BL='신'해군대장-초록소,,,40,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
Forever,Forever_ACE,ace et / 화권의에이스,,5,h059=|CFFFFFA78'화권의' 포트거스.D.에이스 - |CFFC15AF4영원한,>=5,,0,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
Forever,Forever_Bugi,buggy et / 천냥광대,,5,h05A=|CFFFFFA78천냥광대 버기 - |CFFC15AF4영원한,>=10,,0,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_bugi_johab_Bool,udg_one_dill"
Forever,Forever_Cavendish,cavendish et / 해적왕자,,5,h05B=|CFFFFFA78해적왕자-롬멜의 카마이타치 카벤딧슈 - |CFFC15AF4영원한,>=20,,0,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
Forever,Forever__Hancock,hancock et / 아마존릴리의여제,,5,h05C=|CFFFFFA78'아마존릴리의 여제'  보아 핸콕 - |CFFC15AF4영원한,>=15,,0,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
Forever,Forever_mihawk,mihawk et / 매의눈미호크,,5,h058=|CFFFFFA78세계 최강의 대검호 쥬라클 미호크 - |CFFC15AF4영원한,>=35,,0,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
Forever,Forever_oden,oden et / 참된호걸,,5,h08R=|CFFFFFA78참된 호걸 코즈키 오뎅 - |CFFC15AF4영원한,>=30,,0,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
Forever,Forever_uta,u-ta et / 세계의가희,,5,h067=|CFFFFFA78세계의 가희 우타 - |CFFC15AF4영원한,>=30,,0,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
Forever,Forever_vivi,vivi et / 파이러츠왕녀,,5,h057=|CFFFFFA78알라바스타의 왕녀-ver파이러츠 네펠타리 비비 - |CFFC15AF4영원한,>=25,,0,udg_one_dill
Hidden,Hidden_Akainu,akainu / 아카이누조합,,,h03Z=[히든조합]아카이누흰수염을죽인 붉은개,,,0,
Hidden,Hidden_Aokiji,aokiji / 아오키지조합,,,h041=[히든조합]쿠잔푸른 꿩,,,0,
Hidden,Hidden_Bal,baratie / 발라티에조합,,,h03P=[히든조합]발라티에해상 레스토랑,,,0,
Hidden,Hidden_Bonkure,bonkurei / 봉쿠레조합,,,h03O=[히든조합]벤담2년 후 임펠다운 5.5층 뉴카마랜드 왕,,,0,
Hidden,Hidden_Dekken,decken / 반더데켄조합,,,h03R=[히든조합]반 더 데켄어인섬 절반면적의 노아를 던진자,,,0,
Hidden,Hidden_Godenel,maxim / 방주맥심조합,,,h03X=[히든조합]갓 에넬방주 맥심,,,0,
Hidden,Hidden_Killer,killer / 킬러조합,,,h045=[히든조합]킬러초신성 - 살육무사,,,0,
Hidden,Hidden_Mihawk,mihawk / 검호조합,,,h043=[히든조합]쥬라클 미호크매의 눈,,,0,
Hidden,Hidden_Mobidic,mobydick / 모비딕호조합,,,h03Q=[히든조합]모비딕 호사황 흰수염의 흰고래,,,0,
Hidden,Hidden_Redforce,redforce / 레드포스호조합,,,h03U=[히든조합]레드포스 호사황 샹크스의 붉은용,,,0,
Hidden,Hidden_Ryuma,ryuma / 류마조합,,,h044=[히든조합]검호 류마흑도 슈스이의 주인,,,0,
Hidden,Hidden_Sabo,sabo / 사보조합,,,h03M=[히든조합]사보 - 용조권,,,0,
Hidden,Hidden_Sunny,sunny / 써니호조합,,,h03L=[히든조합]사우전드 써니호밀짚모자해적단,,,0,
Hidden,Hidden_Tiger,tiger / 피셔타이거조합,,,h047=[히든조합]피셔 타이거마리조아 노예시장 파괴자,,,0,
Hidden,Hidden_Yiwan,ivankov / 이완코브조합,,,h03Y=[히든조합]엠포리오 이완코브임펠다운 5.5층 뉴카마왕국의 왕(?),,,0,
Hidden,Hidden_bergo,vergo / 베르고조합,,,h03W=[히든조합]귀죽의 베르고해군 중장,,,0,
Hidden,Hidden_carrot,carrot / 캐럿조합,,,h07L=[히든조합]캐럿밍크족 토끼,,,0,
Hidden,Hidden_kinemon,kinemon / 킨에몬조합,,,h046=[히든조합]킨에몬여우불의 사무라이,,,0,
Hidden,Hidden_koalla,koala / 코알라조합,,,h03V=[히든조합]코알라혁명군-어인공수도대리사범,,,0,
Hidden,Hidden_perona,perona / 페로나조합,,,h048=[히든조합]페로나고스트 프린세스,,,0,
Hidden,Hidden_rebecca,rebecca / 레베카조합,,,h03T=[히든조합]레베카콜로세움의 검투사,,,0,
Hidden,Hidden_rokugu,ryokugyu / 료쿠규조합,,,h03N=[히든조합]료쿠규'신'해군대장,,,0,
Hidden,Hidden_siru,shiryu / 시류조합,,,h03J=[히든조합]시류비의 시류,,,90,
IM,IM_Bigmam,bigmam im / 탐식의강철풍선,,10,h04Q=빅 맘 강철 풍선 - 불멸의,,,0,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
IM,IM_Kaido,kaido im / 백수의제왕카이도,,10,h07M=카이도 사황'백수의 왕' - 불멸의,,,0,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
IM,IM_Z_1,Z im / 신념의흑완제트,,10,"h04G=제트 해군 스승 ""Z"" - 불멸의",,,399,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
IM,IM_dragon,dragon im / 폭풍을몰아오는바람,,10,h04D=몽키.D.드래곤 혁명군의 수장 - 불멸의,,,268,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
IM,IM_edward1,whitebeard im / 대해적흰수염,,10,h04A=에드워드 뉴게이트 한시대를 주름잡던 대해적 - 불멸의,,,243,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
IM,IM_garp1,garp im / 해군영웅거프,,10,h04C=몽키.D.거프 해군영웅 주먹의 거프 - 불멸의,,,161,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
IM,IM_lailiey1,rayleigh im / 명왕실버즈레일리,,10,h049=실버즈 레일리 명왕 - 불멸의,,,253,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
IM,IM_musasi1,gaban im / 대검호스코퍼가반,,10,h04F=스코퍼 가반 로져 해적단의 검호 - 불멸의,,,154,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
IM,IM_roger_1,roger im / 해적왕골D로져,,10,h04J=골.D.로져 해적왕 - 불멸의,,,225,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
IM,IM_sengoku1,sengoku im / 부처님센고쿠,,10,"h04E=센고쿠 해군원수 ""부처님"" - 불멸의",,,176,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
IM,IM_siki_1,shiki im / 천신금사자시키,,10,h04B=금사자 시키 천신 - 불멸의,,,168,"udg_Tech_Onedill,udg_Tech_Onedill_int,udg_one_dill"
