유닛ID,유닛이름,스킬트리거,함수,호출,RRD순번,계산식앞,공격타입,피해타입,방어무시,주의
,,Absolb1,Trig_Absolb1_Func005Func003A,RRD,1,7000000.00,CHAOS,UNIVERSAL,O,
,,Absolb1,Trig_Absolb1_Func006Func003A,RRD,2,1000000.00,CHAOS,UNIVERSAL,O,
,,Absolb1,Trig_Absolb1_Func006Func005Func004A,RRD,3,1000000.00,CHAOS,UNIVERSAL,O,
,,Absolb1,Trig_Absolb1_Actions,UnitDamageTargetBJ,4,"(0.07*GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetSpellTargetUni",CHAOS,UNIVERSAL,O,
,,Bustercall_Etc4,Trig_Bustercall_Etc4_Func004Func004A,RRD,1,315000.00,CHAOS,NORMAL,X,
h00P,나미 크리마 텍트 - 특별함,Speical1,Trig_Speical1_Func006A,RRD,1,800.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h019,챠카 알라바스타의 수호신 - 특별함,Speical4,Trig_Speical4_Actions,RRD,1,3500.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h012,스쿼드 흰수염산하 소용돌이 거미 - 특별함,Speical10,Trig_Speical10_Func004Func006A,UnitDamageTargetBJ,1,3000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h012,스쿼드 흰수염산하 소용돌이 거미 - 특별함,Speical10,Trig_Speical10_Actions,UnitDamageTargetBJ,2,5000.00,CHAOS,UNIVERSAL,O,
h00W,롤로노아 조로 귀기 - 특별함,Speical12,Trig_Speical12_Func009A,RRD,1,1000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
,,Pirates_docking_1,Trig_Pirates_docking_1_Actions,UnitDamageTargetBJ,1,"(0.15*GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetSpellTargetUni",NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h02I,상디 디아블 잠브 - 희귀함,Unique1,Trig_Unique1_Actions,RRD,1,5000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h02J,킨에몬 와노쿠니의 사무라이 - 희귀함,Unique5,Trig_Unique5_Func006A,RRD,1,6000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h02L,트라팔가 로우 죽음의 외과의사 - 희귀함,Unique6,Trig_Unique6_Func010A,RRD,1,6000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h04H,쥬라클 미호크 칠무해 - 희귀함,Unique8,Trig_Unique8_Actions,RRD,1,12500.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h01L,돈키호테 도플라밍고 칠무해 - 희귀함,Unique12,Trig_Unique12_Func006A,RRD,1,6000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h02H,크로커 다일 Mr.0 Sir - 희귀함,Unique17,Trig_Unique17_Actions,RRD,1,17500.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h026,시류 전 임펠다운 간수장 - 희귀함,Unique19,Trig_Unique19_Actions,RRD,1,"((GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit())*0.10)*(",MELEE,UNIVERSAL,O,⚠MELEE=원작 Normal행
h026,시류 전 임펠다운 간수장 - 희귀함,Unique19,Trig_Unique19_Actions,RRD,2,12500.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h01M,보아 핸콕 칠무해 - 희귀함,Unique20,Trig_Unique20_Func007A,RRD,1,6000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h01M,보아 핸콕 칠무해 - 희귀함,Unique20,Trig_Unique20_Actions,RRD,2,"((GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit())*0.10)*(",NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h01S,벤 베크만 붉은머리 해적단 부선장 - 희귀함,Unique21,Trig_Unique21_Actions,RRD,1,10000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h01S,벤 베크만 붉은머리 해적단 부선장 - 희귀함,Unique21,Trig_Unique21_Actions,RRD,2,"((GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit())*0.01)+2",CHAOS,UNIVERSAL,O,
h025,검호 류마 용의 목을 벤 사나이 - 희귀함,Unique22,Trig_Unique22_Func007A,RRD,1,4500.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h025,검호 류마 용의 목을 벤 사나이 - 희귀함,Unique22,Trig_Unique22_Actions,RRD,2,2000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h025,검호 류마 용의 목을 벤 사나이 - 희귀함,Unique22,Trig_Unique22_Actions,RRD,3,"((GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit())*0.10)*(",NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h01W,바르토로메오 밀짚모자 해적단 광신도 - 희귀,Unique26,Trig_Unique26_Func006A,RRD,1,6000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h021,마샬.D.티치 흰수염해적단의 배신자 - 희귀,Tich1_danil,Trig_Tich1_danil_Actions,RRD,1,15000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h021,마샬.D.티치 흰수염해적단의 배신자 - 희귀,Tich1_danil,Trig_Tich1_danil_Actions,RRD,2,15000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h02M,베이비 5 팔보수군 - 희귀함,Unique29,Trig_Unique29_Func004Func004A,RRD,1,6000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h02M,베이비 5 팔보수군 - 희귀함,Unique29,Trig_Unique29_Actions,RRD,2,15000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h01Q,거프 해군 영웅 - 희귀함,Unique30,Trig_Unique30_Func043A,RRD,1,52500.00,SIEGE,NORMAL,X,
h01Q,거프 해군 영웅 - 희귀함,Unique30,Trig_Unique30_Actions,RRD,2,40000.00,NORMAL,UNIVERSAL,O,⚠NORMAL=원작 Spells행
h02K,토니토니 쵸파 혼 포인트 - 희귀함,Unique31,Trig_Unique31_Func006A,RRD,1,35000.00,SIEGE,NORMAL,X,
h02K,토니토니 쵸파 혼 포인트 - 희귀함,Unique31,Trig_Unique31_Actions,RRD,2,17500.00,SIEGE,NORMAL,X,
