능력ID,결과유닛ID,재료유닛ID들,재료개수들,골드,목재,툴팁원문
A004,h012,"h00G,h00L,h001","1,1,1",0,0,|cffFF8200쵸파럼블볼강화 + 프랑키 + 나미|r = |cff2f4f4f스쿼드|r
A005,h03S,"h02K,h028,h01S","1,1,1",0,3,|cffFF8200쵸파 혼 포인트 + 센토마루 + 벤베크만|r = |cff2f4f4f울티|r / |cff32cd32목재 3필요|r / 
A011,h08O,"h02T,h03K","1,1",5000,5,|cffFF8200마르코 + 히루루크 + [아이템]:불사조의 깃털|r = |cff2f4f4f흰수염 유산의 수호자 마르코|r / |cff32cd32목재 5필요|r / |cffffd700골드 5000 필요|r
A012,h00U,h003,3,0,0,|cffFF8200루피 + 루피 + 루피|r = |cff2f4f4f루피 기어세컨드|r
A013,h01V,"h016,h015,h00T","1,1,1",0,0,|cffFF8200바질 호킨스 + 버기 마기탄 + 마르코|r = |cff2f4f4f바제스|r
A014,h01E,"h00G,h00O,h005","1,1,1",0,0,|cffFF8200럼블볼강화 +로빈+ 버기|r = |cff2f4f4f쵸파 두뇌강화|r
A015,h00P,h001,3,0,0,|cffFF8200나미 + 나미 + 나미|r = |cff2f4f4f나미 크리마텍트|r
A016,h025,"h00B,h00W,h00J,h00N,h006","1,1,1,1,1",0,0,|cffFF8200모리아 + 조로귀기 + 페로나 + 저격왕 + 해군 칼병|r = |cff2f4f4f류마|r
A017,h017,"h00C,h00L,h002","1,1,1",0,0,|cffFF8200베포 + 프랑키 + 조로|r = |cff2f4f4f바솔로뮤 쿠마|r
A018,h015,h005,3,0,0,|cffFF8200버기 + 버기 + 버기|r = |cff2f4f4f버기 마기탄|r
A019,h01I,"h00D,h002,h004","1,1,1",0,0,|cffFF8200브룩 + 조로 + 상디|r = |cff2f4f4f헤르메포|r
A01A,h019,"h00M,h00A,h008","1,1,1",0,0,|cffFF8200블루노 + 후쿠로 + 쵸파|r = |cff2f4f4f챠카|r
A01B,h013,h004,3,0,0,|cffFF8200상디 + 상디 + 상디|r = |cff2f4f4f상디 검은 다리|r
A01C,h01B,"h00E,h00D,h005","1,1,1",0,0,|cffFF8200타시기 + 브룩 + 버기|r = |cff2f4f4f킬러|r
A01E,h018,"h00K,h00A,h005","1,1,1",0,0,|cffFF8200에이스 + 후쿠로 + 버기|r = |cff2f4f4f징베|r
A01F,h021,"h01J,h012,h01K","1,1,1",0,0,|cffFF8200에이스 2번대 + 스쿼드 + X드레이크|r = |cff2f4f4f검은수염|r
A01G,h02N,"h020,h025,h05K","1,1,1",0,3,|cffFF8200마인오즈 + 검호류마 + 페로나|r = |cff2f4f4f겟코모리아 아스가르드|r / |cff32cd32목재 3필요|r / 
A01H,h00L,"h007,h003","1,1",0,0,|cffFF8200우솝 + 루피|r = |cff2f4f4f프랑키|r
A01I,h014,"h00I,h00O,h001","1,1,1",0,0,|cffFF8200이나즈마 + 로빈 + 나미|r = |cff2f4f4f봉쿠레|r
A01J,h02A,"h00X,h00S,h01A","1,1,1",0,0,|cffFF8200이나즈마 혁명군 + 로빈오하라 + 크로커다일|r = |cff2f4f4f이완코브|r
A01K,h00Z,h00N,2,0,0,|cffFF8200저격왕 + 저격왕|r = |cff2f4f4f우솝 '화염탄'|r
A01L,h00F,"h009,h001","1,1",0,0,|cffFF8200해군총병 + 나미|r = |cff2f4f4f하찌|r
A01M,h01Z,"h018,h015,h01J","1,1,1",0,0,|cffFF8200징베 + 버기마기탄 + 에이스2번대대장|r = |cff2f4f4f마젤란|r
A01N,h016,"h00J,h00M,h007","1,1,1",0,0,|cffFF8200페로나 + 블루노 + 우솝|r = |cff2f4f4f바질 호킨스|r
A01O,h00R,"h00A,h00O,h003","1,1,1",0,0,|cffFF8200후쿠로 + 로빈 + 루피|r = |cff2f4f4f루치|r
A01P,h011,"h00F,h003","2,1",0,0,|cffFF8200하찌 + 하찌 + 루피|r = |cff2f4f4f아론|r
A01Q,h01A,"h00L,h00N,h005","1,1,1",0,0,|cffFF8200프랑키 + 저격왕 + 버기|r = |cff2f4f4f크로커다일|r
A01R,h00E,"h006,h009","1,1",0,0,|cffFF8200해군칼병 + 해군총병|r = |cff2f4f4f타시기|r
A01Y,h05E,"h03X,h038,h00P,h060","1,1,1,1",5000,5,|cffFF8200방주맥심 + 시저 크라운 + 나미 크리마 텍트 + 해적선|r = |cff2f4f4fG.O.D에넬|r / |cff32cd32목재 5필요|r / |cffffd700골드 5000 필요|r
A022,h05G,"h01N,h06I,h02Z","1,1,1",5000,5,|cffFF8200묘비 + 브룩[희귀함] + 확장팩  + '식인'바르토로메오|r = |cff2f4f4f????|r / |cff32cd32목재 5필요|r / |cffffd700골드 5000 필요|r
A02D,h02T,"h022,h02M,h01M","1,1,1",0,3,|cffFF8200마르코 + 베이비5 + 보아 핸콕|r = |cff2f4f4f마르코 '조온계 환수종'|r / |cff32cd32목재 3필요|r / 
A02E,h01N,"h00D,h00B,h00R","1,1,1",0,0,|cffFF8200브룩 + 모리아 + 루치+ |r = |cff2f4f4f브룩 해골음악가|r
A01W,h02C,"h00Z,h01C,h00P","1,1,1",0,0,|cffFF8200우솝 화염탄 + 카포네 갱 뱃지 + 나미크리마텍트|r = |cff2f4f4f우솝 보잉열도 생존자|r
A00W,h00D,"h008,h002","1,1",0,0,|cffFF8200조로 + 쵸파|r = |cff2f4f4f브룩|r
A0N5,h00M,h009,2,0,0,|cffFF8200해군총병 + 해군총병|r = |cff2f4f4f블루노|r
A0N6,h01R,"h01I,h01H,h00Y","1,1,1",0,0,|cffFF8200헤르메포 + 트라팔가로우 + 유스타스 키드|r = |cff2f4f4f키자루|r
A0N7,h00A,h006,2,0,0,|cffFF8200해군칼병 + 해군칼병|r = |cff2f4f4f후쿠로|r
A0N8,h00V,"h00F,h006,h002","1,1,1",0,0,|cffFF8200하찌 + 해군칼병 + 조로|r = |cff2f4f4f캡틴 크로|r
A0N9,h032,"h01M,h02I,h04H","1,1,1",0,3,|cffFF8200핸콕 + 상디디아블잠브 + 미호크|r = |cff2f4f4f핸콕 해적여제|r / |cff32cd32목재 3필요|r / 
A0NA,h01C,"h00A,h005,h009","1,1,1",0,0,|cffFF8200후쿠로 + 버기 + 해군총병|r = |cff2f4f4f카포네 갱 벳지|r
A0NB,h024,"h00Q,h013,h00Z","1,1,1",0,0,|cffFF8200갓에넬 + 상디검은다리 + 우솝 화염탄|r = |cff2f4f4f와이퍼|r
A036,h02U,"h021,h026,h01V","1,1,1",0,3,|cffFF8200검은수염 + 시류 + 바제스|r = |cff2f4f4f검은수염 전설|r|cff32cd32목재 3필요|r
A037,h03K,"h02K,h01T,h01V","1,1,1",0,3,|cffFF8200쵸파 혼포인트 + 반더데켄 + 바제스 |r = |cff2f4f4fDr.히루루크|r / |cff32cd32목재 3필요|r / 
A039,h026,"h013,h01K,h01C","1,1,1",0,0,|cffFF8200카포네 갱 뱃지 + X드레이크 + 상디검은다리|r = |cff2f4f4f시류|r
A00E,h00C,"h008,h003","1,1",0,0,|cffFF8200쵸파 + 루피|r = |cff2f4f4f베포|r
A006,h00O,"h004,h001","1,1",0,0,|cffFF8200나미 + 상디|r = |cff2f4f4f로빈|r
A01S,h03A,"h05X,h028,h018","1,1,1",0,5,|cffFF8200레일리+ 센토마루+ 징베|r = |cff2f4f4f'로저해적단 부선장' 레일리 |r / |cff32cd32목재 5필요|r / 
A02X,h039,"h024,h023,h01Z","1,1,1",0,3,|cffFF8200와이퍼 + 카쿠 '람각 주단'+ 마젤란|r = |cff2f4f4f금사자 시키|r / |cff32cd32목재 3필요|r / 
A007,h05I,"h03T,h05S,h037","1,1,1",5000,5,|cffFF8200레베카 + 어둠의 브로커 + 슈가 장난감 지배자|r = |cff2f4f4f콜로세움 전설의 후예|r / |cff32cd32목재 5필요|r / |cffffd700골드 5000 필요|r / 
A009,h038,"h01L,h01R,h01Q","1,1,1",0,3,|cffFF8200도플라밍고 + 키자루 + 거프|r = |cff2f4f4f시저 크라운|r / |cff32cd32목재 3필요|r / 
A00A,h02M,"h01G,h017,h00R","1,1,1",0,0,|cffFF8200프랑키 파이러츠 도킹5 + 쿠마 + 루치|r = |cff2f4f4f베이비 5|r
A03E,h00S,"h00O,h008","2,1",0,0,|cffFF8200로빈 + 로빈 + 쵸파|r = |cff2f4f4f로빈 오하라|r
A0NC,h02B,"h00S,h012,h00Q","1,1,1",0,0,|cffFF8200로빈오하라 + 스쿼드 + 갓에넬|r = |cff2f4f4f아오키지|r
A0ND,h01M,"h00P,h011,h00U","1,1,1",0,0,|cffFF8200나미크리마텍트 + 아론 + 루피기어세컨드|r = |cff2f4f4f핸콕|r
A00B,h01D,"h00G,h00I,h006","1,1,1",0,0,|cffFF8200쵸파 럼블볼 + 이나즈마 + 해군 칼병|r = |cff2f4f4f쵸파 가드포인트|r
A00C,h023,"h00R,h019,h00S","1,1,1",0,0,|cffFF8200루치 + 챠카 + 로빈오하라|r = |cff2f4f4f카쿠 '람각 주단'|r
A00D,h00K,"h003,h009","1,1",0,0,|cffFF8200루피 + 해군총병|r = |cff2f4f4f에이스|r
A03D,h02X,"h01X,h09X,h023","1,1,1",0,3,|cffFF8200루피기어서드 + 카쿠 '람각 주단' + X드레이크 알로사우로스|r = |cff2f4f4f루피 기어2 Jet 개틀링|r / |cff32cd32목재 3필요|r / 
A00F,h01X,"h00U,h014,h00Q","1,1,1",0,0,|cffFF8200루피기어세컨드 + 봉쿠레 + 갓에넬|r = |cff2f4f4f루피 기어서드|r
A00I,h022,"h00T,h019,h01D","1,1,1",0,0,|cffFF8200마르코 + 챠카 + 쵸파가드포인트|r = |cff2f4f4f마르코 흰수염 1번대대장|r
A028,h020,"h00B,h00U","2,1",0,0,|cffFF8200모리아 + 모리아 + 루피기어세컨드|r = |cff2f4f4f마인 오즈|r
A03H,h02V,"h01Y,h01Q,h01Z","1,1,1",0,3,|cffFF8200거프 + 모몬가 + 마젤란|r = |cff2f4f4f집념의 해군중장 스모커|r / |cff32cd32목재 3필요|r / 
A0IO,h01U,"h016,h01B,h01H","1,1,1",0,0,|cffFF8200바질호킨스 + 킬러 + 트라팔가로우|r = |cff2f4f4f바질호킨스 스트로맨|r
A00G,h033,"h01Z,h02M,h02H","1,1,1",0,3,|cffFF8200마젤란 + 베이비5 + 크로커다일Mr.0|r = |cff2f4f4f빈스모크 레이쥬|r / |cff32cd32목재 3필요|r
A00J,h02Z,"h01W,h02C,h01X","1,1,1",0,3,|cffFF8200바르토롤메오 + 우솝 보잉열도생존자+ 루피'기어써드'|r = |cff2f4f4f식인 바르토롤메오|r / |cff32cd32목재 3필요|r / 
A00K,h00B,"h00D,h004","2,1",0,0,|cffFF8200브룩 + 브룩 + 상디|r = |cff2f4f4f모리아|r
A03B,h029,"h015,h00U,h00Z","1,1,1",0,0,|cffFF8200버기마기탄 + 루피기어세컨드 + 우솝 '화염탄'|r = |cff2f4f4f샹크스|r
A0NE,h03G,"h01T,h02L,h01P","1,1,1",0,3,|cffFF8200반더데켄 + 죽음의외과의사 로우 +  아카이누|r = |cff2f4f4f징베 괴물고래상어어인|r / |cff32cd32목재 3필요|r / 
A008,h02G,"h014,h016,h00X","1,1,1",0,0,|cffFF8200봉쿠레 + 바질호킨스 + 이나즈마 혁명군|r = |cff2f4f4f제프|r
A01X,h01H,"h00E,h00C,h005","1,1,1",0,0,|cffFF8200베포 + 타시기 + 버기|r = |cff2f4f4f트라팔가 로우|r
A021,,,,0,0,
A00L,h00J,"h005,h001","1,1",0,0,|cffFF8200버기 + 나미|r = |cff2f4f4f페로나|r
A00N,h02O,"h022,h01Y,h021","1,1,1",0,3,|cffFF8200 마르코 1번대대장+ 모몬가 + 검은수염|r = |cff2f4f4f골.D.에이스|r / |cff32cd32목재 3필요|r / 
A00O,h02P,"h01O,h01N,h05K","1,1,1",0,3,|cffFF8200비비 + 브룩 음악가 + 페로나 프린세스|r = |cff2f4f4f나미 도둑고양이|r / |cff32cd32목재 3필요|r / 
A00P,h00I,"h004,h002","1,1",0,0,|cffFF8200상디 + 조로|r = |cff2f4f4f이나즈마|r
A024,h00T,"h00M,h00K,h004","1,1,1",0,0,|cffFF8200블루노 + 에이스 + 상디|r = |cff2f4f4f마르코|r
A03C,h02Q,"h01N,h01W,h026","1,1,1",0,3,|cffFF8200브룩음악가 + 바르토로메오 + 비의 시류|r = |cff2f4f4f라분|r / |cff32cd32목재 3필요|r
A01T,h03E,"h026,h029,h02G","1,1,1",0,3,|cffFF8200시류 + 샹크스 + 제프|r = |cff2f4f4f코비|r / |cff32cd32목재 3필요|r / 
A01U,h034,"h02I,h02A,h01U","1,1,1",0,3,|cffFF8200상디디아블 + 이완코브 + 스트로맨|r = |cff2f4f4f상디 검은 다리'슈트 코스'|r / |cff32cd32목재 3필요|r / 
A01V,h05K,"h010,h00J,h013,h01E","1,1,1,1",0,0,|cffFF8200압살롬 + 페로나 + 상디검은다리 + 두뇌강화|r = |cff2f4f4f페로나 프린세스|r
A025,h035,"h029,h01S,h02I","1,1,1",0,3,|cffFF8200샹크스 + 벤베크만 + 상디디아블|r = |cff2f4f4f샹크스 사황|r / |cff32cd32목재 3필요|r / 
A027,h030,"h028,h02M,h02K","1,1,1",0,3,|cffFF8200센토마루 + 베이비5 + 쵸파 혼 포인트|r = |cff2f4f4f바솔로뮤쿠마 폭군|r / |cff32cd32목재 3필요|r / 
A0NF,h02I,"h013,h01D,h00Y","1,1,1",0,0,|cffFF8200상디검은다리 + 쵸파 가드포인트 + 유스타스키드|r = |cff2f4f4f상디 디아블잠브|r
A00M,h036,"h01P,h02B,h01R","1,1,1",0,3,|cffFF8200아카이누 + 아오키지 +  키자루|r = |cff2f4f4f센고쿠|r / |cff32cd32목재 3필요|r / 
A02A,h02E,"h012,h00V,h01C","1,1,1",0,0,|cffFF8200스쿼드 + 캡틴크로 + 갱뱃지|r = |cff2f4f4f다이아몬드 죠즈|r
A02B,h01K,"h00E,h00A,h008","1,1,1",0,0,|cffFF8200타시기 + 후쿠로 + 쵸파|r = |cff2f4f4fX-드레이크|r
A03G,h01T,"h011,h01I,h018","1,1,1",0,0,|cffFF8200아론 + 헤르메포 + 징베|r = |cff2f4f4f반 더 데켄|r
A0NG,h03I,"h02B,h01V,h05L","1,1,1",0,3,|cffFF8200바제스 + 아오키지 + 사보|r = |cff2f4f4f제파 전 해군대장|r / |cff32cd32목재 3필요|r
A0NH,h02S,"h02F,h05K,h04H","1,1,1",0,3,|cffFF8200조로 현상금 사냥꾼 + 페로나 프린세스 + 미호크|r = |cff2f4f4f롤로노아조로 죽음의경지|r / |cff32cd32목재 3필요|r / 
A0NI,h037,"h027,h02C,h01U","1,1,1",0,3,|cffFF8200슈가 + 우솝 보잉열도생존자 + 스트로맨 = |cff2f4f4f장난감 군대 슈가|r / |cff32cd32목재 3필요|r / 
A00R,h01P,"h01J,h01A,h00X","1,1,1",0,0,|cffFF8200에이스2번대대장 + 크로커다일 + 이나즈마 혁명군|r = |cff2f4f4f아카이누|r
A00S,h01J,"h00K,h007","2,1",0,0,|cffFF8200에이스 + 에이스 + 우솝|r = |cff2f4f4f에이스 2번대대장|r
A00Q,h01S,"h00Z,h01F,h00Q","1,1,1",0,0,|cffFF8200우솝 '화염탄' + 스모커 + 갓에넬|r = |cff2f4f4f벤 베크만|r
A00T,h02Y,"h020,h01X,h025,h010","1,1,1,1",0,3,|cffFF8200오즈 + 루피기어서드 + 류마 + 압살롬|r = |cff2f4f4f루피 나이트메어|r / |cff32cd32목재 3필요|r / 
A00U,h02D,"h00Y,h00P,h01B","1,1,1",0,0,|cffFF8200유스타스키드 + 나미크리마텍트 + 킬러|r = |cff2f4f4f유스타스 캡틴 키드|r
A00V,h00N,h007,2,0,0,|cffFF8200우솝 + 우솝|r = |cff2f4f4f저격왕|r
A00X,h05L,"h00X,h017,h00T","1,1,1",0,0,|cffFF8200이나즈마 혁명군 + 쿠마 + 마르코|r = |cff2f4f4f사보 혁명군|r
A00Y,h02W,"h02A,h05L,h01O","1,1,1",0,3,|cffFF8200이완코브 + 사보 혁명군 + 비비|r = |cff2f4f4f몽키.D.드래곤|r / |cff32cd32목재 3필요|r / 
A00Z,h00X,h00I,2,0,0,|cffFF8200이나즈마 + 이나즈마|r = |cff2f4f4f이나즈마 혁명군|r
A010,h02K,"h01D,h01I,h01H","1,1,1",0,0,|cffFF8200쵸파가드포인트 + 헤르메포 + 로우|r = |cff2f4f4f쵸파 혼 포인트|r
A01D,h00Q,"h00N,h00C,h004","1,1,1",0,0,|cffFF8200저격왕 + 베포 + 상디|r = |cff2f4f4f에넬|r
A026,h03F,"h02C,h01N,h024","1,1,1",0,3,|cffFF8200우솝 보잉열도생존자 + 브룩 해골 음악가+ 와이퍼|r = |cff2f4f4f카르가라|r / |cff32cd32목재 3필요|r / 
A029,h010,"h00H,h001","3,1",0,0,|cffFF8200좀비 + 좀비 + 좀비 + 나미|r = |cff2f4f4f압살롬|r
A02C,h03H,"h02G,h02J,h027","1,1,1",0,3,|cffFF8200제프 + 킨에몬 + 슈가|r = |cff2f4f4f샬롯 크래커|r / |cff32cd32목재 3필요|r / 
A02F,h01W,"h00V,h011,h01G","1,1,1",0,0,|cffFF8200캡틴크로+아론+파이러츠 도킹 5|r = |cff2f4f4f바르토로메오|r
A02G,h03B,"h02E,h022,h02J","1,1,1",0,3,|cffFF8200다이아몬드 죠즈 + 마르코 1번대대장 + 킨에몬|r = |cff2f4f4f에드워드뉴게이트 사황|r / |cff32cd32목재 3필요|r / 
A02T,h04H,"h00W,h00V,h01K","1,1,1",0,0,|cffFF8200조로귀기 + 캡틴크로 + X드레이크|r = |cff2f4f4f미호크|r
A032,h00W,h002,3,0,0,|cffFF8200조로 + 조로 + 조로|r = |cff2f4f4f조로 귀기|r
A02R,h02F,"h00W,h00B,h01F","1,1,1",0,0,|cffFF8200조로귀기 + 모리아 + 스모커|r = |cff2f4f4f조로 현상금 사냥꾼|r
A02H,h03C,"h02L,h02D,h028","1,1,1",0,3,|cffFF8200트라팔가 로우 + 유스타트 키드 캡틴 + 센토마루|r = |cff2f4f4f하트 해적단 선장 로우|r / |cff32cd32목재 3필요|r / 
A02I,h00G,h008,2,0,0,|cffFF8200쵸파 + 쵸파|r = |cff2f4f4f쵸파 럼블볼강화|r
A02J,h01O,"h019,h01A,h00P","1,1,1",0,0,|cffFF8200챠카 + 크로커다일 + 나미 크리마텍트|r = |cff2f4f4f비비|r
A02K,h01Y,"h018,h01I,h01F","1,1,1",0,0,|cffFF8200징베 + 스모커 + 헤르메포|r = |cff2f4f4f모몬가|r
A02L,h027,"h01E,h00W,h00J,h007","1,1,1,1",0,0,|cffFF8200쵸파두뇌강화 + 조로 귀기 + 페로나 + 우솝|r = |cff2f4f4f슈가|r
A02N,h02H,"h01A,h018,h014","1,1,1",0,0,|cffFF8200크로커다일 + 징베 + 봉쿠레|r = |cff2f4f4f크로커다일 Mr.0 Sir|r
A02O,h05F,"h02H,h05W,h03Z","1,1,1",5000,5,|cffFF8200Mr.0 +  [히든]'붉은개' 사카즈키 + 알라바스타의 왕녀|r = |cff2f4f4f'사막의 악어' 크로커다일|r / |cff32cd32목재 5필요|r / |cffffd700골드 5000 필요|r
A02P,h02R,"h023,h01Q,h02L","1,1,1",0,3,|cffFF8200 카쿠 + 거프+로우 죽음의 외과의사|r = |cff2f4f4f로브루치생명귀환지회무신|r / |cff32cd32목재 3필요|r / 
A02M,h01L,"h01D,h015,h00R","1,1,1",0,0,|cffFF8200쵸파가드포인트 + 버기마기탄 + 루치|r = |cff2f4f4f도플라밍고|r
A00H,h031,"h02J,h01L,h02H","1,1,1,",0,3,|cffFF8200킨에몬 + 도플라밍고 + 크로커다일Mr.0 Sir|r = |cff2f4f4f후지토라|r / |cff32cd32목재 3필요|r / 
A02Q,h087,"h01R,h02F,h05Y","1,1,1,",0,5,|cffFF8200키자루 + 조로 현상금 사냥꾼 + 고대의 배|r = |cff2f4f4f아마츠키 토키|r / |cff32cd32목재 5필요|r / 
A02S,h02J,"h01B,h01J,h00V","1,1,1,",0,0,|cffFF8200킬러 + 에이스2번대대장+ 캡틴크로|r = |cff2f4f4f킨에몬|r
A02V,h028,"h017,h01E,h01C","1,1,1,",0,0,|cffFF8200쿠마 + 쵸파 두뇌강화 + 카포네 갱 뱃지|r = |cff2f4f4f센토마루|r
A02W,h01Q,"h01F,h01K,h00U","1,1,1",0,0,|cffFF8200스모커 + X드레이크 + 루피기어세컨드|r = |cff2f4f4f거프|r
A02Y,h01G,"h00L,h002","2,1",0,0,|cffFF8200프랑키 + 프랑키 + 조로|r = |cff2f4f4f파이러츠 도킹 5|r
A02Z,h02L,"h01H,h01G,h01E","1,1,1",0,0,|cffFF8200트라팔가로우 + 파이러츠도킹5 + 쵸파두뇌강화|r = |cff2f4f4f트라팔가로우 죽음의외과의사|r
A030,h00Y,"h00J,h00C,h005","1,1,1",0,0,|cffFF8200페로나 + 베포 + 버기|r = |cff2f4f4f유스타스 키드|r
A0RP,h040,"h02B,h03W,h06G,h01S","1,1,2,1",5000,8,|cffFF8200아오키지 +  [히든] 귀죽의 베르고 + 벤 베크만  + 행운의 토큰 2개|r = |cff2f4f4f'네오 해군 장교' 아인|r / |cff32cd32목재 8필요|r / |cffffd700골드 5000 필요|r
A0S0,h07I,"h03H,h01X,h02I,h01C","1,1,1,1",30000,5,|cffFF8200크래커 + 루피 기어 서드 + 상디 디아블 잠브 + 카포네 갱뱃지 + 금화|r = |cff2f4f4f카타쿠리|r / |cff32cd32목재 5필요|r / |cffffd700골드 총 30000 필요|r / 
A0SP,h01F,"h009,h00E,h006","1,1,1",0,0,|cffFF8200해군 총병 + 타시기 + 해군 칼병|r = |cff2f4f4f스모커|r
A0TP,h00T,h07Z,1,0,0,|cffFF8200흔함영웅|r = |cff2f4f4f해당 특별함 유닛으로 진화|r
