항목,대상,값,단위,근거,확신도,비고
게임플레이 상수,StrAttackBonus,800.0,주스탯 1점당 공격력,war3mapMisc.txt (스톡 1.0),확정,힘 전용이 아니라 주스탯에 걸린다
게임플레이 상수,AgiAttackSpeedBonus,0.01,AGI 1점당 공격속도,war3mapMisc.txt (스톡 0.02),확정,
게임플레이 상수,AgiDefenseBonus,0.0,-,war3mapMisc.txt (스톡 0.30),확정,AGI가 방어력을 안 준다
게임플레이 상수,StrHitPointBonus,0.0,-,war3mapMisc.txt (스톡 25),확정,STR이 체력을 안 준다
게임플레이 상수,StrRegenBonus,0.0,-,war3mapMisc.txt (스톡 0.05),확정,
게임플레이 상수,IntManaBonus,0.0,-,war3mapMisc.txt (스톡 15),확정,INT가 마나를 안 준다
게임플레이 상수,IntRegenBonus,0.08,INT 1점당 마나재생,war3mapMisc.txt (스톡 0.05),확정,
게임플레이 상수,DefenseArmor,0.02,방어력 1당 감소계수,war3mapMisc.txt (스톡 0.06),확정,
게임플레이 상수,MaxHeroLevel,24,레벨,war3mapMisc.txt (스톡 10),확정,
게임플레이 상수,MaxUnitLevel,50,레벨,war3mapMisc.txt (스톡 20),확정,
게임플레이 상수,HeroExpRange,0.0,-,war3mapMisc.txt (스톡 1200),확정,엔진 경험치 공유 없음
게임플레이 상수,GlobalExperience,0,-,war3mapMisc.txt,확정,
게임플레이 상수,SummonedKillFactor,0.0,-,war3mapMisc.txt (스톡 0.5),확정,소환수 킬 경험치 0
게임플레이 상수,ChanceToMiss,0.0,-,war3mapMisc.txt,확정,빗나감 없음
경험치,NeedHeroXP,"33,75,116,152",레벨2~5 누적XP,war3mapMisc.txt,확정,
경험치,NeedHeroXPFormulaA,1.03,-,war3mapMisc.txt,확정,필요(N)=필요(N-1)*A + B*N + C
경험치,NeedHeroXPFormulaB,15.0,-,war3mapMisc.txt,확정,
경험치,NeedHeroXPFormulaC,0,-,war3mapMisc.txt에 없음 → 스톡 기본,확정,
경험치,레벨24 누적필요XP,5585,XP(=킬 수),위 공식 계산,계산값,라운드당 35마리 기준 약 160라운드
경험치,킬당 XP,1,XP,"war3map.j:14734 AddHeroXP(GetEnumUnit(),1,true)",확정,호출부가 원작에 이 하나뿐
경험치,수령 대상,udg_Exp_Hero_Group[라인주인] 전원,-,ForGroup(war3map.j:14734 부모),확정,킬 귀속 아님
경험치,라인 주인 결정,GetUnitUserData(죽은 유닛),-,udg_Gold_PlayerInt,확정,골드 지급과 같은 변수
경험치,그룹 등록 시점,Trig_Eternal_* 조합 트리거의 유닛 생성 직후,-,GroupAddUnitSimple,확정,초월함/영원한 H* 영웅만
경험치,특성 즉시 지급,5000,XP,"T_Ability_hero H05N 분기 AddHeroXPSwapped(5000,...)",확정,"레벨 23에 해당. 특성포인트 1 소모, STR/AGI/INT 각 +3 동반"
시작 스탯,hrif 기반 영웅 36기,0 / 0 / 0,STR/AGI/INT,ustr/uagi/uint 미지정 → 비영웅 hrif 상속,확정에 가까움,UnitBalance.slk 원문 미확인
시작 스탯,H05N 타시기,10 / 11 / 1,STR/AGI/INT,ustr/uagi/uint 명시,확정,Hvwd 기반 유일한 비영(非零)
시작 스탯,기타 Hvwd 기반 26기,0 / 0 / 0,STR/AGI/INT,ustr/uagi/uint 명시,확정,흔함영웅 더미 등
성장,STR 주스탯 11기,0.85 / 0.21 / 0.21,점/레벨,ustp/uagp/uinp,확정,
성장,AGI 주스탯 10기,0.21 / 0.85 / 0.21,점/레벨,ustp/uagp/uinp,확정,
성장,INT 주스탯 15기,0.21 / 0.21 / 0.85,점/레벨,ustp/uagp/uinp,확정,
성장,H05N 타시기,0.42 / 1.70 / 0.42,점/레벨,ustp/uagp/uinp,확정,주스탯 배분의 정확히 2배
성장,H0BD·H0BE 야마토,0.21 / 1.06 / 0.21,점/레벨,ustp/uagp/uinp,확정,
도움소,H0B7 능력치 증가,2500,골드(엔),ugol,확정,"목재 0, 식량 0"
도움소,선행 조건,Rhfl (초월함 유닛 조합 완료),-,ureq,확정,
도움소,효과,"GetRandomInt(1,3) → STR/AGI/INT 중 1개 +1",-,Trig_Money_trade2_______u_Actions,확정,"각 1/3, 고를 수 없음"
도움소,적용 범위,udg_Exp_Hero_Group[플레이어] 전원,-,ForGroupBJ,확정,1기가 아니라 전원
도움소,기대값,주스탯 1점 = 7500엔 = 공격력 +800,-,2500 / (1/3),계산값,엔당 공격력 약 0.107
스탯→피해,A0WP (ACnr 파생),INT 1점당 체력재생 +5%,%,Oar1 레벨1 0.00 → 레벨31 1.50,확정,피해 오라 아님. 같은 base의 A0VS 이름이 「라이프 리제너레이션 오라1」
스탯→피해,A0WP 보유,38기 전원,-,uabi,확정,주스탯 무관
스탯→피해,A0WP 갱신 상한,"레벨업은 <21, 조합·도움소는 <31",-,조건함수,확정,레벨업만으로는 21에서 멈춘다 — 의도/버그 판단 불가
스탯→피해,A11V (AItg 파생),STR 1점당 공격력 +600,-,Iatt 레벨1 0 → 레벨35 20400,작동 안 함,uabi/uhab/아이템/UnitAddAbility 전부 0건 — 어디에도 붙지 않는다
스탯→피해,스킬 계수 범위,"STR 2000~50000, AGI 3500~5000, INT 3500~5000",-,GetHeroStatBJ 70건,확정,모든 영웅의 스탯 곡선이 동일하므로 편차는 스킬별 설계값
검산,레벨24 주스탯,19,점,floor(0.85*23),계산값,
검산,레벨24 주스탯 공격력 기여,+15200,공격력,19 x 800,계산값,기본 공격력 20만 대비 약 7.6%
정정,타시기 STR항 상한,47500 (레벨24),-,STR 19 x 2500,계산값,"기존 문서의 「32,500(레벨10)」은 최대레벨을 10으로 오인한 것"
