트리거,채팅문구,결과유닛ID,결과이름,재료,재료이름,재료종수,소모
Hidden_Akainu,아카이누조합 / akainu,h03Z,[히든조합]아카이누흰수염을죽인 붉은개,h01P×1  h01T×1  h01B×1  h012×1,사카즈키 해군대장 아카이누 - 희귀함×1  반 더 데켄 플라잉더치맨호의 선장 - 희귀함×1  킬러 초신성 - 특별함×1  스쿼드 흰수염산하 소용돌이 거미 - 특별함×1,4,h01T×1  h01B×1  h01P×1  h012×1
Hidden_Aokiji,아오키지조합 / aokiji,h041,[히든조합]쿠잔푸른 꿩,h02B×1  h02E×1  h01Y×1,쿠잔 해군대장 아오키지 - 희귀함×1  죠즈 흰수염 3번대 대장 다이아몬드 - 희귀함×1  모몬가 G1 지부의 수장 - 희귀함×1,3,h02B×1  h02E×1  h01Y×1
Hidden_Bal,발라티에조합 / baratie,h03P,[히든조합]발라티에해상 레스토랑,h02G×1  h00U×1  h060×1,제프 해상 레스토랑 쉐프 - 희귀함×1  몽키.D.루피 기어 세컨드 - 특별함×1  [히든]해적선×1,3,h02G×1  h00U×1  h060×1
Hidden_Bonkure,봉쿠레조합 / bonkurei,h03O,[히든조합]벤담2년 후 임펠다운 5.5층 뉴카마랜드 왕,h01M×1  h00X×1  h015×1  h014×1,보아 핸콕 칠무해 - 희귀함×1  이나즈마 혁명군 - 특별함×1  버기 특제 마기탄 - 특별함×1  봉쿠레 Mr.2 - 특별함×1,4,h014×1  h015×1  h01M×1  h00X×1
Hidden_Dekken,반더데켄조합 / decken,h03R,[히든조합]반 더 데켄어인섬 절반면적의 노아를 던진자,h021×1  h01T×1  h011×1  h060×1,마샬.D.티치 흰수염해적단의 배신자 - 희귀함×1  반 더 데켄 플라잉더치맨호의 선장 - 희귀함×1  아론 어인해적단 선장 - 특별함×1  [히든]해적선×1,4,h021×1  h011×1  h01T×1  h060×1
Hidden_Godenel,방주맥심조합 / maxim,h03X,[히든조합]갓 에넬방주 맥심,h024×1  h02C×1  h01C×1  h060×1,와이퍼 하늘섬의 전귀 - 희귀함×1  우솝 보잉열도 생존자 - 희귀함×1  카포네 갱 벳지 초신성 - 특별함×1  [히든]해적선×1,4,h024×1  h02C×1  h01C×1  h060×1
Hidden_Killer,킬러조합 / killer,h045,[히든조합]킬러초신성 - 살육무사,h02D×1  h01B×1  h016×1  h01I×1,유스타스 키드 캡틴-키드 - 희귀함×1  킬러 초신성 - 특별함×1  바질 호킨스 초신성 - 특별함×1  헤르메포 해군 - 특별함×1,4,h02D×1  h016×1  h01B×1  h01I×1
Hidden_Mihawk,검호조합 / mihawk,h043,[히든조합]쥬라클 미호크매의 눈,h029×1  h02E×1  h04H×1,샹크스 붉은머리 해적단 선장 - 희귀함×1  죠즈 흰수염 3번대 대장 다이아몬드 - 희귀함×1  쥬라클 미호크 칠무해 - 희귀함×1,3,h04H×1  h029×1  h02E×1
Hidden_Mobidic,모비딕호조합 / mobydick,h03Q,[히든조합]모비딕 호사황 흰수염의 흰고래,h02E×1  h060×1  h00T×1  h00K×1,죠즈 흰수염 3번대 대장 다이아몬드 - 희귀함×1  [히든]해적선×1  마르코 흰수염 해적단 - 특별함×1  포트거스.D.에이스 - 안흔함×1,4,h02E×1  h060×1  h00T×1  h00K×1
Hidden_Redforce,레드포스호조합 / redforce,h03U,[히든조합]레드포스 호사황 샹크스의 붉은용,h035×1  h015×1  h060×1,샹크스 사황 '붉은머리' - 전설적인×1  버기 특제 마기탄 - 특별함×1  [히든]해적선×1,3,h035×1  h015×1  h060×1
Hidden_Ryuma,류마조합 / ryuma,h044,[히든조합]검호 류마흑도 슈스이의 주인,h025×1  h02F×1  h00D×1,검호 류마 용의 목을 벤 사나이 - 희귀함×1  조로 '현상금 사냥꾼' 초신성 - 희귀함×1  브룩 - 안흔함×1,3,h025×1  h02F×1  h00D×1
Hidden_Sabo,사보조합 / sabo,h03M,[히든조합]사보 - 용조권,h05L×1  h02L×1  h020×1,사보 혁명군 참모 - 희귀함×1  트라팔가 로우 죽음의 외과의사 - 희귀함×1  마인 오즈 대륙파괴인 - 희귀함×1,3,h02L×1  h020×1  h05L×1
Hidden_Sunny,써니호조합 / sunny,h03L,[히든조합]사우전드 써니호밀짚모자해적단,h02D×1  h023×1  h060×1,유스타스 키드 캡틴-키드 - 희귀함×1  카쿠 CP9 소소열매 람각 주단 - 희귀함×1  [히든]해적선×1,3,h02D×1  h060×1  h023×1
Hidden_Tiger,피셔타이거조합 / tiger,h047,[히든조합]피셔 타이거마리조아 노예시장 파괴자,h05X×1  h01T×1  h01G×1  h01M×1,[히든]실버즈 레일리 세계의 진실을 아는 자 - 희귀함×1  반 더 데켄 플라잉더치맨호의 선장 - 희귀함×1  파이러츠 도킹 5 거대 로봇 전사 - 특별함×1  보아 핸콕 칠무해 - 희귀함×1,4,h05X×1  h01T×1  h01M×1  h01G×1
Hidden_Yiwan,이완코브조합 / ivankov,h03Y,[히든조합]엠포리오 이완코브임펠다운 5.5층 뉴카마왕국의 왕(?),h02H×1  h02A×1  h015×1,크로커 다일 Mr.0 Sir - 희귀함×1  엠포리오 이완코브 혁명군 - 희귀함×1  버기 특제 마기탄 - 특별함×1,3,h02A×1  h015×1  h02H×1
