유닛ID,이름,attackPower,attackSpeed,dps,생성경로,비고
h060,[히든]해적선,510.0,1.1111,566.66,배(유닛 아님),배정 제외
h03O,[히든조합]벤담2년 후 임펠다운 5.5층 뉴카마랜드 왕,5501.5,1.0638,5852.5,Trig_Hidden_*(채팅코드),
h043,[히든조합]쥬라클 미호크매의 눈,8501.0,0.9524,8096.35,Trig_Hidden_*(채팅코드),
h03T,[히든조합]레베카콜로세움의 검투사,10001.5,1.2195,12196.83,Trig_Hidden_*(채팅코드),
h045,[히든조합]킬러초신성 - 살육무사,8001.0,1.6667,13335.27,Trig_Hidden_*(채팅코드),
h048,[히든조합]페로나고스트 프린세스,12001.5,1.2195,14635.83,Trig_Hidden_*(채팅코드),
h03R,[히든조합]반 더 데켄어인섬 절반면적의 노아를 던진자,11501.5,1.5152,17427.07,Trig_Hidden_*(채팅코드),
h044,[히든조합]검호 류마흑도 슈스이의 주인,12001.5,1.4925,17912.24,Trig_Hidden_*(채팅코드),
h046,[히든조합]킨에몬여우불의 사무라이,12001.0,1.6129,19356.41,Trig_Hidden_*(채팅코드),
h03J,[히든조합]시류비의 시류,14501.0,1.4286,20716.13,Trig_Hidden_*(채팅코드),
h03Q,[히든조합]모비딕 호사황 흰수염의 흰고래,27778.5,0.7692,21367.22,Trig_Hidden_*(채팅코드),
h05X,[히든]실버즈 레일리 세계의 진실을 아는 자 - 희귀함,20001.0,1.1765,23531.18,스토리보상(Story_Tier5_rayleigh),"초월함위습 납품으로 획득, 채팅코드 아님"
h03V,[히든조합]코알라혁명군-어인공수도대리사범,20001.0,1.1905,23811.19,Trig_Hidden_*(채팅코드),
h03W,[히든조합]귀죽의 베르고해군 중장,20002.0,1.2346,24694.47,Trig_Hidden_*(채팅코드),
h03M,[히든조합]사보 - 용조권,25001.5,1.2048,30121.81,Trig_Hidden_*(채팅코드),
h03X,[히든조합]갓 에넬방주 맥심,20001.5,1.5625,31252.34,Trig_Hidden_*(채팅코드),
h055,[히든조합]스튜시Cp.0.환락가의 여왕,25002.0,1.2821,32055.06,미확인,생성 트리거를 못 찾음 — 죽은 데이터일 수 있음
h076,[히든조합]엠포리오 이완코브임펠다운 5.5층 뉴카마왕국의 왕(?)소환됨,30001.0,1.1494,34483.15,미확인,h03Y(엠포리오 이완코브)와 이름이 같은 중복 개체로 보임 — 생성 트리거 미발견
h03Y,[히든조합]엠포리오 이완코브임펠다운 5.5층 뉴카마왕국의 왕(?),30001.0,1.1628,34885.16,Trig_Hidden_*(채팅코드),
h07L,[히든조합]캐럿밍크족 토끼,25001.0,1.4286,35716.43,Trig_Hidden_*(채팅코드),
h03N,[히든조합]료쿠규'신'해군대장,40002.0,1.0526,42106.11,Trig_Hidden_*(채팅코드),
h03L,[히든조합]사우전드 써니호밀짚모자해적단,19001.0,2.2222,42224.02,Trig_Hidden_*(채팅코드),
h03P,[히든조합]발라티에해상 레스토랑,12223.5,3.5714,43655.01,Trig_Hidden_*(채팅코드),
h041,[히든조합]쿠잔푸른 꿩,34501.0,1.2658,43671.37,Trig_Hidden_*(채팅코드),
h07Q,[히든조합]우루지 초신성-괴승,37501.0,1.25,46876.25,미확인,생성 트리거를 못 찾음 — 죽은 데이터일 수 있음
h03Z,[히든조합]아카이누흰수염을죽인 붉은개,36001.5,1.3333,48000.8,Trig_Hidden_*(채팅코드),
h03U,[히든조합]레드포스 호사황 샹크스의 붉은용,35002.0,1.5625,54690.62,Trig_Hidden_*(채팅코드),
h047,[히든조합]피셔 타이거마리조아 노예시장 파괴자,72501.5,2.0408,147961.06,Trig_Hidden_*(채팅코드),
