유닛ID,이름,분류,ubba_골드,ubdi_주사위수,ubsi_주사위면,ulba_목재,실지급액,우리대응에셋,대응근거,비고
h001,나미 - 흔함,플레이어 유닛,19,0,0,0,골드 19 고정,,대응 없음,플레이어 유닛. 적이 우리 유닛을 죽이면 적에게 골드가 가는 값이라 게임에 영향 없다. 흔함 9종 중 8종에만 있고 h003 루피만 빠져 있다
h002,롤로노아 조로 - 흔함,플레이어 유닛,19,0,0,0,골드 19 고정,,대응 없음,플레이어 유닛. 적이 우리 유닛을 죽이면 적에게 골드가 가는 값이라 게임에 영향 없다. 흔함 9종 중 8종에만 있고 h003 루피만 빠져 있다
h004,상디 - 흔함,플레이어 유닛,19,0,0,0,골드 19 고정,,대응 없음,플레이어 유닛. 적이 우리 유닛을 죽이면 적에게 골드가 가는 값이라 게임에 영향 없다. 흔함 9종 중 8종에만 있고 h003 루피만 빠져 있다
h005,버기 - 흔함,플레이어 유닛,19,0,0,0,골드 19 고정,,대응 없음,플레이어 유닛. 적이 우리 유닛을 죽이면 적에게 골드가 가는 값이라 게임에 영향 없다. 흔함 9종 중 8종에만 있고 h003 루피만 빠져 있다
h006,해군 칼병 - 흔함,플레이어 유닛,19,0,0,0,골드 19 고정,,대응 없음,플레이어 유닛. 적이 우리 유닛을 죽이면 적에게 골드가 가는 값이라 게임에 영향 없다. 흔함 9종 중 8종에만 있고 h003 루피만 빠져 있다
h007,우솝 - 흔함,플레이어 유닛,19,0,0,0,골드 19 고정,,대응 없음,플레이어 유닛. 적이 우리 유닛을 죽이면 적에게 골드가 가는 값이라 게임에 영향 없다. 흔함 9종 중 8종에만 있고 h003 루피만 빠져 있다
h008,토니토니 쵸파 - 흔함,플레이어 유닛,19,0,0,0,골드 19 고정,,대응 없음,플레이어 유닛. 적이 우리 유닛을 죽이면 적에게 골드가 가는 값이라 게임에 영향 없다. 흔함 9종 중 8종에만 있고 h003 루피만 빠져 있다
h009,해군 총병 - 흔함,플레이어 유닛,19,0,0,0,골드 19 고정,,대응 없음,플레이어 유닛. 적이 우리 유닛을 죽이면 적에게 골드가 가는 값이라 게임에 영향 없다. 흔함 9종 중 8종에만 있고 h003 루피만 빠져 있다
n000,1. 로그타운,스토리 섬,500,0,0,0,골드 500 고정,Enemy_Story01_하이츠,스토리 섬 순서 1번 ↔ 우리 스토리 1번,섬 1~5만 현상금이 있다. 6~13은 0 — 골드 보상이 앞 5개에서 끊긴다
n002,2. 알라바스타,스토리 섬,1500,0,0,0,골드 1500 고정,Enemy_Story02_큰소망유치원,스토리 섬 순서 2번 ↔ 우리 스토리 2번,
n003,3. 하늘섬,스토리 섬,2500,0,0,0,골드 2500 고정,Enemy_Story03_한양영어유치원,스토리 섬 순서 3번 ↔ 우리 스토리 3번,
n004,4. 워터세븐,스토리 섬,3000,0,0,0,골드 3000 고정,Enemy_Story04_구일초등학교,스토리 섬 순서 4번 ↔ 우리 스토리 4번,
n005,5. 스릴러바크,스토리 섬,5000,0,0,0,골드 5000 고정,Enemy_Story05_구일중학교,스토리 섬 순서 5번 ↔ 우리 스토리 5번,섬 5번이 마지막 현상금
o005,레벨 08 클리크,적,8,0,0,0,골드 8 고정,,대응 없음,라운드 8. 81종 중 현상금이 붙은 4종 중 하나 — 나머지 77종은 0이라 일관성이 없다
o00F,레벨 13 Mr.9,적,9,0,0,0,골드 9 고정,,대응 없음,"라운드 13인데 값은 9. 이름의 ""Mr.9""와 같아 오타로 보인다 [추정]"
o015,레벨 39 찌질이 스팬담,적,35,0,0,0,골드 35 고정,,대응 없음,라운드 39
o01D,레벨 49 천룡인,적,40,0,0,0,골드 40 고정,,대응 없음,라운드 49
o02M,[퀘스트]붉은개,적,0,0,0,1,목재 1 고정,,대응 없음,[퀘스트]붉은개 — 목재 현상금 1
o02N,[퀘스트]거대 해왕류,적,5000,0,0,0,골드 5000 고정,Enemy_거대해왕류,"유닛ID 직접 대응(HP 36,000,000 일치)",[퀘스트] 몹. 우리 Enemy_거대해왕류 goldReward가 0이라 빠져 있다
o02Q,[퀘스트]노란원숭이,적,0,0,0,1,목재 1 고정,,대응 없음,[퀘스트]노란원숭이 — 목재 현상금 1
o02R,[퀘스트]푸른꿩,적,0,0,0,1,목재 1 고정,,대응 없음,[퀘스트]푸른꿩 — 목재 현상금 1
