유닛ID,등급,유닛이름,회수경로,출처,계산식,basis축,basis대응,공격타입,피해타입,비고,absolute_cooldown_s,쿨근거버프,쿨근거능력,rand_min,rand_max,rand_mean,더미채널판정,더미_피해값,원작게이트,게이트확신도,평타트리거유닛,더미채널판정_검증
h00P,특별함,나미 크리마 텍트 - 특별함,트리거,Trig_Speical1,800.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,10)==3",확정,h00P,
h00P,특별함,나미 크리마 텍트 - 특별함,더미,Trig_Speical1 → e099(S특별함 나미 더미) → A0RF,Oae1=-0.05,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],A이속감소 계열 크리마 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),❌ 피해 아님(버프·디버프·배율·지속),0,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,✅ 태그 맞음(2026-09-06 재검증: base·atar·오더 4단계 대조)
h00T,특별함,마르코 흰수염 해적단 - 특별함,더미,Trig_Speical3 → e05B(S특별함 마르코 더미) → A09X,Efk1=1500 Efk2=8e+08 Efk3=7,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],2범위 불사조팬옵나 마르코특별 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AEfk — 피해,"1,500",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h00U,특별함,몽키.D.루피 기어 세컨드 - 특별함,더미,Trig_Speical5 → e05F(S특별함 루피 더미) → A0A0,Blo1=3.6,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],4지정 루피 기어 세컨드 공속증가 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),❌ 피해 아님(버프·디버프·배율·지속),0,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,✅ 태그 맞음(2026-09-06 재검증: base·atar·오더 4단계 대조)
h00W,특별함,롤로노아 조로 귀기 - 특별함,트리거,Trig_Speical12,1000.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,7)==3",확정,h00W,
h013,특별함,상디 검은다리 - 특별함,더미,Trig_Speical6 → e05D(S특별함 상디 더미) → A09Z,Htb1=500,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],C 상디 특별함 단일 데미지 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AHtb 폭풍 망치 — 피해,500,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h019,특별함,챠카 알라바스타의 수호신 - 특별함,트리거,Trig_Speical4,3500.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,10)==3",확정,h019,
h01J,특별함,포트거스.D.에이스 흰수염 해적단 2번대대장 - 특별함,더미,Trig_Speical9 → e0E6(안흔함 더미2 에이스) → A0BI,Ucs3=925 Ucs1=850 Ucs2=7e+07 Ucs4=400,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],0장풍 에이스 불주먹-2특별 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — ACca 시체 폭발선 — 대상당 피해,850,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h01L,희귀함,돈키호테 도플라밍고 칠무해 - 희귀함,트리거,Trig_Unique12,6000.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,11)==3",확정,h01L,
h01L,희귀함,돈키호테 도플라밍고 칠무해 - 희귀함,더미,Trig_Unique12 → e059(U희귀함 도플 더미) → A09W,Htc1=6000,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],3범위 희귀함 도플 둔화 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AHtc 천둥 강타 — 피해,"6,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
