번호,이름,평타트리거,특성스킬트리거,게이트,확률,확신도
001,검은수염,Trig_Tichi_Attack,Tichi_skill_4_tr,"LIFE 게이지==85.00 (기본 스킬) / 강화판 진입: GetRandomInt(1,10)==5 AND GetRandomInt(1,udg_Tichi_TR_AddInt)==3 — 특성 전 6, 후 3 → 1/60 → 1/30",게이지형,확정
002,키드,Trig_Kid_Attack,Kid_Skill_Mana_Tr,LIFE 게이지==50.00,게이지형,확정
003,프랑키,Trig_Franky_Attack,Franky_Skill_1,"GetRandomInt(1,10)==2",0.10000,확정
004,루치,Trig_Luchi_Attack,Luchi_Skill_1_Kick2,"GetRandomReal(1,100)<=7.25",0.06313,확정
005,후지토라,Trig_Huji_Attack,Huji_02,"GetRandomInt(1,24)==10",0.04167,확정
006,로우,Trig_Law_Attack,Law_Skill_2_reinforce,"GetRandomInt(1,8)==6",0.12500,확정
007,나미,Trig_Nami_Attack,Nami_Skill_1,"GetRandomInt(1,24)==10",0.04167,확정
008,시라호시,Trig_Sirahoshi_Attack,Sirahoshi_skill_Mana,MANA 게이지==120.00,게이지형,확정
021,센고쿠,Trig_Sengoku_Attack,Seongoku_Skill_4,LIFE 게이지==75.00 (발동 후 1.00으로 리셋 → 실주기 74타),게이지형,확정
024,드래곤,Trig_Dragon_Attack,Dragon_Skill_Mana,MANA 게이지==160.00,게이지형,확정
022,제트,Trig_Z_Attack,Z_Skill_1,(게이트 없음),1.00000,추정(A09E를 읽는 트리거가 Z_Skill_1뿐)
023,거프,Trig_Garp_Attack,Garp_Mana2,MANA 게이지==160.00,게이지형,추정(A0GY를 읽는 트리거가 Garp_Mana2뿐)
028,핸콕,Trig_Hancock_Attack,hancock_skill_Mana,MANA 게이지==175.00,게이지형,추정(A0IN을 읽는 트리거가 이것뿐)
026,레일리,Trig_LaillySkill,LaillySkill3,MANA 게이지==115.00,게이지형,추정(A0ES를 읽는 트리거가 이것뿐)
017,아카이누,Trig_Akainu_Attack,Akainu_01,(게이트 없음),1.00000,⚠ 애매 — A0HG를 Bustercall_Etc1도 읽는다
017,아카이누,Trig_Akainu_Attack,Akainu_01,MANA 게이지==135.00,게이지형,⚠ 애매 — A0HG를 Bustercall_Etc1도 읽는다
009,호킨스,,,⚠ 대응 못 정함 — 특성 대상 스킬이 평타 트리거에서 직접 호출되지 않거나 능력교체형이라 게이트가 다른 곳에 있다,,미대응
010,도플라밍고,,,⚠ 대응 못 정함 — 특성 대상 스킬이 평타 트리거에서 직접 호출되지 않거나 능력교체형이라 게이트가 다른 곳에 있다,,미대응
011,아오키지,,,⚠ 대응 못 정함 — 특성 대상 스킬이 평타 트리거에서 직접 호출되지 않거나 능력교체형이라 게이트가 다른 곳에 있다,,미대응
012,타시기,,,⚠ 대응 못 정함 — 특성 대상 스킬이 평타 트리거에서 직접 호출되지 않거나 능력교체형이라 게이트가 다른 곳에 있다,,미대응
013,루피,,,⚠ 대응 못 정함 — 특성 대상 스킬이 평타 트리거에서 직접 호출되지 않거나 능력교체형이라 게이트가 다른 곳에 있다,,미대응
014,로빈,,,⚠ 대응 못 정함 — 특성 대상 스킬이 평타 트리거에서 직접 호출되지 않거나 능력교체형이라 게이트가 다른 곳에 있다,,미대응
015,우솝,,,⚠ 대응 못 정함 — 특성 대상 스킬이 평타 트리거에서 직접 호출되지 않거나 능력교체형이라 게이트가 다른 곳에 있다,,미대응
016,쵸파,,,⚠ 대응 못 정함 — 특성 대상 스킬이 평타 트리거에서 직접 호출되지 않거나 능력교체형이라 게이트가 다른 곳에 있다,,미대응
018,브룩,,,⚠ 대응 못 정함 — 특성 대상 스킬이 평타 트리거에서 직접 호출되지 않거나 능력교체형이라 게이트가 다른 곳에 있다,,미대응
019,샹크스,,,⚠ 대응 못 정함 — 특성 대상 스킬이 평타 트리거에서 직접 호출되지 않거나 능력교체형이라 게이트가 다른 곳에 있다,,미대응
025,시키,,,⚠ 대응 못 정함 — 특성 대상 스킬이 평타 트리거에서 직접 호출되지 않거나 능력교체형이라 게이트가 다른 곳에 있다,,미대응
