번호,유닛ID,이름,트리거,게이지,임계값,리셋값,증가폭,실주기,증가가확률뒤,원문,비고
001,H090,검은수염,Trig_Tichi_Attack,LIFE,85.00,1.00,1,84타,아니오(매 평타)," nothing returns nothing if GetUnitStateSwap(UNIT_STATE_LIFE,GetAttacker())==85.00 then call SetUnitLifeBJ(GetAttacker(),1.00) set udg_Hero[0]=GetAttacker() set udg_Hero[",체력은 0으로 두면 죽으므로 1로 리셋한다 → 실주기 = 임계−1
002,H0B4,키드,Trig_Kid_Attack,LIFE,50.00,1.00,1,49타,아니오(매 평타)," nothing returns nothing if GetUnitStateSwap(UNIT_STATE_LIFE,GetAttacker())==50.00 then call SetUnitLifeBJ(GetAttacker(),1.00) set udg_Hero_Kid[6]=GetAttacker() set udg_H",체력은 0으로 두면 죽으므로 1로 리셋한다 → 실주기 = 임계−1
003,H08Y,프랑키,Trig_Franky_Attack,MANA,100.00,0.00,1,100타,아니오(매 평타),"Animation(GetAttacker(),""spell one"") if GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())==100.00 then call SetUnitManaBJ(GetAttacker(),0.00) set udg_Hero_Franky[2]=GetAtta",
005,H08X,후지토라,Trig_Huji_Attack,MANA,140.00,0.00,1,140타,아니오(매 평타)," nothing returns nothing if GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())==140.00 then call SetUnitManaBJ(GetAttacker(),0.00) set udg_Hero_Huji[0]=GetAttacker() set udg",
006,H096,로우,Trig_Law_Attack,MANA,135.00,0.00,1,135타,아니오(매 평타),"_LIFE,GetAttacker())+1)) endif endif if GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())==135.00 then call SetUnitManaBJ(GetAttacker(),0.00) set udg_Transcendence_LOC=GetU",
008,H08U,시라호시,Trig_Sirahoshi_Attack,MANA,120.00,0.00,1,120타,아니오(매 평타)," nothing returns nothing if GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())==120.00 then call SetUnitManaBJ(GetAttacker(),0.00) set udg_Hero_Shirahosi[2]=GetAttacker() se",
009,H094,호킨스,Trig_Hokins_Attack,MANA,100,0.00,1,100타,아니오(매 평타)," nothing returns nothing if GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())==100 then call SetUnitManaBJ(GetAttacker(),0.00) set udg_Hero_hokins[4]=GetAttacker() set udg_",
009,H094,호킨스,Trig_Hokins_Attack,LIFE,40.00,1.00,1,39타,아니오(매 평타),"_STATE_MANA,GetAttacker())+1)) endif if GetUnitStateSwap(UNIT_STATE_LIFE,GetAttacker())==40.00 then call SetUnitLifeBJ(GetAttacker(),1.00) set udg_Hero_hokins[2]=GetAttac",체력은 0으로 두면 죽으므로 1로 리셋한다 → 실주기 = 임계−1
010,H09E,도플라밍고,Trig_DP_Attack,MANA,150.00,0.00,1,150타,아니오(매 평타),"iggerExecute(gg_trg_DP_AttackDamage) if GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())==150.00 then call CreateUnit(GetOwningPlayer(GetAttacker()),'e06S',GetUnitX(GetAtt",
012,H05N,타시기,Trig_Tashigi_Attack,MANA,135.00,0.00,1.00,135타,아니오(매 평타)," nothing returns nothing if GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())==135.00 then call SetUnitManaBJ(GetAttacker(),0.00) set udg_Hero_tashigi[4]=GetAttacker() set ",
013,H099,루피,Trig_Ruffy_Attack,MANA,160.00,0,1,160타,아니오(매 평타),"erExecute(gg_trg_Ruffy_AttackDamage) if GetUnitStateSwap(UNIT_STATE_MANA,GetAttacker())==160.00 then call SetUnitAnimation(GetAttacker(),""spell two"") call DestroyEffectBJ",
