유닛ID,등급,유닛이름,실제이름,능력ID,base,능력이름,발동확률,피해배수,추가피해,쿨다운,사거리,반경
h001,흔함,나미 - 흔함,,A0TJ,ACt2,!!@#창고에서 나오기,,,,0.05000000074505806,,0.0
h001,흔함,나미 - 흔함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h001,흔함,나미 - 흔함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h001,흔함,나미 - 흔함,,A09G,AHpx,!@#판매,,,,0.0,,0.0
h001,흔함,나미 - 흔함,,A006,AHwe,[조합],,,,0.0,,0.0
h001,흔함,나미 - 흔함,,A015,Aroa,[조합],,,,,,0.0
h002,흔함,롤로노아 조로 - 흔함,,A0TJ,ACt2,!!@#창고에서 나오기,,,,0.05000000074505806,,0.0
h002,흔함,롤로노아 조로 - 흔함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h002,흔함,롤로노아 조로 - 흔함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h002,흔함,롤로노아 조로 - 흔함,,A09G,AHpx,!@#판매,,,,0.0,,0.0
h002,흔함,롤로노아 조로 - 흔함,,A00W,Aroa,[조합],,,,,,0.0
h002,흔함,롤로노아 조로 - 흔함,,A032,AHwe,[조합],,,,0.0,,0.0
h003,흔함,몽키.D.루피 - 흔함,,A0TJ,ACt2,!!@#창고에서 나오기,,,,0.05000000074505806,,0.0
h003,흔함,몽키.D.루피 - 흔함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h003,흔함,몽키.D.루피 - 흔함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h003,흔함,몽키.D.루피 - 흔함,,A09G,AHpx,!@#판매,,,,0.0,,0.0
h003,흔함,몽키.D.루피 - 흔함,,A00D,AHwe,[조합],,,,0.0,,0.0
h003,흔함,몽키.D.루피 - 흔함,,A012,Aroa,[조합],,,,,,0.0
h004,흔함,상디 - 흔함,,A0TJ,ACt2,!!@#창고에서 나오기,,,,0.05000000074505806,,0.0
h004,흔함,상디 - 흔함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h004,흔함,상디 - 흔함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h004,흔함,상디 - 흔함,,A09G,AHpx,!@#판매,,,,0.0,,0.0
h004,흔함,상디 - 흔함,,A01B,Aroa,[조합],,,,,,0.0
h004,흔함,상디 - 흔함,,A00P,AHwe,[조합],,,,0.0,,0.0
h005,흔함,버기 - 흔함,,A0TJ,ACt2,!!@#창고에서 나오기,,,,0.05000000074505806,,0.0
h005,흔함,버기 - 흔함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
h005,흔함,버기 - 흔함,,A0JE,ANbr,!@@!#유닛모으기,,,,1.0,,0.0
h005,흔함,버기 - 흔함,,A09G,AHpx,!@#판매,,,,0.0,,0.0
h005,흔함,버기 - 흔함,,A00L,AHwe,[조합],,,,0.0,,0.0
h005,흔함,버기 - 흔함,,A018,Aroa,[조합],,,,,,0.0
h006,흔함,해군 칼병 - 흔함,,A0TJ,ACt2,!!@#창고에서 나오기,,,,0.05000000074505806,,0.0
h006,흔함,해군 칼병 - 흔함,,A07Y,Absk,!#@#!!창고로 이동,,,,0.009999999776482582,,
