유닛ID,이름
h001,나미
h002,조로
h003,루피
h004,상디
h005,버기
h006,해군 칼병
h007,우솝
h008,쵸파
h009,해군 총병
h00A,후쿠로
h00B,모리아
h00C,베포
h00D,브룩
h00E,타시기
h00F,하찌
h00G,쵸파 럼블볼강화
h00H,좀비
h00I,이나즈마
h00J,페로나
h00K,에이스
h00L,프랑키
h00M,블루노
h00N,저격왕
h00O,로빈
h00P,나미 크리마 텍트
h00Q,갓 에넬 하늘섬의 가짜신
h00R,루치
h00S,로빈 오하라
h00T,마르코
h00U,루피 기어세컨드
h00V,캡틴 크로
h00W,조로 귀기
h00X,이나즈마 혁명군
h00Y,유스타스 키드
h00Z,우솝 '화염탄'
h010,압살롬
h011,아론
h012,스쿼드
h013,상디 검은 다리
h014,봉쿠레
h015,버기 마기탄
h016,바질 호킨스
h017,바솔로뮤 쿠마
h018,징베
h019,챠카
h01A,크로커다일
h01B,킬러
h01C,카포네 갱 벳지
h01D,쵸파 가드포인트
h01E,쵸파 두뇌강화
h01F,스모커
h01G,파이러츠 도킹 5
h01H,트라팔가 로우
h01I,헤르메포
h01J,에이스 2번대대장
h01K,X-드레이크
h01L,도플라밍고
h01M,핸콕
h01N,브룩 해골 음악가
h01O,비비
h01P,아카이누
h01Q,거프
h01R,키자루
h01S,벤 베크만
h01T,반 더 데켄
h01U,바질호킨스 스트로맨
h01V,바제스
h01W,바르토로메오
h01X,루피 기어 서드
h01Y,모몬가
h01Z,마젤란
h020,마인 오즈
h021,검은수염
h022,마르코 흰수염 1번대대장
h023,카쿠 '람각 주단'
h024,와이퍼
h025,류마
h026,시류
h027,슈가
h028,센토마루
h029,샹크스
h02A,이완코브
h02B,아오키지
h02C,우솝 보잉열도 생존자
h02D,유스타스 캡틴 키드
h02E,다이아몬드 죠즈
h02F,조로 현상금 사냥꾼
h02G,제프
h02H,크로커다일Mr.0
h02I,상디 디아블 잠브
h02J,킨에몬
h02K,쵸파 혼 포인트
h02L,트라팔가로우 죽음의외과의사
h02M,베이비 5
h02N,겟코모리아 아스가르드
h02O,골.D.에이스
h02P,나미 도둑고양이
h02Q,라분
h02R,로브루치생명귀환지회무신
h02S,롤로노아조로 죽음의경지
h02T,마르코 '조온계 환수종'
h02U,검은수염 전설목재 3필요
h02V,집념의 해군중장 스모커
h02W,몽키.D.드래곤
h02X,루피 기어2 Jet 개틀링
h02Y,루피 나이트메어
h02Z,식인 바르토롤메오
h030,바솔로뮤쿠마 폭군
h032,핸콕 해적여제
h033,빈스모크 레이쥬
h034,상디 검은 다리'슈트 코스'
h035,샹크스 사황
h036,센고쿠
h037,장난감 군대 슈가
h038,시저 크라운
h039,금사자 시키
h03A,'로저해적단 부선장' 레일리
h03B,에드워드뉴게이트 사황
h03C,하트 해적단 선장 로우
h03E,코비
h03F,카르가라
h03G,징베 괴물고래상어어인
h03H,샬롯 크래커
h03I,제파 전 해군대장
h03K,Dr.히루루크
h03S,울티
h04H,미호크
h05E,G.O.D에넬
h05F,'사막의 악어' 크로커다일
h05I,콜로세움 전설의 후예
h05K,페로나 프린세스
h05L,사보 혁명군 참모
h05X,레일리
h07U,흔함영웅
h07Z,흔함영웅
h08O,흰수염 유산의 수호자 마르코
h09X,X-드레이크.알로사우로스
h09Z,네코마무시
h0AH,백수해적단 대간판 '킹'
h0BC,전율의 타츠마키
