유닛ID,유닛이름,등급,깊이,부모평타트리거,스킬트리거,게이트,RRD수,RRD요약,타입,퍼센트체력,범위,Flat합계,변수항,커버
H05N,해군의 홍일점,초월함,1,Trig_Tashigi_Attack,Tasigi_03,MANA게이지135.00,4,"400000.00 | ((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__Tr | 400000.00","MAGIC/UNIVERSAL,NORMAL/UNIVERSAL",MaxHp%,"525.00,535.00",800000,,미수록
H05N,해군의 홍일점,초월함,1,Trig_Tashigi_Attack,tahsigi,(게이트 없음),4,((400000.00+(I2R(GetHeroStatBJ(bj_HEROSTAT_S | ((350000.00+(I2R(GetHeroStatBJ(bj_HEROSTAT_S | 500000.00,MAGIC/UNIVERSAL,,450.00,1755000,,미수록
H05N,해군의 홍일점,초월함,1,Trig_Tashigi_Attack,Tasigi_02,(게이트 없음),1,500000.00,MAGIC/UNIVERSAL,,550.00,500000,,미수록
H08U,'포세이돈' 인어공주,초월함,1,Trig_Sirahoshi_Attack,Sirahoshi_skill_Mana,MANA게이지120.00,1,(3350000.00+((GetUnitStateSwap(UNIT_STATE_MA,NORMAL/UNIVERSAL,MaxHp%,800.00,3350000,,특성표
H08U,'포세이돈' 인어공주,초월함,1,Trig_Sirahoshi_Attack,Sirahoshi_skill_3,1/25 AND 절대쿨5.0s,0,,,,,0,,미수록
H08V,웨더리아의 항해사,초월함,1,Trig_Nami_Attack,Nami_Skill_4,절대쿨3.5s,1,350000.00,NORMAL/UNIVERSAL,,500.00,350000,,특성표
H08V,웨더리아의 항해사,초월함,1,Trig_Nami_Attack,Nami_Skill_2,1/9,3,800000.00 | 400000.00 | 400000.00,NORMAL/UNIVERSAL,,,1600000,,미수록
H08V,웨더리아의 항해사,초월함,1,Trig_Nami_Attack,Nami_Skill_1,1/24,2,(300000.00+s__TrigVariables__get_realD(Globa | (450000.00+(s__TrigVariables__get_realD(Glob,NORMAL/UNIVERSAL,,400.00,750000,있음,특성표
H08W,CP.Zero,초월함,1,Trig_Luchi_Attack,Luchi_Skill_3_6kinggun,Real<=5.25,3,"(1000000.00*(0.20+(0.05*I2R(GetUnitAbilityLe | 2000000.00 | (GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVar","CHAOS/UNIVERSAL,NORMAL/UNIVERSAL",CurHp%,400.00,3000000,,미수록
H08W,CP.Zero,초월함,1,Trig_Luchi_Attack,Luchi_Skill_2_ZiGun,1/6,3,"((GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVa | (500000.00*(1+((0.001)*(I2R(udg_Load_PlayCou | (500000.00*(1+((0.001)*(I2","CHAOS/UNIVERSAL,NORMAL/UNIVERSAL",CurHp%,,1000000,,미수록
H08W,CP.Zero,초월함,1,Trig_Luchi_Attack,Luchi_Skill_1_Kick2,Real<=7.25,3,"400000.00 | 400000.00 | (GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__Tri","CHAOS/UNIVERSAL,MAGIC/UNIVERSAL",MaxHp%,"495.00,585.00",800000,,특성표
H08W,CP.Zero,초월함,1,Trig_Luchi_Attack,Luchi_Skill_1_Kick,Real<=7.25,0,,,,,0,,특성표
H08X,해군 대장 '성난 보라호랑이',초월함,1,Trig_Huji_Attack,Huji_03,MANA게이지140.00,1,6250000.00,NORMAL/UNIVERSAL,,700.00,6250000,,미수록
H08X,해군 대장 '성난 보라호랑이',초월함,1,Trig_Huji_Attack,Huji01,MANA게이지140.00,3,((GetEventDamage()*2.50)+250000.00) | GetEventDamage() | 350000.00,"CHAOS/NORMAL,MAGIC/UNIVERSAL",,"295.00,485.00",600000,,미수록
H08X,해군 대장 '성난 보라호랑이',초월함,1,Trig_Huji_Attack,Huji_02,1/24,0,,,,,0,,특성표
H08X,해군 대장 '성난 보라호랑이',초월함,2,Trig_Huji_Attack,Huji_meteor,1/24,1,315000.00,CHAOS/NORMAL,,535.00,315000,,특성표
H08Y,무적의 아이언 파이러츠,초월함,1,Trig_Franky_Attack,Franky_Skill_Mana1,MANA게이지100.00,1,4000000.00,NORMAL/UNIVERSAL,,425.00,4000000,,미수록
H08Y,무적의 아이언 파이러츠,초월함,1,Trig_Franky_Attack,Franky_Skill_1,1/10,4,500000.00 | 400000.00 | 250000.00,NORMAL/UNIVERSAL,,"400.00,500.00",1350000,,특성표
H08Y,무적의 아이언 파이러츠,초월함,1,Trig_Franky_Attack,Franky_misiile_re,1/14,1,180000.00,NORMAL/UNIVERSAL,,"400.00,750.00",180000,,미수록
H090,지진과 어둠의 검은수염,초월함,1,Trig_Tichi_Attack,Tichi_skill_4_tr,LIFE게이지85.00 AND 1/10,0,,,,,0,,특성표
H090,지진과 어둠의 검은수염,초월함,1,Trig_Tichi_Attack,Tichi_skill_4,LIFE게이지85.00 AND 1/10,0,,,,,0,,특성표
H090,지진과 어둠의 검은수염,초월함,1,Trig_Tichi_Attack,Tichi_skill_2_tr,LIFE게이지85.00 AND 1/25,2,(385000.00+(I2R(GetHeroStatBJ(bj_HEROSTAT_ST | (385000.00+(I2R(GetHeroStatBJ(bj_HEROSTAT_ST,NORMAL/UNIVERSAL,,415.00,774000,,미수록
H090,지진과 어둠의 검은수염,초월함,1,Trig_Tichi_Attack,Tichi_skill_1,LIFE게이지85.00 AND 1/5,3,4000000.00 | 1000000.00 | 2000000.00,"CHAOS/UNIVERSAL,NORMAL/UNIVERSAL",,,7000000,,미수록
H092,혁명군 참모총장,초월함,1,Trig_Sabo_Attack,Sabo_Mana,MANA게이지125.00,2,"3750000.00 | (0.02*GetUnitStateSwap(UNIT_STATE_LIFE,GetEn",HERO/NORMAL,CurHp%,500.00,3750000,,미수록
H092,혁명군 참모총장,초월함,1,Trig_Sabo_Attack,Sabo_Skill_1,MANA게이지125.00 AND 절대쿨12.5s,3,3250000.00 | ((1000000.00+s__TrigVariables__get_realD(Glo | (2500000.00+(500000.00*I2R(UnitCountBuffsExB,"CHAOS/UNIVERSAL,HERO/NORMAL,NORMAL/UNIVERSAL",,475.00,7250000,있음,특성표
H092,혁명군 참모총장,초월함,1,Trig_Sabo_Attack,Sabo_Skill_3,MANA게이지125.00 AND 절대쿨12.5s AND 1/10,1,1150000.00,CHAOS/NORMAL,,415.00,1150000,,특성표
H092,혁명군 참모총장,초월함,1,Trig_Sabo_Attack,Sabo_Skill_4,MANA게이지125.00 AND 절대쿨12.5s AND 1/10 AND 1/6,4,"500000.00 | (500000.00+(50000.00*I2R(UnitCountBuffsExBJ( | ((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,udg_H","CHAOS/NORMAL,CHAOS/UNIVERSAL,HERO/NORMAL",MaxHp%,415.00,1050000,있음,특성표
