등급,유닛ID,유닛이름,스킬트리거,RRD순번,계산식,basis,multiplier,bonus,casterBuffCountFactor,target,range,range_판정,RRD대상인자,hitCount,attackType,damageType,gate,축밖메모,판정,rand_min,rand_max,rand_mean
초월함,H05N,해군의 홍일점,Tasigi_02,1,500000.00,Flat,,500000,,SingleTarget,0,단일확정,s__TrigVariables__get_unitB(Gl,1,Magic,AP(방어무시),(게이트 없음),,확정,1,1,1
초월함,H05N,해군의 홍일점,Tasigi_03,1,400000.00,Flat,,400000,,SingleTarget,0,단일확정,s__TrigVariables__get_unitB(Gl,2,Magic,AP(방어무시),MANA게이지135.00,,확정,1,1,1
초월함,H05N,해군의 홍일점,Tasigi_03,2,"((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.10)*(0.25+(0.15*I2R(GetUnitAbi",대상최대체력×계수,0.1,,,SingleTarget,0,단일확정,s__TrigVariables__get_unitB(Gl,2,Spells,AP(방어무시),MANA게이지135.00,계수 0.25+0.15×레벨/연구,확정,1,1,1
초월함,H05N,해군의 홍일점,Tasigi_03,3,400000.00,Flat,,400000,,SingleTarget,0,단일확정,s__TrigVariables__get_unitB(Gl,2,Magic,AP(방어무시),MANA게이지135.00,,확정,1,1,1
초월함,H05N,해군의 홍일점,Tasigi_03,4,"((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.10)*(0.25+(0.15*I2R(GetUnitAbi",대상최대체력×계수,0.1,,,SingleTarget,0,단일확정,s__TrigVariables__get_unitB(Gl,2,Spells,AP(방어무시),MANA게이지135.00,계수 0.25+0.15×레벨/연구,확정,1,1,1
초월함,H05N,해군의 홍일점,tahsigi,1,"((400000.00+(I2R(GetHeroStatBJ(bj_HEROSTAT_STR,s__TrigVariables__get_unitA(GlobalTV),false))*2500.00))+(GetEve",ReceivedDamage,3.75,400000,,Enemies,450.00,범위확정,GetEnumUnit(),1,Magic,AP(방어무시),(게이트 없음),"빠진 항 = 영웅STR × 2,500. 타시기 H05N의 시작 STR은 10(레벨당 +0.42)이라 STR항 = 25,000(레벨1) ~ 약 32,500(레벨10). bonus의 6~8%다. 우리에 영웅 스탯 축이 없으므로 bonus에 흡수하는 것이 가장 정직하다(400,000→425,000 / 350,000→375,000, 레벨1 기준)",확정,1,1,1
초월함,H05N,해군의 홍일점,tahsigi,2,"((350000.00+(I2R(GetHeroStatBJ(bj_HEROSTAT_STR,s__TrigVariables__get_unitA(GlobalTV),false))*2500.00))+(GetEve",ReceivedDamage,6.00,350000,,Enemies,450.00,범위확정,GetEnumUnit(),1,Magic,AP(방어무시),(게이트 없음),"빠진 항 = 영웅STR × 2,500. 타시기 H05N의 시작 STR은 10(레벨당 +0.42)이라 STR항 = 25,000(레벨1) ~ 약 32,500(레벨10). bonus의 6~8%다. 우리에 영웅 스탯 축이 없으므로 bonus에 흡수하는 것이 가장 정직하다(400,000→425,000 / 350,000→375,000, 레벨1 기준)",확정,1,1,1
초월함,H05N,해군의 홍일점,tahsigi,3,500000.00,Flat,,500000,,SingleTarget,0,단일확정,s__TrigVariables__get_unitB(Gl,2,Magic,AP(방어무시),(게이트 없음),,확정,1,1,1
초월함,H05N,해군의 홍일점,tahsigi,4,500000.00,Flat,,500000,,SingleTarget,0,단일확정,s__TrigVariables__get_unitB(Gl,2,Magic,AP(방어무시),(게이트 없음),,확정,1,1,1
초월함,H08V,웨더리아의 항해사,Nami_Skill_2,1,800000.00,Flat,,800000,,SingleTarget,0,단일확정,s__TrigVariables__get_unitB(Gl,1,Spells,AP(방어무시),1/9,,확정,1,1,1
초월함,H08V,웨더리아의 항해사,Nami_Skill_2,2,400000.00,Flat,,400000,,SingleTarget,0,단일확정,s__TrigVariables__get_unitB(Gl,2,Spells,AP(방어무시),1/9,,확정,1,1,1
초월함,H08V,웨더리아의 항해사,Nami_Skill_2,3,400000.00,Flat,,400000,,SingleTarget,0,단일확정,s__TrigVariables__get_unitB(Gl,2,Spells,AP(방어무시),1/9,,확정,1,1,1
초월함,H08W,CP.Zero,Luchi_Skill_2_ZiGun,1,"((GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.25)*(1+((0.001)*(I2R(udg_Load_Play",[축밖],,,,SingleTarget,0,단일확정,s__TrigVariables__get_unitB(Gl,1,Chaos,AP(방어무시),1/6,세이브 횟수→❌ 축 없음,축밖,1,1,1
초월함,H08W,CP.Zero,Luchi_Skill_2_ZiGun,2,(500000.00*(1+((0.001)*(I2R(udg_Load_PlayCount[GetConvertedPlayerId(GetOwningPlayer(s__TrigVariables__get_unit,[축밖],,,,SingleTarget,0,단일확정,s__TrigVariables__get_unitB(Gl,2,Spells,AP(방어무시),1/6,세이브 횟수→❌ 축 없음,축밖,1,1,1
초월함,H08W,CP.Zero,Luchi_Skill_2_ZiGun,3,(500000.00*(1+((0.001)*(I2R(udg_Load_PlayCount[GetConvertedPlayerId(GetOwningPlayer(s__TrigVariables__get_unit,[축밖],,,,SingleTarget,0,단일확정,s__TrigVariables__get_unitB(Gl,2,Spells,AP(방어무시),1/6,세이브 횟수→❌ 축 없음,축밖,1,1,1
초월함,H08W,CP.Zero,Luchi_Skill_3_6kinggun,1,"(1000000.00*(0.20+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',GetEnumUnit())))))",Flat×계수,,1000000,,Enemies,400.00,범위확정,GetEnumUnit(),1,Chaos,AP(방어무시),Real<=5.25,계수 0.20+0.05×레벨/연구,확정,1,1,1
초월함,H08W,CP.Zero,Luchi_Skill_3_6kinggun,2,2000000.00,Flat,,2000000,,SingleTarget,0,단일확정,s__TrigVariables__get_unitB(Gl,1,Spells,AP(방어무시),Real<=5.25,,확정,1,1,1
초월함,H08W,CP.Zero,Luchi_Skill_3_6kinggun,3,"(GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.40)",대상현재체력,0.4,0,,SingleTarget,0,단일확정,s__TrigVariables__get_unitB(Gl,1,Chaos,AP(방어무시),Real<=5.25,,확정,1,1,1
초월함,H08X,해군 대장 '성난 보라호랑이',Huji01,1,((GetEventDamage()*2.50)+250000.00),ReceivedDamage,2.5,250000,,Enemies,485.00,범위확정,GetEnumUnit(),1,Chaos,AD,MANA게이지140.00,실제평타피해→✅ ReceivedDamage basis,확정,1,1,1
초월함,H08X,해군 대장 '성난 보라호랑이',Huji01,2,GetEventDamage(),ReceivedDamage,1,0,,Enemies,485.00,범위확정,GetEnumUnit(),1,Chaos,AD,MANA게이지140.00,실제평타피해→✅ ReceivedDamage basis,확정,0.8,0.8,0.8
초월함,H08X,해군 대장 '성난 보라호랑이',Huji01,3,350000.00,Flat,,350000,,SingleTarget,0,단일확정,s__TrigVariables__get_unitB(Gl,1,Magic,AP(방어무시),MANA게이지140.00,,확정,1,1,1
초월함,H08X,해군 대장 '성난 보라호랑이',Huji_03,1,6250000.00,Flat,,6250000,,Enemies,700.00,범위확정,GetEnumUnit(),1,Spells,AP(방어무시),MANA게이지140.00,,확정,1,1.5,1.25
초월함,H08Y,무적의 아이언 파이러츠,Franky_Skill_Mana1,1,4000000.00,Flat,,4000000,,Enemies,425.00,범위확정,GetEnumUnit(),1,Spells,AP(방어무시),MANA게이지100.00,,확정,1,1,1
초월함,H08Y,무적의 아이언 파이러츠,Franky_misiile_re,1,180000.00,Flat,,180000,,Enemies,400.00,범위확정,GetEnumUnit(),1,Spells,AP(방어무시),1/14,,확정,1,1.5,1.25
초월함,H090,지진과 어둠의 검은수염,Tichi_skill_1,1,4000000.00,Flat,,4000000,,SingleTarget,0,단일확정,s__TrigVariables__get_unitB(Gl,1,Chaos,AP(방어무시),LIFE게이지85.00 AND 1/5,,확정,1,1,1
초월함,H090,지진과 어둠의 검은수염,Tichi_skill_1,2,1000000.00,Flat,,1000000,,SingleTarget,0,단일확정,s__TrigVariables__get_unitB(Gl,1,Spells,AP(방어무시),LIFE게이지85.00 AND 1/5,,확정,1,1,1
초월함,H090,지진과 어둠의 검은수염,Tichi_skill_1,3,2000000.00,Flat,,2000000,,SingleTarget,0,단일확정,s__TrigVariables__get_unitB(Gl,1,Spells,AP(방어무시),LIFE게이지85.00 AND 1/5,,확정,1,1,1
초월함,H090,지진과 어둠의 검은수염,Tichi_skill_2_tr,1,"(385000.00+(I2R(GetHeroStatBJ(bj_HEROSTAT_STR,s__TrigVariables__get_unitA(GlobalTV),false))*2000.00))",영웅능력치,2000,385000,,Enemies,415.00,범위확정,GetEnumUnit(),2,Spells,AP(방어무시),LIFE게이지85.00 AND 1/25,,확정,1,1,1
초월함,H090,지진과 어둠의 검은수염,Tichi_skill_2_tr,2,"(385000.00+(I2R(GetHeroStatBJ(bj_HEROSTAT_STR,s__TrigVariables__get_unitA(GlobalTV),false))*2000.00))",영웅능력치,2000,385000,,Enemies,415.00,범위확정,GetEnumUnit(),2,Spells,AP(방어무시),LIFE게이지85.00 AND 1/25,,확정,1,1,1
초월함,H092,혁명군 참모총장,Sabo_Mana,1,3750000.00,Flat,,3750000,,Enemies,500.00,범위확정,GetEnumUnit(),1,Hero,AD,MANA게이지125.00,,확정,1,2,1.5
초월함,H092,혁명군 참모총장,Sabo_Mana,2,"(0.02*GetUnitStateSwap(UNIT_STATE_LIFE,GetEnumUnit()))",대상현재체력,0.02,0,,Enemies,500.00,범위확정,GetEnumUnit(),1,Hero,AD,MANA게이지125.00,,확정,1,1,1
초월함,H094,운명을 점치는 마술사,Hokins_Skill_3,1,(187500.00+(15000.00*s__TrigVariables__get_realB(GlobalTV))),[축밖],,,,Enemies,500.00,범위확정,GetEnumUnit(),1,Chaos,AD,LIFE게이지40.00 AND 1/7,realB=I2R(s__TrigVariables__get_integerA→❌ 축 없음,축밖,1,1,1
초월함,H094,운명을 점치는 마술사,Hokins_Skill_4,1,(162500.00+(13000.00*s__TrigVariables__get_realB(GlobalTV))),[축밖],,,,Enemies,500.00,범위확정,GetEnumUnit(),1,Spells,AP(방어무시),LIFE게이지40.00 AND 1/14,realB=I2R(s__TrigVariables__get_integerA→❌ 축 없음,축밖,1,1,1
초월함,H094,운명을 점치는 마술사,Hokins_mana,1,(1350000.00+(190000.00*s__TrigVariables__get_realB(GlobalTV))),[축밖],,,,Enemies,800.00,범위확정,GetEnumUnit(),1,Chaos,AD,MANA게이지100,realB=I2R(s__TrigVariables__get_integerA→❌ 축 없음,축밖,1,1.5,1.25
초월함,H095,신 해군원수 ,Akainu_02,1,(7250000.00+(s__TrigVariables__get_realD(GlobalTV)*10.00)),[축밖],,,,SingleTarget,0,단일확정,s__TrigVariables__get_unitB(Gl,1,Spells,AP(방어무시),MANA게이지135.00 AND 버프B06B==true,realD=영웅능력치(STR/INT)→❌ 축 없음,축밖,1,2.5,1.75
초월함,H095,신 해군원수 ,Akainu_02,2,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.12)",대상최대체력,0.12,0,,SingleTarget,0,단일확정,s__TrigVariables__get_unitB(Gl,1,Spells,AP(방어무시),MANA게이지135.00 AND 버프B06B==true,,확정,1,1,1
초월함,H096,로키포트 사건의 주모자,Law_skill_5,1,"(300000.00+(GetUnitStateSwap(UNIT_STATE_LIFE,s__TrigVariables__get_unitB(GlobalTV))*(0.01*1.25)))",대상현재체력,0.0125,300000,,Enemies,575.00,범위확정,GetEnumUnit(),1,Chaos,AP(방어무시),버프B03Z==true AND 1/20,0.01×1.25,확정,1,1,1
초월함,H098,오하라의 마지막 생존자,Robine_skill_2,1,400000.00,Flat,,400000,,Enemies,525.00,범위확정,GetEnumUnit(),1,Spells,AP(방어무시),LIFE게이지40.00 AND 1/10,,확정,1,1,1
초월함,H098,오하라의 마지막 생존자,Robine_skill_3,1,600000.00,Flat,,600000,,Enemies,350.00,범위확정,GetEnumUnit(),1,Chaos,AD,LIFE게이지40.00 AND 1/20,,확정,1,1,1
초월함,H099,명왕 레일리의 제자,Ruffy_AttackDamage,1,((GetEventDamage()*2.50)+32500.00),ReceivedDamage,2.5,32500,,SingleTarget,0,단일확정,s__TrigVariables__get_unitB(Gl,1,Chaos,AP(방어무시),(게이트 없음),실제평타피해→✅ ReceivedDamage basis,확정,1,1,1
초월함,H099,명왕 레일리의 제자,Ruffy_Mana,1,"((1750000.00+(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetEnumUnit())*0.03))*(1+((0.025)*I2R(GetPlayerTechCountSim",대상최대체력×계수,0.03,1750000,,Enemies,625.00,범위확정,GetEnumUnit(),1,Hero,AD,MANA게이지160.00,계수 1+0.025×레벨/연구,확정,1,1,1
