능력ID,원작 능력이름,우리 파일,1채널표에 있나,atar,발동확률%,피해배수,추가피해,스턴(초),판정,비고
A0M8,!해적파견조직총수,영원_김정래,있음,enemies,7.77,7.77,"3,333,333",7.77,✅ 피해 있음,
A0DP,!무장색의 패기-가반,불멸_신지우,있음,enemies,45,—,"350,000",3.0,✅ 피해 있음,
A0H5,!마음의 눈,불멸_신지우,있음,enemies,55,6.25,0,0,✅ 피해 있음,배수형
A0ET,!급소베기-가반,불멸_신지우,있음,enemies,13,6.25,0,0,✅ 피해 있음,배수형
A0IS,!화이트 블로우,전설적인_정준영,있음,enemies,18,—,"250,000",0.85,✅ 피해 있음,
A0PQ,!강철을 벤 사나이,전설적인_정준영,있음,enemies,30,—,"500,000",1.0,✅ 피해 있음,
A06M,!죽음의 경지,전설적인_정준영,있음,enemies,66,5.0,0,0,✅ 피해 있음,배수형
A17K,!불사조의 불꽃,제한_최영민,있음,enemies,15(스톡),4.25,"150,000",0,✅ 피해 있음,Hbh1 미지정 → 규칙③
A0QV,!배수의 검무,제한_최영민,있음,enemies,16,2.5,0,0,✅ 피해 있음,배수형
A0HV,!흑도-일섬,영원_최상호,있음,enemies,14,3.5,0,1.5,✅ 피해 있음,배수형
A0EA,!듀랜달,영원_최상호,있음,enemies,20,10.0,"400,000",3.0,✅ 피해 있음,가장 큼
A0QL,!어인족 수장1,전설적인_정윤식,있음,enemies,25,—,"600,000",0.6,✅ 피해 있음,
A0KT,!체인드라이브,랜덤_호시노_아이,있음,enemies,18,6.25,"400,000",0,✅ 피해 있음,
A074,!불사조불사조열매,전설적인_임채민,있음,enemies,15(스톡),3.15,"100,000",0,✅ 피해 있음,Hbh1 미지정 → 규칙③
A048,!육식,전설적인_임채민,있음,enemies,15(스톡),—,"250,000",0.6,✅ 피해 있음,Hbh1 미지정 → 규칙③
A0FI,!카무사리,불멸_김용태,있음,enemies,12.5,—,"500,000",0.75,✅ 피해 있음,
A0EN,!명왕의 검술,전설적인_진연서,있음,enemies,12,—,"80,000",0.6,✅ 피해 있음,"A0EM(92,500)과 다른 레벨"
A0LZ,!알라바스타-비영,영원_문필환,있음,enemies,10,5.0,0,0,✅ 피해 있음,배수형
A0KU,!영능력,랜덤_주호페이크,있음,enemies,14,2.5,0,0,✅ 피해 있음,배수형
A0QO,!떡떡열매,제한_김민규,있음,enemies,20,—,"150,000",1.2,✅ 피해 있음,
A0QQ,!견문색의 패기-카타쿠리,제한_김민규,있음,enemies,100,6.25,0,0.1,✅ 피해 있음,매 타 6.25배
A0SN,!백수의 왕,불멸_신지우,있음,enemies,100,—,0,0.37,🟡 스턴만,피해 0
A0GD,!숲숲 열매,제한_최영민 · 변화됨_박은석,있음,enemies,20,—,0,1.75,🟡 스턴만,피해 0
A0IV,!트루에노 바스타드,제한_최영민,있음,enemies,33,—,0,3.0,🟡 스턴만,피해 0
A0G3,!최강의 참격,영원_최상호 (인용) / 영원_김영원 (GATE_FIX_9 귀속 — 구현담당1 정정),있음,enemies,100,—,0,1.2,🟡 스턴만,피해 0. GATE_FIX_9의 「1.0 정당」 4건 중 유일하게 피해가 0인 건. 나머지 3건(A0QQ·A0GK·A05P)은 피해 있음
A0Y0,!패기-류오(오뎅),영원_서민성,있음,enemies,35,—,0,0.45,🟡 스턴만,피해 0
A17I,!토트 무지카,영원_김정래,있음,enemies,20,—,0,0,🔴 안 돎,확률만 있고 효과 전부 0
A158,!우타월드,영원_김정래,있음,enemies,20,—,0,0,🔴 안 돎,동일
A159,!음표사출,영원_김정래,있음,enemies,20,—,0,0,🔴 안 돎,동일
A041,!패기의 탄환,변화됨_박은석,있음,enemies,20,—,0,0,🔴 안 돎,동일
A0XB,!무기화 빌드,랜덤_주호페이크,있음,enemies,20,—,0,0,🔴 안 돎,동일
A157,!신시대-라이브,영원_김정래,있음,**none**,20,—,0,0,🔴 안 돎,atar=none — 엔진 배시 미작동
A16L,!화이트아웃,전설적인_정준영,있음,**none**,25,—,0,0,🔴 안 돎,atar=none
A0YF,!오뎅 이도류,영원_서민성,있음,**none**,20,—,0,0,🔴 안 돎,atar=none
A0OU,!웨스턴 액션,영원_문필환,있음,enemies,**0**,5.0,0,0,🔴 안 돎,Hbh1=0 — 제작자가 껐다(규칙④)
A07N,(스피어 히든 조합),영원_김정래,2채널 쪽,—,—,—,—,—,🔴 안 돎,"base Asph — 데이터 필드 0개, 순수 연출"
A12V,!호르몬호르몬 열매1,영원_김정래,2채널 쪽,—,—,—,—,—,🔴 피해 아님,base Ainf — Inf1은 공격력 증가율
A0E4,B뉴카마,영원_김정래,2채널 쪽,—,—,—,—,—,🔴 피해 아님,base AHad — Had1=-11은 방어력 감소
