표,유닛ID,트리거,순번,옛값,새값,비고
ORIGINAL_GATED_SKILLS_14,,Dragon_Skill_1_T,전체,475.00,#1:범위=475.00 ; #2:단일=0 ; #3:단일=0,계열-지역 반경 + RRD별 단일/범위 판정으로 재산출
ORIGINAL_GATED_SKILLS_14,,Dragon_Skill_1_T,전체,475.00,#1:범위=475.00 ; #2:단일=0 ; #3:단일=0,계열-지역 반경 + RRD별 단일/범위 판정으로 재산출
ORIGINAL_GATED_SKILLS_14,,Dragon_Skill_1_T,전체,475.00,#1:범위=475.00 ; #2:단일=0 ; #3:단일=0,계열-지역 반경 + RRD별 단일/범위 판정으로 재산출
ORIGINAL_GATED_SKILLS_14,,Dragon_Skill_1,전체,475.00,#1:범위=475.00 ; #2:단일=0,계열-지역 반경 + RRD별 단일/범위 판정으로 재산출
ORIGINAL_GATED_SKILLS_14,,Dragon_Skill_1,전체,475.00,#1:범위=475.00 ; #2:단일=0,계열-지역 반경 + RRD별 단일/범위 판정으로 재산출
ORIGINAL_GATED_SKILLS_14,,Byakuya_E,전체,925.00,#1:범위=925.00,계열-지역 반경 + RRD별 단일/범위 판정으로 재산출
ORIGINAL_GATED_SKILLS_14,,Sabo_Skill_1,전체,475.00,#1:범위=475.00 ; #2:범위=475.00 ; #3:단일=0,계열-지역 반경 + RRD별 단일/범위 판정으로 재산출
ORIGINAL_GATED_SKILLS_14,,Sabo_Skill_1,전체,475.00,#1:범위=475.00 ; #2:범위=475.00 ; #3:단일=0,계열-지역 반경 + RRD별 단일/범위 판정으로 재산출
ORIGINAL_GATED_SKILLS_14,,Sabo_Skill_1,전체,475.00,#1:범위=475.00 ; #2:범위=475.00 ; #3:단일=0,계열-지역 반경 + RRD별 단일/범위 판정으로 재산출
ORIGINAL_GATED_SKILLS_14,,Sabo_Skill_3,전체,415.00,#1:범위=415.00,계열-지역 반경 + RRD별 단일/범위 판정으로 재산출
ORIGINAL_GATED_SKILLS_14,,Sabo_Skill_4,전체,415.00,#1:범위=415.00 ; #2:단일=0 ; #3:단일=0 ; #4:단일=0,계열-지역 반경 + RRD별 단일/범위 판정으로 재산출
ORIGINAL_GATED_SKILLS_14,,Sabo_Skill_4,전체,415.00,#1:범위=415.00 ; #2:단일=0 ; #3:단일=0 ; #4:단일=0,계열-지역 반경 + RRD별 단일/범위 판정으로 재산출
ORIGINAL_GATED_SKILLS_14,,Sabo_Skill_4,전체,415.00,#1:범위=415.00 ; #2:단일=0 ; #3:단일=0 ; #4:단일=0,계열-지역 반경 + RRD별 단일/범위 판정으로 재산출
ORIGINAL_GATED_SKILLS_14,,Sabo_Skill_4,전체,415.00,#1:범위=415.00 ; #2:단일=0 ; #3:단일=0 ; #4:단일=0,계열-지역 반경 + RRD별 단일/범위 판정으로 재산출
ORIGINAL_GATED_SKILLS_14,,Nami_Skill_4,전체,500.00,#1:범위=500.00,계열-지역 반경 + RRD별 단일/범위 판정으로 재산출
ORIGINAL_GATED_SKILLS_14,,Kaido_Skill_1_8,전체,575.00,#1:범위=575.00 ; #2:단일=0,계열-지역 반경 + RRD별 단일/범위 판정으로 재산출
ORIGINAL_GATED_SKILLS_14,,Kaido_Skill_1_8,전체,575.00,#1:범위=575.00 ; #2:단일=0,계열-지역 반경 + RRD별 단일/범위 판정으로 재산출
ORIGINAL_GATED_SKILLS_14,,Kick_1,전체,400.00,#1:범위=400.00 ; #2:단일=0 ; #3:단일=0,계열-지역 반경 + RRD별 단일/범위 판정으로 재산출
ORIGINAL_GATED_SKILLS_14,,Kick_1,전체,400.00,#1:범위=400.00 ; #2:단일=0 ; #3:단일=0,계열-지역 반경 + RRD별 단일/범위 판정으로 재산출
ORIGINAL_GATED_SKILLS_14,,Kick_1,전체,400.00,#1:범위=400.00 ; #2:단일=0 ; #3:단일=0,계열-지역 반경 + RRD별 단일/범위 판정으로 재산출
ORIGINAL_GATED_SKILLS_14,,Kick_1,전체,400.00,#1:범위=400.00 ; #2:단일=0 ; #3:단일=0,계열-지역 반경 + RRD별 단일/범위 판정으로 재산출
ORIGINAL_GATED_SKILLS_14,,Kick_1,전체,400.00,#1:범위=400.00 ; #2:단일=0 ; #3:단일=0,계열-지역 반경 + RRD별 단일/범위 판정으로 재산출
ORIGINAL_GATED_SKILLS_14,,Kick_1,전체,400.00,#1:범위=400.00 ; #2:단일=0 ; #3:단일=0,계열-지역 반경 + RRD별 단일/범위 판정으로 재산출
ORIGINAL_UNLISTED_SKILL_EFFECTS,H08W,Luchi_Skill_3_6kinggun,2,mul= bonus=2e+06,mul= bonus=2000000,지수표기 → 십진수
ORIGINAL_UNLISTED_SKILL_EFFECTS,H08X,Huji01,1,range=450.00 target=Enemies,range=485.00 target=Enemies,그룹 반경을 전역이 아니라 계열 안에서 해석
ORIGINAL_UNLISTED_SKILL_EFFECTS,H08X,Huji01,2,range=450.00 target=Enemies,range=485.00 target=Enemies,그룹 반경을 전역이 아니라 계열 안에서 해석
ORIGINAL_UNLISTED_SKILL_EFFECTS,H08X,Huji_03,1,mul= bonus=6.25e+06,mul= bonus=6250000,지수표기 → 십진수
