더미유닛ID,더미이름,능력,능력이름,필드의미,값,부모트리거,원작캐릭터_등급,실제작동,오더검사
e04Q,@초월 루피 개틀링 더미,A09N,!4범위 루피초월 호크 개틀링,🔴 공격력 증가량 (배틀로어) — 피해가 아니다,40000.0,Trig_Ruffy_Attack_Actions,몽키.D.루피 - 초월함(초월함),피해 아님 — 공격력 증가 버프,오더 있음: frostarmor
e056,#불멸 Z 대구경 탄환1,A09F,0장풍 불멸 Z 대구경 탄환,시체폭발/죽음의사슬 피해,1000000.0,Trig_Z_skill_3_Actions,"제트 해군 스승 ""Z"" - 불멸의(불멸의)",작동 안 함 — 시각 이펙트,🔴 오더 없음 (base ACca = 시전 필요)
e065,@초월 검은수염 장풍 더미1,A0A4,0장풍 계열 검수초월,시체폭발/죽음의사슬 피해,300000.0,Trig_Tichi_skill_2_tr_Actions,마샬.D.티치 - 초월함(초월함),작동 안 함 — 시각 이펙트,🔴 오더 없음 (base ACca = 시전 필요)
e06H,@초월 도플 할퀴기,A0PI,3범위 도플초월 오색실1,천둥소리 피해,205000.0,Trig_DP_Attack_gaksung_Actions,각성 도플라밍고 - 초월함(초월함),작동 안 함 — 시각 이펙트,🔴 오더 없음 (base AHtc = 시전 필요)
e06R,@초월 도플 흉탄더미,A0AM,3범위 도플각성흉탄,천둥소리 피해,150000.0,Trig_DP_Attack_gaksung_Actions,각성 도플라밍고 - 초월함(초월함),작동 안 함 — 시각 이펙트,🔴 오더 없음 (base AHtc = 시전 필요)
e06U,@초월 브룩 오바드 꾸 드로와1,A0AN,0장풍 브룩 초월 오바드,시체폭발/죽음의사슬 피해,400000.0,Trig_Brook_Skill_1_Actions,브룩 - 초월함(초월함),작동 안 함 — 시각 이펙트,🔴 오더 없음 (base ACca = 시전 필요)
e06X,@초월 브룩 오바드 꾸 드로와2,A0AN,0장풍 브룩 초월 오바드,시체폭발/죽음의사슬 피해,400000.0,Trig_Brook_Skill_1_Actions,브룩 - 초월함(초월함),작동 안 함 — 시각 이펙트,🔴 오더 없음 (base ACca = 시전 필요)
e087,@초월 조로 360 더미,A0AV,0장풍 360번뇌봉,시체폭발/죽음의사슬 피해,280000.0,Trig_Zoro_enfor_flying_draong_Actions,롤로노아 조로 - 초월함(초월함),작동 안 함 — 시각 이펙트,🔴 오더 없음 (base ACca = 시전 필요)
e08Q,E영원 미호크 먼지 더미1,A13X,0장풍 미호크 영원-강화,시체폭발/죽음의사슬 피해,750000.0,Trig_Hidden23_rokugu_Actions / Trig_Mihawk_2_Actions,[히든조합]료쿠규'신'해군대장 / |CFFFFFA78세계 최강의 대검호 쥬라클 미호크 - |(영원한 / 히든),작동 안 함 — 시각 이펙트,🔴 오더 없음 (base ACca = 시전 필요)
e09G,@초월 나미 아이템 추가번개,A0AY,2범위 나미초월 블리자드2,블리자드 파동당 피해,500000.0,Trig_Nami_Skill_2_Actions,나미 - 초월함(초월함),작동 안 함 — 시각 이펙트,🔴 오더 없음 (base ACbz = 시전 필요)
e09I,@초월 나미 웨더리아4-업화피닉스1,A0AZ,2범위 나미초월 블리자드4,블리자드 파동당 피해,500000.0,Trig_Nami_Skill_4_Actions,나미 - 초월함(초월함),작동 안 함 — 시각 이펙트,🔴 오더 없음 (base ACbz = 시전 필요)
e0A1,%제한변화 에이스 불주먹3,A0C4,0장풍 에이스 불주먹-4변화1,시체폭발/죽음의사슬 피해,350000.0,Trig_Transpom_Ace_bulRemake_Actions,포트거스.D.에이스 스페이드 해적단 선장 - 변화된(변화된),작동 안 함 — 시각 이펙트,🔴 오더 없음 (base ACca = 시전 필요)
e0D6,%제한변화 에이스 불주먹4,A0C4,0장풍 에이스 불주먹-4변화1,시체폭발/죽음의사슬 피해,350000.0,Trig_Transpom_Ace_bulRemake_Actions,포트거스.D.에이스 스페이드 해적단 선장 - 변화된(변화된),작동 안 함 — 시각 이펙트,🔴 오더 없음 (base ACca = 시전 필요)
