라운드,마리,우리간격,원작간격,라운드길이,스폰소요,원작소요,초과,비고
1,35,1.6,0.65,40.65,54.4,22.1,13.75,⚠ 스폰이 라운드보다 길다
2,35,1.6,0.65,40.65,54.4,22.1,13.75,⚠ 스폰이 라운드보다 길다
3,35,1.6,0.65,40.65,54.4,22.1,13.75,⚠ 스폰이 라운드보다 길다
4,35,1.5,0.65,40.65,51.0,22.1,10.35,⚠ 스폰이 라운드보다 길다
5,35,1.5,0.65,40.65,51.0,22.1,10.35,⚠ 스폰이 라운드보다 길다
6,35,1.5,0.65,40.65,51.0,22.1,10.35,⚠ 스폰이 라운드보다 길다
7,35,1.41,0.65,40.65,47.94,22.1,7.29,⚠ 스폰이 라운드보다 길다
8,35,1.41,0.65,40.65,47.94,22.1,7.29,⚠ 스폰이 라운드보다 길다
9,35,1.41,0.65,40.65,47.94,22.1,7.29,⚠ 스폰이 라운드보다 길다
11,35,1.33,0.65,40.65,45.22,22.1,4.57,⚠ 스폰이 라운드보다 길다
12,35,1.33,0.65,40.65,45.22,22.1,4.57,⚠ 스폰이 라운드보다 길다
13,35,1.26,0.65,40.65,42.84,22.1,2.19,⚠ 스폰이 라운드보다 길다
14,35,1.26,0.65,40.65,42.84,22.1,2.19,⚠ 스폰이 라운드보다 길다
15,35,1.26,0.65,40.65,42.84,22.1,2.19,⚠ 스폰이 라운드보다 길다
16,35,1.2,0.65,40.65,40.8,22.1,0.15,⚠ 스폰이 라운드보다 길다
17,35,1.2,0.65,40.65,40.8,22.1,0.15,⚠ 스폰이 라운드보다 길다
18,35,1.2,0.65,40.65,40.8,22.1,0.15,⚠ 스폰이 라운드보다 길다
19,35,1.14,0.65,40.65,38.76,22.1,0,
21,35,1.14,0.65,40.65,38.76,22.1,0,
22,35,1.09,0.65,40.65,37.06,22.1,0,
23,35,1.09,0.65,40.65,37.06,22.1,0,
24,35,1.09,0.65,40.65,37.06,22.1,0,
25,35,1.04,0.65,40.65,35.36,22.1,0,
26,35,1.04,0.65,40.65,35.36,22.1,0,
27,35,1.04,0.65,40.65,35.36,22.1,0,
28,35,1.0,0.65,40.65,34.0,22.1,0,
29,35,1.0,0.65,40.65,34.0,22.1,0,
31,35,0.96,0.65,40.65,32.64,22.1,0,
32,35,0.96,0.65,40.65,32.64,22.1,0,
33,35,0.96,0.65,40.65,32.64,22.1,0,
34,35,0.92,0.65,40.65,31.28,22.1,0,
35,35,0.92,0.65,40.65,31.28,22.1,0,
36,35,0.92,0.65,40.65,31.28,22.1,0,
37,35,0.89,0.65,40.65,30.26,22.1,0,
38,35,0.89,0.65,40.65,30.26,22.1,0,
39,35,0.89,0.65,40.65,30.26,22.1,0,
41,35,0.86,0.65,40.65,29.24,22.1,0,
42,35,0.86,0.65,40.65,29.24,22.1,0,
43,35,0.83,0.65,40.65,28.22,22.1,0,
44,35,0.83,0.65,40.65,28.22,22.1,0,
45,35,0.83,0.65,40.65,28.22,22.1,0,
46,35,0.8,0.65,40.65,27.2,22.1,0,
47,35,0.8,0.65,40.65,27.2,22.1,0,
48,35,0.8,0.65,40.65,27.2,22.1,0,
49,35,0.77,0.65,40.65,26.18,22.1,0,
51,35,0.77,0.65,40.65,26.18,22.1,0,
52,35,0.75,0.65,40.65,25.5,22.1,0,
53,35,0.75,0.65,40.65,25.5,22.1,0,
54,35,0.75,0.65,40.65,25.5,22.1,0,
55,35,0.73,0.65,40.65,24.82,22.1,0,
56,35,0.73,0.65,40.65,24.82,22.1,0,
57,35,0.73,0.65,40.65,24.82,22.1,0,
58,35,0.71,0.65,40.65,24.14,22.1,0,
59,35,0.71,0.65,40.65,24.14,22.1,0,
61,35,0.69,0.65,38.67,23.46,22.1,0,
62,35,0.69,0.65,38.67,23.46,22.1,0,
63,35,0.69,0.65,38.67,23.46,22.1,0,
64,35,0.69,0.65,38.67,23.46,22.1,0,
66,35,0.69,0.65,38.67,23.46,22.1,0,
67,35,0.69,0.65,38.67,23.46,22.1,0,
68,35,0.69,0.65,38.67,23.46,22.1,0,
69,35,0.69,0.65,38.67,23.46,22.1,0,
71,35,0.69,0.65,38.67,23.46,22.1,0,
72,35,0.69,0.65,38.67,23.46,22.1,0,
73,35,0.69,0.65,38.67,23.46,22.1,0,
74,35,0.69,0.65,38.67,23.46,22.1,0,
