우리에셋,원작능력ID,더미경로,base,문제의필드,triggerChance,로스터배선유닛,지금도는가,우리효과목록(파일전체)
SkillData_원작능력_전설적인_정윤식.asset,A001,Trig_Legend2 -> e006(!전설 징베 더미) -> A001,,,1.0,전설적인_정윤식,Y,kind0/basis0/mult577500.0/bonus0.0 | kind0/basis0/mult125000.0/bonus0.0 | kind0/basis0/mult125000.0/bonus0.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult7.0/bonus0.0 | kind0/basis0/mult2.0/bonus0.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult7.0/bonus0.0 | kind0/basis0/mult2.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0 | kind0/basis3/mult0.0/bonus600000.0
SkillData_원작능력_전설적인_이유선.asset,A058,Trig_Legend8 -> e00A(!전설 센고쿠 인의 더미) -> A058,,,0.1,전설적인_이유선,Y,kind0/basis0/mult465000.0/bonus0.0 | kind0/basis0/mult465000.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0
SkillData_원작능력_불멸_신지우.asset,A05G,Trig_Gaban_Attack -> e055(#불멸 가반 공증 더미) -> A05G,,,0.45,불멸_신지우,Y,kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult8750000.0/bonus0.0 | kind0/basis1/mult0.1/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult70000.0/bonus0.0 | kind0/basis0/mult0.35/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult70000.0/bonus0.0 | kind0/basis0/mult0.35/bonus0.0 | kind0/basis0/mult0.01/bonus0.0 | kind0/basis3/mult0.0/bonus350000.0 | kind0/basis3/mult6.25/bonus0.0 | kind0/basis3/mult6.25/bonus0.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis0/mult750000.0/bonus0.0
SkillData_원작능력_전설적인_정윤식.asset,A077,Trig_Legend2 -> e000(!전설 징베 마나스킬 더미) -> A077,,,1.0,전설적인_정윤식,Y,kind0/basis0/mult577500.0/bonus0.0 | kind0/basis0/mult125000.0/bonus0.0 | kind0/basis0/mult125000.0/bonus0.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult7.0/bonus0.0 | kind0/basis0/mult2.0/bonus0.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult7.0/bonus0.0 | kind0/basis0/mult2.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0 | kind0/basis3/mult0.0/bonus600000.0
SkillData_원작능력_전설적인_정윤식.asset,A07B,Trig_Legend2 -> e006(!전설 징베 더미) -> A07B,,,1.0,전설적인_정윤식,Y,kind0/basis0/mult577500.0/bonus0.0 | kind0/basis0/mult125000.0/bonus0.0 | kind0/basis0/mult125000.0/bonus0.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult7.0/bonus0.0 | kind0/basis0/mult2.0/bonus0.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult7.0/bonus0.0 | kind0/basis0/mult2.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0 | kind0/basis3/mult0.0/bonus600000.0
SkillData_원작능력_희귀함_황준석.asset,A07C,Trig_Unique34 -> e090(U희귀함 죠즈 더미1) -> A07C,,,1.0,희귀함_황준석,Y,kind0/basis2/mult0.1/bonus0.0 | kind0/basis0/mult15000.0/bonus0.0 | kind0/basis0/mult70000.0/bonus0.0 | kind0/basis0/mult35000.0/bonus0.0 | kind0/basis0/mult70000.0/bonus0.0 | kind0/basis0/mult35000.0/bonus0.0 | kind0/basis0/mult10000.0/bonus0.0
SkillData_원작능력_전설적인_신문철.asset,A07E,Trig_Legend4 -> e008(!전설 시키 더미) -> A07E,,,0.2,전설적인_신문철,Y,kind0/basis0/mult145000.0/bonus0.0 | kind0/basis3/mult0.0/bonus0.0
SkillData_원작능력_전설적인_최상호.asset,A07K,Trig_Legend6 -> e00E(!전설 쿠마 스턴 더미2) -> A07K,,,0.3,전설적인_최상호,Y,kind0/basis0/mult2450000.0/bonus0.0 | kind0/basis1/mult0.04/bonus0.0 | kind0/basis2/mult-0.04/bonus0.0 | kind0/basis0/mult2450000.0/bonus0.0 | kind0/basis1/mult0.04/bonus0.0 | kind0/basis2/mult-0.04/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult2450000.0/bonus0.0 | kind0/basis1/mult0.04/bonus0.0 | kind0/basis2/mult-0.04/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0
SkillData_원작능력_전설적인_최상호.asset,A07K,Trig_Legend6 -> e0KD(!전설 쿠마 스턴 더미) -> A07K,,,0.3,전설적인_최상호,Y,kind0/basis0/mult2450000.0/bonus0.0 | kind0/basis1/mult0.04/bonus0.0 | kind0/basis2/mult-0.04/bonus0.0 | kind0/basis0/mult2450000.0/bonus0.0 | kind0/basis1/mult0.04/bonus0.0 | kind0/basis2/mult-0.04/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult2450000.0/bonus0.0 | kind0/basis1/mult0.04/bonus0.0 | kind0/basis2/mult-0.04/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0
SkillData_원작능력_전설적인_최상호.asset,A07K,Trig_Legend6 -> e0KE(!전설 쿠마 스턴 더미1) -> A07K,,,0.3,전설적인_최상호,Y,kind0/basis0/mult2450000.0/bonus0.0 | kind0/basis1/mult0.04/bonus0.0 | kind0/basis2/mult-0.04/bonus0.0 | kind0/basis0/mult2450000.0/bonus0.0 | kind0/basis1/mult0.04/bonus0.0 | kind0/basis2/mult-0.04/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult2450000.0/bonus0.0 | kind0/basis1/mult0.04/bonus0.0 | kind0/basis2/mult-0.04/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0
