우리에셋,원작능력ID,더미경로,base,문제의필드,triggerChance,로스터배선유닛,지금도는가,우리효과목록(파일전체),필드값,1_필드뜻,2_atar,3_오더,4_판정
SkillData_원작능력_전설적인_정윤식.asset,A001,Trig_Legend2 -> e006(!전설 징베 더미) -> A001,ANst,Nst3,1.0,전설적인_정윤식,Y,kind0/basis0/mult577500.0/bonus0.0 | kind0/basis0/mult125000.0/bonus0.0 | kind0/basis0/mult125000.0/bonus0.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult7.0/bonus0.0 | kind0/basis0/mult2.0/bonus0.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult7.0/bonus0.0 | kind0/basis0/mult2.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0 | kind0/basis3/mult0.0/bonus600000.0,150000.0,스탬피드 — 피해(Nst1은 마리 수),N/A(시전형),OK (stampede),✅ 유효
SkillData_원작능력_전설적인_이유선.asset,A058,Trig_Legend8 -> e00A(!전설 센고쿠 인의 더미) -> A058,Aroa,(피해 필드 없음),0.1,전설적인_이유선,Y,kind0/basis0/mult465000.0/bonus0.0 | kind0/basis0/mult465000.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0,,"🔴 로어 — 형제 52개 중 51개가 「[조합]」 UI 버튼. A058만 실효(공격력 +40%, 범위1900, 6초). 피해 아님",N/A(시전형),N/A(피해 필드가 없다),🔴 피해 아님 — 제거
SkillData_원작능력_불멸_신지우.asset,A05G,Trig_Gaban_Attack -> e055(#불멸 가반 공증 더미) -> A05G,ANbr,(피해 필드 없음),0.45,불멸_신지우,Y,kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult8750000.0/bonus0.0 | kind0/basis1/mult0.1/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult70000.0/bonus0.0 | kind0/basis0/mult0.35/bonus0.0 | kind0/basis0/mult500000.0/bonus0.0 | kind0/basis0/mult70000.0/bonus0.0 | kind0/basis0/mult0.35/bonus0.0 | kind0/basis0/mult0.01/bonus0.0 | kind0/basis3/mult0.0/bonus350000.0 | kind0/basis3/mult6.25/bonus0.0 | kind0/basis3/mult6.25/bonus0.0 | kind0/basis3/mult0.0/bonus0.0 | kind0/basis0/mult750000.0/bonus0.0,,🔴 배틀로어 — Nbr1은 공격력 증가량. 피해 아님,N/A(시전형),N/A(피해 필드가 없다),🔴 피해 아님 — 제거
SkillData_원작능력_전설적인_정윤식.asset,A077,Trig_Legend2 -> e000(!전설 징베 마나스킬 더미) -> A077,AHtc,Htc1,1.0,전설적인_정윤식,Y,kind0/basis0/mult577500.0/bonus0.0 | kind0/basis0/mult125000.0/bonus0.0 | kind0/basis0/mult125000.0/bonus0.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult7.0/bonus0.0 | kind0/basis0/mult2.0/bonus0.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult7.0/bonus0.0 | kind0/basis0/mult2.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0 | kind0/basis3/mult0.0/bonus600000.0,2000000.0,천둥소리 — 피해,N/A(시전형),OK (thunderclap),✅ 유효
SkillData_원작능력_전설적인_정윤식.asset,A07B,Trig_Legend2 -> e006(!전설 징베 더미) -> A07B,AUfa,(피해 필드 없음),1.0,전설적인_정윤식,Y,kind0/basis0/mult577500.0/bonus0.0 | kind0/basis0/mult125000.0/bonus0.0 | kind0/basis0/mult125000.0/bonus0.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult7.0/bonus0.0 | kind0/basis0/mult2.0/bonus0.0 | kind0/basis0/mult1000000.0/bonus0.0 | kind0/basis0/mult7.0/bonus0.0 | kind0/basis0/mult2.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0 | kind0/basis3/mult0.0/bonus600000.0,,🔴 프로스트아머 — Ufa1은 절대쿨 지속시간(초). 「5절대쿨 …」. 피해 아님,N/A(시전형),N/A(피해 필드가 없다),🔴 피해 아님 — 제거
SkillData_원작능력_희귀함_황준석.asset,A07C,Trig_Unique34 -> e090(U희귀함 죠즈 더미1) -> A07C,AOws,Wrs1,1.0,희귀함_황준석,Y,kind0/basis2/mult0.1/bonus0.0 | kind0/basis0/mult15000.0/bonus0.0 | kind0/basis0/mult70000.0/bonus0.0 | kind0/basis0/mult35000.0/bonus0.0 | kind0/basis0/mult70000.0/bonus0.0 | kind0/basis0/mult35000.0/bonus0.0 | kind0/basis0/mult10000.0/bonus0.0,10000.0,전투의 함성 — 피해,N/A(시전형),OK (stomp),✅ 유효
SkillData_원작능력_전설적인_신문철.asset,A07E,Trig_Legend4 -> e008(!전설 시키 더미) -> A07E,AOws,Wrs1,0.2,전설적인_신문철,Y,kind0/basis0/mult145000.0/bonus0.0 | kind0/basis3/mult0.0/bonus0.0,145000.0,전투의 함성 — 피해,N/A(시전형),OK (stomp),✅ 유효
SkillData_원작능력_전설적인_최상호.asset,A07K,Trig_Legend6 -> e00E(!전설 쿠마 스턴 더미2) -> A07K,AOws,Wrs1,0.3,전설적인_최상호,Y,kind0/basis0/mult2450000.0/bonus0.0 | kind0/basis1/mult0.04/bonus0.0 | kind0/basis2/mult-0.04/bonus0.0 | kind0/basis0/mult2450000.0/bonus0.0 | kind0/basis1/mult0.04/bonus0.0 | kind0/basis2/mult-0.04/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult2450000.0/bonus0.0 | kind0/basis1/mult0.04/bonus0.0 | kind0/basis2/mult-0.04/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0,200000.0,전투의 함성 — 피해,N/A(시전형),OK (stomp),✅ 유효
SkillData_원작능력_전설적인_최상호.asset,A07K,Trig_Legend6 -> e0KD(!전설 쿠마 스턴 더미) -> A07K,AOws,Wrs1,0.3,전설적인_최상호,Y,kind0/basis0/mult2450000.0/bonus0.0 | kind0/basis1/mult0.04/bonus0.0 | kind0/basis2/mult-0.04/bonus0.0 | kind0/basis0/mult2450000.0/bonus0.0 | kind0/basis1/mult0.04/bonus0.0 | kind0/basis2/mult-0.04/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult2450000.0/bonus0.0 | kind0/basis1/mult0.04/bonus0.0 | kind0/basis2/mult-0.04/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0,200000.0,전투의 함성 — 피해,N/A(시전형),OK (stomp),✅ 유효
SkillData_원작능력_전설적인_최상호.asset,A07K,Trig_Legend6 -> e0KE(!전설 쿠마 스턴 더미1) -> A07K,AOws,Wrs1,0.3,전설적인_최상호,Y,kind0/basis0/mult2450000.0/bonus0.0 | kind0/basis1/mult0.04/bonus0.0 | kind0/basis2/mult-0.04/bonus0.0 | kind0/basis0/mult2450000.0/bonus0.0 | kind0/basis1/mult0.04/bonus0.0 | kind0/basis2/mult-0.04/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult2450000.0/bonus0.0 | kind0/basis1/mult0.04/bonus0.0 | kind0/basis2/mult-0.04/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0,200000.0,전투의 함성 — 피해,N/A(시전형),OK (stomp),✅ 유효
SkillData_원작능력_전설적인_진연서.asset,A07L,Trig_Legend7 -> e00J(!전설 레일리 마나스킬 더미3) -> A07L,AOws,Wrs1,1.0,전설적인_진연서,Y,kind0/basis0/mult1200000.0/bonus0.0 | kind0/basis0/mult1200000.0/bonus0.0 | kind0/basis0/mult2.0/bonus0.0 | kind0/basis0/mult1200000.0/bonus0.0 | kind0/basis0/mult2.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0 | kind0/basis3/mult0.0/bonus80000.0,1000000.0,전투의 함성 — 피해,N/A(시전형),OK (stomp),✅ 유효
SkillData_원작능력_전설적인_최상호.asset,A07L,Trig_Legend6 -> e00F(!전설 쿠마 마나스킬 더미) -> A07L,AOws,Wrs1,0.3,전설적인_최상호,Y,kind0/basis0/mult2450000.0/bonus0.0 | kind0/basis1/mult0.04/bonus0.0 | kind0/basis2/mult-0.04/bonus0.0 | kind0/basis0/mult2450000.0/bonus0.0 | kind0/basis1/mult0.04/bonus0.0 | kind0/basis2/mult-0.04/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult2450000.0/bonus0.0 | kind0/basis1/mult0.04/bonus0.0 | kind0/basis2/mult-0.04/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult200000.0/bonus0.0 | kind0/basis0/mult1.0/bonus0.0,1000000.0,전투의 함성 — 피해,N/A(시전형),🔴 오더 없음,🔴 미작동 — 제거
SkillData_원작능력_전설적인_백기현.asset,A07T,Trig_Legend10 -> e00V(!전설 샹크스 스턴) -> A07T,AOws,Wrs1,0.1,전설적인_백기현,Y,kind0/basis0/mult125000.0/bonus0.0 | kind0/basis3/mult10.0/bonus250000.0,125000.0,전투의 함성 — 피해,N/A(시전형),OK (stomp),✅ 유효
SkillData_원작능력_전설적인_임채현.asset,A07U,Trig_Legend11 -> e00B(!전설 후지토라 더미2) -> A07U,AOws,Wrs1,0.143,전설적인_임채현,Y,kind0/basis2/mult0.01/bonus500000.0 | kind0/basis0/mult150000.0/bonus0.0 | kind0/basis0/mult577500.0/bonus0.0 | kind0/basis0/mult192500.0/bonus0.0 | kind0/basis0/mult577500.0/bonus0.0 | kind0/basis0/mult192500.0/bonus0.0 | kind0/basis0/mult192500.0/bonus0.0,192500.0,전투의 함성 — 피해,N/A(시전형),🔴 오더 없음,🔴 미작동 — 제거
SkillData_원작능력_전설적인_임채현.asset,A07U,Trig_Legend11 -> e00Z(!전설 후지토라 더미) -> A07U,AOws,Wrs1,0.143,전설적인_임채현,Y,kind0/basis2/mult0.01/bonus500000.0 | kind0/basis0/mult150000.0/bonus0.0 | kind0/basis0/mult577500.0/bonus0.0 | kind0/basis0/mult192500.0/bonus0.0 | kind0/basis0/mult577500.0/bonus0.0 | kind0/basis0/mult192500.0/bonus0.0 | kind0/basis0/mult192500.0/bonus0.0,192500.0,전투의 함성 — 피해,N/A(시전형),OK (stomp),✅ 유효
