더미유닛ID,더미이름,능력,능력이름,값,부모트리거,추정캐릭터,추정등급,스킵사유
e00C,@초월 로우룸2,A09H,!4범위 로우 룸,30000.0,Trig_Law_Attack_Actions,로우,초월함,해당 캐릭터+등급 조합의 uid가 현재 CSV 카탈로그에 없음
e03K,U희귀함 에넬 뇌신 더미,ACfl,,7000.0,Trig_Unique7_Actions,에넬,희귀함,해당 캐릭터+등급 조합의 uid가 현재 CSV 카탈로그에 없음
e03T,@초월 로우 카운터 더미1,A140,3범위 로우초월 카운터,437500.0,Trig_Law_Skill_2_reinforce_Actions,로우,초월함,해당 캐릭터+등급 조합의 uid가 현재 CSV 카탈로그에 없음
e044,@초월 상디 킥2 더미2,A0MJ,3범위 무통샷-상디초월,850000.0,Trig_SandiAttack_Actions / Trig_SandiAttack_Upgrade_Actions,상디,초월함,해당 캐릭터+등급 조합의 uid가 현재 CSV 카탈로그에 없음
e09N,@초월 아오키지 아이스볼1,A0BR,0장풍 아오초 아이스볼,500000.0,Trig_Aokigi_skill_2_Actions,아오키지,초월함,해당 캐릭터+등급 조합의 uid가 현재 CSV 카탈로그에 없음
e09O,@초월 아오키지 아이스 파르티잔1,A0BU,3범위 파르티잔 액티브,325000.0,Trig_Aokigi_skill_4_Actions,아오키지,초월함,해당 캐릭터+등급 조합의 uid가 현재 CSV 카탈로그에 없음
e09Q,@초월 로우 메스 1,A0OG,3범위 로우초월 카운터1,350000.0,Trig_Law_Skill_2_Actions,로우,초월함,해당 캐릭터+등급 조합의 uid가 현재 CSV 카탈로그에 없음
e0BV,S특별함 에넬 더미,ANfl,포크 라이트닝 에넬 특별함,1500.0,Trig_Speical8_Actions,에넬,특별함,해당 캐릭터+등급 조합의 uid가 현재 CSV 카탈로그에 없음
e0EF,H히든 미호크 더미,A0B5,0장풍 미호크 히든,200000.0,Trig_Hidden20_Actions,미호크,히든,해당 캐릭터+등급 조합의 uid가 현재 CSV 카탈로그에 없음
e0F4,%제한됨변화더미 루치 더미 31,A0R6,0장풍 루치초월 람각개조,600000.0,Trig_Luchi_Skill_1_Kick_Actions,루치,제한됨,해당 캐릭터+등급 조합의 uid가 현재 CSV 카탈로그에 없음
e0F5,%제한됨변화더미 루치 육왕권 더미 1,A0R6,0장풍 루치초월 람각개조,600000.0,Trig_carrot_skill_2_Actions,루치,제한됨,해당 캐릭터+등급 조합의 uid가 현재 CSV 카탈로그에 없음
e0F6,%제한됨변화더미 루치 육왕권 더미 2,A0R6,0장풍 루치초월 람각개조,600000.0,Trig_carrot_skill_2_Actions,루치,제한됨,해당 캐릭터+등급 조합의 uid가 현재 CSV 카탈로그에 없음
e0F8,%제한됨변화더미 루치 육왕권 더미 4,A0R6,0장풍 루치초월 람각개조,600000.0,Trig_carrot_skill_2_Actions,루치,제한됨,해당 캐릭터+등급 조합의 uid가 현재 CSV 카탈로그에 없음
e0FF,%제한됨변화더미 루치 더미 4,A0R6,0장풍 루치초월 람각개조,600000.0,Trig_Luchi_Skill_1_Kick_Actions,루치,제한됨,해당 캐릭터+등급 조합의 uid가 현재 CSV 카탈로그에 없음
e0GN,@초월 로우 라디오3,A0OG,3범위 로우초월 카운터1,350000.0,Trig_Law_skill_5_Actions,로우,초월함,해당 캐릭터+등급 조합의 uid가 현재 CSV 카탈로그에 없음
e0GO,@초월 로우 라디오2,A0OG,3범위 로우초월 카운터1,350000.0,Trig_Law_skill_5_Actions,로우,초월함,해당 캐릭터+등급 조합의 uid가 현재 CSV 카탈로그에 없음
e0GP,@초월 로우 라디오1,A0OG,3범위 로우초월 카운터1,350000.0,Trig_Law_skill_5_Actions,로우,초월함,해당 캐릭터+등급 조합의 uid가 현재 CSV 카탈로그에 없음
e0HF,@초월 아오키지 아이스 파르티잔,A0BU,3범위 파르티잔 액티브,325000.0,Trig_Aokigi_skill_4_Actions,아오키지,초월함,해당 캐릭터+등급 조합의 uid가 현재 CSV 카탈로그에 없음
e0ML,@초월 아오키지 아이스볼3,A0BR,0장풍 아오초 아이스볼,500000.0,Trig_Aokigi_skill_2_Actions,아오키지,초월함,해당 캐릭터+등급 조합의 uid가 현재 CSV 카탈로그에 없음
e0MT,!이치고 월아1,A093,0장풍 검은 월아천충,450000.0,Trig_ichigo2_Actions,이치고,전설적인,해당 캐릭터+등급 조합의 uid가 현재 CSV 카탈로그에 없음
e0NQ,@초월 로우 카운터 더미,A0OG,3범위 로우초월 카운터1,350000.0,Trig_Kid_Skill_3_item_Actions / Trig_Law_Skill_2_reinforce_Actions,로우,초월함,해당 캐릭터+등급 조합의 uid가 현재 CSV 카탈로그에 없음
e0OG,H히든 미호크 더미1,A0B5,0장풍 미호크 히든,200000.0,Trig_Hidden20_Actions,미호크,히든,해당 캐릭터+등급 조합의 uid가 현재 CSV 카탈로그에 없음
e0RR,@초월 로우룸-베기,A09H,!4범위 로우 룸,30000.0,Trig_Law_Attack_Actions,로우,초월함,해당 캐릭터+등급 조합의 uid가 현재 CSV 카탈로그에 없음
