유닛ID,등급,유닛이름,평타 ua1b,평타 쿨 ua1c,평타트리거,직접피해 호출 수,직접피해 식,오더받은 소환체,오더없는 소환체,스킬 수(대표화),판정
H08U,초월함,'포세이돈' 인어공주,40000,0.699999988079071,Sirahoshi_Attack,1,"RRD(s__TrigVariables__get_unitA(GlobalTV),GetEnumUnit(),(3350000.00+((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetEnumUnit())-GetUnitStateSwap(UNIT_STATE_LIFE,GetEnumUnit()))*0.06)),1.00,1.50,ATTACK_TYPE_NORMAL,DAMAGE_TYPE_UNIVERSAL)",e04S(frostarmor) / e04V(stomp) / e0BD(stomp) / e0KA(stomp) / e0PF(stampede),e04V / e04X / e0BB / e0BC / e0BE / e0K9 / e0KA,6,피해 있음
H091,초월함,밀짚모자 해적단 의사,250000,0.6200000047683716,Chopa_Attack,0,,,,0,피해 없음 확정 — 마나 150에서 metamorphosis로 H093(슈퍼탱크)로 변신만. 피해는 H093 쪽
H093,초월함,슈퍼 탱크,525000,1.3700000047683716,Chopatank,2,"RRD(s__TrigVariables__get_unitA(GlobalTV),GetEnumUnit(),GetEventDamage(),1.00,1.00,ATTACK_TYPE_CHAOS,DAMAGE_TYPE_NORMAL) || RRD(s__TrigVariables__get_unitA(GlobalTV),s__TrigVariables__get_unitB(GlobalTV),250000.00,1.00,1.00,ATTACK_TYPE_MAGIC,DAMAGE_TYPE_UNIVERSAL)",,e048,2,피해 있음
H09C,초월함,G.O.D,55555,0.47999998927116394,Usop_Skill_10Ton,1,"RRD(GetAttacker(),GetTriggerUnit(),(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*(0.035)),1.00,1.75,ATTACK_TYPE_PIERCE,DAMAGE_TYPE_NORMAL)",,e06J,1,피해 있음
H0B3,초월함,다섯번째 황제,42500,0.44999998807907104,Snake_Attack_BlackMamba,5,"RRD(GetAttacker(),GetEnumUnit(),(112500.00*(1+(0.01*(GetUnitMoveSpeed(GetEnumUnit())*0.30)))),1.00,2.00,ATTACK_TYPE_HERO,DAMAGE_TYPE_NORMAL) || RRD(s__TrigVariables__get_unitA(GlobalTV),GetEnumUnit(),(350000.00*(1+(0.01*(GetUnitMoveSpeed(GetEnumUnit())*0.40)))),1.00,1.50,ATTACK_TYPE_MAGIC,DAMAGE_TYPE_UNIVERSAL) || RRD(s__TrigVariables__get_unitA(GlobalTV),GetEnumUnit(),(3500000.00*(1+(0.01*(GetUnitMoveSpeed(GetEnumUnit())*0.10)))),1.00,1.50,ATTACK_TYPE_MAGIC,DAMAGE_TYPE_UNIVERSAL) || RRD(s__TrigVariables__get_unitA(GlobalTV),s__TrigVariables__get_unitB(GlobalTV),1875000.00,1.00,1.50,ATTACK_TYPE_MAGIC,DAMAGE_TYPE_UNIVERSAL) || RRD(s__TrigVariables__get_unitA(GlobalTV),s__TrigVariables__get_unitB(GlobalTV),350000.00,1.00,1.50,ATTACK_TYPE_MAGIC,DAMAGE_TYPE_UNIVERSAL)",e0L3(firebolt),e0L3 / e0L4 / e0L5 / e0L6 / e0LF / e0M4 / e0M5 / h09O,6,피해 있음
h02W,전설적인,몽키.D.드래곤 세계최악의 범죄자 - 전설적인,45000,0.7699999809265137,Legend3,0,,e007(stomp),,1,피해 있음
h037,전설적인,슈가 장난감의 지배자 - 전설적인,21000,0.7300000190734863,Legend27,0,,h06P(selfdestruct),h06N,1,피해 있음
h085,전설적인,시노부 쿠노이치 - 전설적인-소환됨,21500,0.7300000190734863,Legend30mirror,3,"RRD(GetAttacker(),GetTriggerUnit(),((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*0.02)*(0.20+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',GetTriggerUnit()))))),1.00,1.00,ATTACK_TYPE_MELEE,DAMAGE_TYPE_UNIVERSAL) || RRD(GetAttacker(),GetTriggerUnit(),(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*(0.01)),0.33,0.33,ATTACK_TYPE_NORMAL,DAMAGE_TYPE_UNIVERSAL) || RRD(GetAttacker(),GetTriggerUnit(),200000.00,1.00,1.00,ATTACK_TYPE_NORMAL,DAMAGE_TYPE_UNIVERSAL)",,e0HY / e0HZ / e0I2 / e0I3,3,피해 있음
h0AH,전설적인,킹 백수해적단-대간판 - 전설적인,40000,0.9200000166893005,Legend33,0,,e0NK(acidbomb),e0NC / e0NG,1,피해 있음
h07R,불멸의,시키의 함대불멸의,200000,0.75,Shiki_ship2,1,"UnitDamagePointLoc(s__TrigVariables__get_unitD(GlobalTV),0,400.00,s__TrigVariables__get_locationB(GlobalTV),GetEventDamage(),ATTACK_TYPE_CHAOS,DAMAGE_TYPE_NORMAL)",,,1,피해 있음
