파일,skillName,level,effect_index,basis,target,range,effect_chance
Assets/Data/UnitSkills/SkillData_원작능력_랜덤_주호페이크.asset,Trig_yomi2,0,2,3,3,0.0,1.0
Assets/Data/UnitSkills/SkillData_원작능력_랜덤_한마_바키.asset,A0GL !신의 손,0,5,3,3,525.0,1.0
Assets/Data/UnitSkills/SkillData_원작능력_변화됨_박은석.asset,A0S7 !전격-캐럿,0,7,3,3,400.0,1.0
Assets/Data/UnitSkills/SkillData_원작능력_변화됨_박은석.asset,A0S7 !전격-캐럿,0,8,3,3,400.0,1.0
Assets/Data/UnitSkills/SkillData_원작능력_불멸_정윤식.asset,A0EM !명왕의 검술,0,1,3,3,0.0,1.0
Assets/Data/UnitSkills/SkillData_원작능력_불멸_정준영.asset,A13O !부유물-돌,0,5,3,3,0.0,1.0
Assets/Data/UnitSkills/SkillData_원작능력_불멸_정준영.asset,A13O !부유물-돌,0,6,3,3,0.0,1.0
Assets/Data/UnitSkills/SkillData_원작능력_불멸_정준영.asset,A13O !부유물-돌,0,8,3,3,0.0,1.0
Assets/Data/UnitSkills/SkillData_원작능력_불멸_정준영.asset,A13O !부유물-돌,0,9,3,3,0.0,1.0
Assets/Data/UnitSkills/SkillData_원작능력_불멸_정준영.asset,A13O !부유물-돌,0,10,3,3,0.0,1.0
Assets/Data/UnitSkills/SkillData_원작능력_영원_서민성.asset,A0LZ !알라바스타-비영,0,4,3,3,450.0,1.0
Assets/Data/UnitSkills/SkillData_원작능력_영원_서민성.asset,A0LZ !알라바스타-비영,0,5,3,3,450.0,1.0
Assets/Data/UnitSkills/SkillData_원작능력_전설적인_임건웅.asset,A0GH !무장색의패기-제파,0,5,3,3,0.0,1.0
Assets/Data/UnitSkills/SkillData_원작능력_초월_황준석_ADAP.asset,A0KA !레드호크,0,4,3,3,0.0,1.0
Assets/Data/UnitSkills/SkillData_원작능력_초월_황준석_ADAP.asset,A0KA !레드호크,0,10,3,3,0.0,1.0
Assets/Data/UnitSkills/SkillData_원작능력_초월_황준석_ADAP.asset,A0KA !레드호크,0,12,3,3,0.0,1.0
Assets/Data/UnitSkills/SkillData_원작능력_초월_황준석_ADAP.asset,A0KA !레드호크,0,14,3,3,0.0,1.0
Assets/Data/UnitSkills/SkillData_원작능력_초월_황준석_ADAP.asset,A0KA !레드호크,0,15,3,3,0.0,1.0
Assets/Data/UnitSkills/SkillData_원작능력_초월_황준석_ADAP.asset,A0KA !레드호크,0,16,3,3,0.0,1.0
Assets/Data/UnitSkills/SkillData_원작능력_초월_황준석_ADAP.asset,A0KA !레드호크,0,17,3,3,0.0,1.0
Assets/Data/UnitSkills/SkillData_원작능력_특별함_왕승환.asset,A0SQ !작살-크로,0,0,3,3,0.0,1.0
