유닛ID,유닛이름,원작등급,미수록스킬수,Flat합계,게이트요약,스킬목록
H09F,수라의 검사,초월함,5,"9,056,250+buf",확률3 / 게이지2,"Zoro_Samchun2,Zoro_samchun1,Zoro_saza1,Zoro_raven,Zoro_tiger"
H0BT,염왕,초월함,5,"9,143,750+buf",확률3 / 게이지2,"Zoro_Samchun2,Zoro_samchun1,Zoro_enfor_flying_draong,Zoro_enfor_3dragon,Zoro_tiger"
H05N,해군의 홍일점,초월함,3,"3,055,000+%MaxHp%",없음2 / 게이지1,"Tasigi_03,tahsigi,Tasigi_02"
H094,운명을 점치는 마술사,초월함,3,"1,918,000",게이지3,"Hokins_mana,Hokins_Skill_4,Hokins_Skill_3"
H095,신 해군원수 ,초월함,3,"7,250,000+%MaxHp%+buf",게이지2 / 없음1,"Akainu_02,Akainu_03,Akainu_01_Shoot"
H097,전 해군대장 아오키지 ,초월함,3,0,확률3,"Aokigi_skill_3,Aokigi_skill_4,Aokigi_skill_2"
H09A,어인협객,초월함,3,"12,059,450+buf",확률2 / 게이지1,"Jimbe_Mu,Jimbe,Jimbe_jingak"
H09D,"""어둠의 조커""드레스로자의 악몽",초월함,3,"1,045,000+%CurHp%",확률2 / 없음1,"DP_AttackDamagegaksung,DP_Skill_3,DP_Skill_2"
H09E,"""어둠의 조커""드레스로자의 악몽",초월함,3,"1,010,000+%CurHp%",확률2 / 없음1,"DP_AttackDamage,DP_Skill_3,DP_Skill_2"
H0B3,다섯번째 황제,초월함,3,"6,075,000",게이지1 / 없음1 / 확률1,"Snake_3_Kingkobra,BlackMamba_skill_1,Snake_2"
H0B5,해군대장-보르살리노,초월함,3,"200,000+buf",확률3,"Kizaru_Skill_mana,Kizaru_01,Kizaru_01_shoot"
H08W,CP.Zero,초월함,2,"4,000,000+%CurHp%",확률2,"Luchi_Skill_3_6kinggun,Luchi_Skill_2_ZiGun"
H08X,해군 대장 '성난 보라호랑이',초월함,2,"6,850,000",게이지2,"Huji_03,Huji01"
H08Y,무적의 아이언 파이러츠,초월함,2,"4,180,000",게이지1 / 확률1,"Franky_Skill_Mana1,Franky_misiile_re"
H090,지진과 어둠의 검은수염,초월함,2,"7,774,000",게이지2,"Tichi_skill_2_tr,Tichi_skill_1"
