희귀함 | 검호 류마 용의 목을 벤 사나이 + 페로나 홀로홀로열매-네거티브 -> 마인 오즈 대륙파괴인
희귀함 | 보아 핸콕 칠무해 + 베이비 5 팔보수군 -> 마르코 흰수염 1번대대장
전설적인 | 나미 크리마 텍트 -> 시저 크라운 미치광이 과학자 M
흔함 | 롤로노아 조로 + 나미 + 우솝 + 상디 + 토니토니 쵸파 + 버기 + 해군 총병 + 해군 칼병 -> 몽키.D.루피
희귀함 | 센토마루  해군 과학본부장 -> 벤 베크만 붉은머리 해적단 부선장
안흔함 | 해군 총병 -> 포트거스.D.에이스
특별함 | 몽키.D.루피 + 몽키.D.루피 + 몽키.D.루피 -> 몽키.D.루피 기어 세컨드
특별함 | 프랑키 + 프랑키 + 롤로노아 조로 -> 파이러츠 도킹 5 거대 로봇 전사
특별함 | 갓 에넬 하늘섬의 가짜신 + 봉쿠레 Mr.2 -> 몽키.D.루피 기어 세컨드
특별함 | 겟코 모리아 칠무해 + 몽키.D.루피 기어 세컨드 -> 겟코 모리아 칠무해
전설적인 | 마인 오즈 대륙파괴인 + 검호 류마 용의 목을 벤 사나이 + 압살롬 투명인간 + 몽키.D.루피 기어서드 초신성 -> 몽키.D.루피 나이트메어
전설적인 | 토니토니 쵸파 혼 포인트 + 바제스 검은수염해적단 선원 + 반 더 데켄 플라잉더치맨호의 선장 -> Dr.히루루크 나라를 치료한 의사
안흔함 | 나미 + 상디 -> 니코 로빈
특별함 | 나미 + 나미 + 나미 -> 나미 크리마 텍트
특별함 | 프랑키 + 저격왕 우솝 + 버기 -> 크로커 다일 전 칠무해
희귀함 | 상디 검은다리 + 토니토니 쵸파 가드 포인트 + 유스타스 키드 초신성 + 겟코 모리아 칠무해 + 롤로노아 조로 귀기 + 저격왕 우솝 + 페로나 + 해군 칼병 + 검호 류마 용의 목을 벤 사나이 -> 상디 디아블 잠브
희귀함 | 트라팔가 로우 죽음의 외과의사 + 사카즈키 해군대장 아카이누 -> 반 더 데켄 플라잉더치맨호의 선장
안흔함 | 롤로노아 조로 + 토니토니 쵸파 -> 브룩
특별함 | 상디 + 상디 + 상디 -> 상디 검은다리
특별함 | 브룩 + 브룩 + 상디 -> 겟코 모리아 칠무해
희귀함 | 겟코 모리아 칠무해 + 스모커 해군 준장 -> 조로 '현상금 사냥꾼' 초신성
특별함 | 페로나 + 토니토니 쵸파 두뇌 강화 + 상디 검은다리 -> 압살롬 투명인간
희귀함 | 와이퍼 하늘섬의 전귀 + X-드레이크 알로사우로스 -> 유스타스 키드 캡틴-키드
전설적인 | 브룩 해골 음악가 -> 바르토로메오 신예 초신성- 식인
희귀함 | 마젤란 독독열매능력자 + 모몬가 G1 지부의 수장 -> 거프 해군 영웅
