order_string	ability_id	dummy_unit_id	dummy_name	grade	w3a_name	w3a_base	w3a_damage_max	w3a_cooldown
holdposition					!!!@#$고스트	Aeth		
stomp	A0QU	e0EV	더미-도움소지진		2범위 도움소 스턴	AOws		0.0
holdposition					!!!@#$고스트	Aeth		
holdposition					!!!@#$고스트	Aeth		
holdposition					!!!@#$고스트	Aeth		
holdposition					!!!@#$고스트	Aeth		
holdposition					!!!@#$고스트	Aeth		
holdposition					!!!@#$고스트	Aeth		
holdposition					!!!@#$고스트	Aeth		
holdposition					!!!@#$고스트	Aeth		
holdposition					!!!@#$고스트	Aeth		
holdposition					!!!@#$고스트	Aeth		
holdposition					!!!@#$고스트	Aeth		
holdposition					!!!@#$고스트	Aeth		
holdposition					!!!@#$고스트	Aeth		
holdposition					!!!@#$고스트	Aeth		
holdposition					!!!@#$고스트	Aeth		
forkedlightning	ANfl	e0BV	S특별함 에넬 더미	특별함				
forkedlightning	ACfl	e03K	U희귀함 에넬 뇌신 더미	희귀함				
chainlightning	A09A	e03M	U희귀함 키자루 더미	희귀함	4지정 키자루 팔지경1	AOcl		
stomp	A0PX	e057	U희귀함 아오키지 더미	희귀함	2범위 아오희귀	AOws	9000.0	0.0
stomp	A0R8	e03O	U희귀함 이완코브 더미	희귀함	2범위 이완 데스윙크	AOws	13000.0	0.0
stomp	A0EL	e0AT	U희귀함 우솝 더미	희귀함	2범위 임팩트다이얼-우솝희귀	AOws	7000.0	0.0
stomp	A0K2	e0BZ	U희귀함 바제스 더미	희귀함	2범위 바제스 스턴	AOws	12000.0	0.0
thunderbolt	A0PC	e0BR	U희귀함 루피 더미 3	희귀함	C루피희귀 스턴	AHtb	10000.0	0.0
stomp	A07C	e090	U희귀함 죠즈 더미1	희귀함	2범위 죠즈 스턴더미	AOws	10000.0	0.0
stomp	A07P	e00N	H히든 봉쿠레 더미	히든	2범위 봉쿠레 히든 스턴	AOws	85000.0	0.0
stomp	A07Z	e01B	H히든 이완코브더미	히든	2범위 이완코브히든 스턴	AOws	100000.0	0.0
stomp	A07Z	e01B	H히든 이완코브더미	히든	2범위 이완코브히든 스턴	AOws	100000.0	0.0
stomp	A086	e00O	H히든 피셔타이거 더미1	히든	2범위 피셔타이거 스턴더미	AOws	215000.0	0.0
firebolt	A0UX	e0EI	H히든 아카이누 더미3	히든	C파이어볼트-아카히든	ANfb		0.0
firebolt	A0VL	e04I	@초월 아카이누 대분화2	초월함	C파이어볼트-아카초월	ANfb		0.0
stomp	A08A	e01Q	H히든 아오키지 더미	히든	2범위 아오히든	AOws	120000.0	0.0
stomp	A0LX	e037	H히든 방주맥심 뇌영 더미	히든	2범위 에넬히든 뇌영	AOws		0.0
stomp	A0AA	e06G	H히든 써니호 어흥포 더미	히든	2범위 써니호 스턴	AOws	1850000.0	0.0
stomp	A0AA	e06G	H히든 써니호 어흥포 더미	히든	2범위 써니호 스턴	AOws	1850000.0	0.0
stomp	A0AA	e06G	H히든 써니호 어흥포 더미	히든	2범위 써니호 스턴	AOws	1850000.0	0.0
stomp	A0BG	e036	H히든 반더데켄 폭발	히든	2범위 반더데켄 느와르 스턴더미	AOws		0.0
stomp	A0BH	e098	H히든 페로나 마나 더미3	히든	2범위 페로나 스턴	AOws		0.0
stomp	A0CE	e0AR	H히든 기공장더미4	히든	2범위 기공장스턴더미	AOws	450000.0	0.0
stomp					!!!@#$고스트	Aeth		
stomp	A0MI	e0DH	H히든 베르고 더미2	히든	B공황-맥시멈스윙	AHad		
thunderclap	A077	e000	!전설 징베 마나스킬 더미	전설적인	!징베전설 마나스킬 액티브	AHtc	2000000.0	0.0
stomp	A07E	e008	!전설 시키 더미	전설적인	2범위 시키전설 스턴	AOws	145000.0	0.0
entanglingroots	A099	e03F	#불멸 흰불루츠더미	불멸의	H루츠 흰불펀치홀드	Aenr		0.0
stomp	A098	e03C	#불멸 흰수염지진펀치 더미2	불멸의	2범위 흰불스턴더미1	AOws		0.0
stomp	A07K	e0KD	!전설 쿠마 스턴 더미	전설적인	2범위 쿠마전설 스턴	AOws	200000.0	0.0
stomp	A07K	e0KE	!전설 쿠마 스턴 더미1	전설적인	2범위 쿠마전설 스턴	AOws	200000.0	0.0
stomp	A083	e00J	!전설 레일리 마나스킬 더미3	전설적인	스피어 레일리마나더미	Asph		0.0
roar	A058	e00A	!전설 센고쿠 인의 더미	전설적인	!인의 액티브	Aroa		
purge	A16K	e0H8	!전설 스모커 더미3	전설적인		Apg2		0.0
stomp	A07T	e00V	!전설 샹크스 스턴	전설적인	2범위 샹크스전설 스턴	AOws	125000.0	0.0
entanglingroots	A07V	e010	!전설 라분 박치기2	전설적인	2범위 라분 스턴	AOws		0.0
entanglingroots	A07V	e010	!전설 라분 박치기2	전설적인	2범위 라분 스턴	AOws		0.0
firebolt	A0UQ	e013	!전설 조로 사자의 노래2	전설적인	C파이어볼트계열-조로전설사자의노래	ANfb		0.0
stomp	A096	e020	!전설 바르토로메오 가드1	전설적인	2범위 바르토전설 스턴	AOws		0.0
