trigger_function	api	damage_expression	attack_type	damage_type	scales_with
Ed_Skill_2sc_Filterfunc001	RRD	600000.00	HERO	NORMAL	고정
Legend16sc_Filterfunc001	RRD	((182500.00+(GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit())*(0.0035)))*(100.00/ I2R(GetUnitPointValue(GetFilterUnit()))))	CHAOS	UNIVERSAL	현재체력
Legend16sc_Filterfunc002	RRD	((275000.00+(GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit())*(0.01)))*(100.00/ I2R(GetUnitPointValue(GetFilterUnit()))))	CHAOS	UNIVERSAL	현재체력
Legend4sc_Filterfunc001	RRD	105000.00	CHAOS	NORMAL	고정
Trig_Absolb1_Actions	UnitDamageTargetBJ	(0.07*GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetSpellTargetUnit()))	CHAOS	UNIVERSAL	최대체력
Trig_Absolb1_Func005Func003A	RRD	7000000.00	CHAOS	UNIVERSAL	고정
Trig_Absolb1_Func006Func003A	RRD	1000000.00	CHAOS	UNIVERSAL	고정
Trig_Absolb1_Func006Func005Func004A	RRD	1000000.00	CHAOS	UNIVERSAL	고정
Trig_Ace_Attack_Actions	RRD	1000000.00	NORMAL	UNIVERSAL	고정
Trig_Ace_Attack_Func025A	RRD	300000.00	NORMAL	UNIVERSAL	고정
Trig_Ain_Skill_1_Actions	RRD	3500000.00	NORMAL	UNIVERSAL	고정
Trig_Ain_Skill_1_Actions	RRD	350000.00	MAGIC	UNIVERSAL	고정
Trig_Ain_Skill_1_Actions	RRD	350000.00	MAGIC	UNIVERSAL	고정
Trig_Ain_Skill_1_Func018Func007A	RRD	320000.00	MAGIC	UNIVERSAL	고정
Trig_Ain_Skill_1_Func027A	RRD	320000.00	MAGIC	UNIVERSAL	고정
Trig_Ain_Skill_2_Actions	RRD	3500000.00	NORMAL	UNIVERSAL	고정
Trig_Ain_Skill_2_Actions	RRD	350000.00	MAGIC	UNIVERSAL	고정
Trig_Ain_Skill_2_Actions	RRD	350000.00	MAGIC	UNIVERSAL	고정
Trig_Ain_Skill_2_Actions	RRD	350000.00	MAGIC	UNIVERSAL	고정
Trig_Ain_Skill_2_Func003Func007A	RRD	240000.00	MAGIC	UNIVERSAL	고정
Trig_Ain_Skill_2_Func004Func007A	RRD	240000.00	MAGIC	UNIVERSAL	고정
Trig_Ain_Skill_2_Func005Func007A	RRD	240000.00	MAGIC	UNIVERSAL	고정
Trig_Akainu_01_Shoot_Actions	UnitDamagePointLoc	1000000.00	NORMAL	UNIVERSAL	고정
Trig_Akainu_02_Actions	RRD	(7250000.00+(s__TrigVariables__get_realD(GlobalTV)*10.00))	NORMAL	UNIVERSAL	변수
Trig_Akainu_02_Actions	RRD	(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.12)	NORMAL	UNIVERSAL	최대체력
Trig_Akainu_02_Actions	UnitDamagePointLoc	(725000.00+s__TrigVariables__get_realD(GlobalTV))	NORMAL	UNIVERSAL	변수
Trig_Akainu_02_hidden_Actions	RRD	1000000.00	NORMAL	UNIVERSAL	고정
Trig_Akainu_02_hidden_Actions	RRD	(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.12)	NORMAL	UNIVERSAL	최대체력
Trig_Akainu_02_hidden_Func023A	RRD	300000.00	CHAOS	UNIVERSAL	고정
Trig_Akainu_03_Actions	UnitDamagePointLoc	300000.00	NORMAL	UNIVERSAL	고정
Trig_Aokigi_skill_3_Func018A	UnitDamageTargetBJ	240000.00	MAGIC	UNIVERSAL	고정
Trig_Bigmam_Attack_Actions	RRD	((GetEventDamage()*1.98)+999999.00)	CHAOS	UNIVERSAL	평타
Trig_Bigmam_Attack_Actions	UnitDamagePointLoc	((GetEventDamage()*0.66)+333333.00)	NORMAL	UNIVERSAL	평타
Trig_Bigmam_Attack_Actions	UnitDamagePointLoc	((GetEventDamage()*1.98)+999999.00)	CHAOS	UNIVERSAL	평타
Trig_Bigmam_Eat_Actions	RRD	(4500000.00*(1+(0.01*I2R(GetItemCharges(udg_Item_Bigmom[GetConvertedPlayerId(GetOwningPlayer(s__TrigVariables__get_unitA(GlobalTV)))])))))	CHAOS	UNIVERSAL	변수
Trig_Bigmam_Eat_Func005Func014A	RRD	(1750000.00*(1+(0.01*I2R(GetItemCharges(udg_Item_Bigmom[GetConvertedPlayerId(GetOwningPlayer(s__TrigVariables__get_unitA(GlobalTV)))])))))	NORMAL	UNIVERSAL	변수
Trig_Bigmam_hp_Func027A	RRD	s__TrigVariables__get_realD(GlobalTV)	NORMAL	UNIVERSAL	변수
Trig_BronyaMotar_E_Actions	RRD	(3125000.00+(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.02))	NORMAL	UNIVERSAL	최대체력
Trig_BronyaMotar_E_Func044A	RRD	(625000.00*(1+((0.01*0.50)*s__TrigVariables__get_realM(GlobalTV))))	NORMAL	UNIVERSAL	변수
Trig_BronyaMotar_R_Actions	RRD	(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.06)	NORMAL	UNIVERSAL	최대체력
Trig_BronyaMotar_R_Func041A	RRD	1000000.00	NORMAL	UNIVERSAL	고정
Trig_BronyaMotar_R_Func066A	RRD	2500000.00	NORMAL	UNIVERSAL	고정
Trig_BronyaMotar_laser_Actions	RRD	(250000.00*(1+((0.01*0.50)*s__TrigVariables__get_realM(GlobalTV))))	NORMAL	UNIVERSAL	변수
Trig_BronyaMotar_laser_Actions	RRD	(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,s__TrigVariables__get_unitB(GlobalTV))*0.06)	NORMAL	UNIVERSAL	최대체력
Trig_BronyaMotar_laser_Actions	RRD	(225000.00*(1+((0.01*0.50)*s__TrigVariables__get_realM(GlobalTV))))	NORMAL	UNIVERSAL	변수
Trig_BronyaMotar_laser_Func041A	RRD	(250000.00*(1+((0.01*0.50)*s__TrigVariables__get_realM(GlobalTV))))	NORMAL	UNIVERSAL	변수
Trig_BronyaMotar_laser_Func054A	RRD	(225000.00*(1+((0.01*0.50)*s__TrigVariables__get_realM(GlobalTV))))	NORMAL	UNIVERSAL	변수
Trig_Bronya_Skill_1_Actions	RRD	300000.00	NORMAL	UNIVERSAL	고정
Trig_Bronya_Skill_1_Func019A	RRD	200000.00	NORMAL	UNIVERSAL	고정
Trig_BrookAttack_Actions	RRD	((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*(0.06))*(0.20+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',GetTriggerUnit())))))	PIERCE	UNIVERSAL	최대체력
Trig_BrookAttack_Actions	RRD	75000.00	HERO	UNIVERSAL	고정
